,E,I_sym,I_asym,ICU,Daily_infected,Reinfection,Sequela 1,Sequela 2,Sequela 3,Sequela 4,Sequela 5,Sequela 6
0,6,0,3,0,1,0,0,0,0,0,0,0
1,9,1,3,0,1,0,0,0,0,0,0,0
2,12,3,4,0,3,0,0,0,0,0,0,0
3,21,5,4,0,3,0,0,0,1,0,0,0
4,27,9,4,0,5,0,0,0,0,0,0,0
5,55,16,5,0,9,0,0,0,0,13,0,0
6,83,28,9,0,19,0,0,0,1,0,0,0
7,163,48,15,0,28,0,1,0,0,0,0,1
8,268,83,28,0,58,0,0,0,0,0,0,0
9,418,149,39,1,96,0,0,1,1,14,13,1
10,693,223,69,3,132,0,0,2,0,13,13,1
11,1102,363,122,5,233,0,5,1,2,14,14,2
12,1727,584,202,7,363,0,4,3,1,15,15,3
13,2522,904,320,13,566,0,5,3,4,16,16,4
14,2579,1376,468,18,808,0,13,10,11,23,22,9
15,2987,1809,627,24,840,0,19,8,7,20,20,8
16,3573,2276,807,34,984,0,36,20,21,30,32,20
17,3461,2790,965,51,1088,0,52,30,31,43,43,31
18,3563,3176,1124,67,1082,0,52,37,38,50,48,38
19,3880,3589,1290,92,1203,0,69,53,53,66,66,54
20,4455,3952,1445,110,1206,0,94,68,69,77,81,65
21,4920,4483,1606,125,1447,0,116,99,99,108,111,99
22,5431,4987,1840,154,1631,0,147,115,115,127,127,115
23,5931,5532,1998,186,1676,0,192,146,145,159,157,147
24,6135,6109,2243,233,1902,0,187,123,123,136,135,124
25,6149,6691,2448,254,1978,0,264,202,203,212,213,201
26,5947,7219,2609,281,2054,1,292,222,223,235,235,223
27,5445,7697,2746,303,2007,0,356,235,236,248,248,236
28,4565,7902,2853,339,1803,1,377,301,302,314,313,302
29,3838,7866,2876,358,1502,0,449,365,366,378,378,366
30,3236,7584,2772,386,1188,0,495,359,360,372,372,359
31,2653,7225,2694,418,1073,1,557,376,376,388,386,377
32,2156,6782,2496,430,825,1,655,442,440,455,455,441
33,1721,6298,2347,400,692,0,685,491,492,504,504,492
34,1386,5803,2168,410,550,0,712,513,513,525,525,513
35,1097,5313,1977,424,447,0,776,514,515,526,527,514
36,877,4807,1795,404,339,0,818,544,544,557,557,545
37,671,4301,1629,383,314,0,863,559,558,571,572,560
38,559,3831,1432,366,201,2,865,649,648,662,662,650
39,461,3378,1305,352,186,0,885,663,664,676,676,664
40,358,2973,1162,343,156,1,940,676,675,688,686,677
41,303,2603,1009,314,105,1,953,686,684,699,699,687
42,273,2282,901,298,88,0,990,717,716,727,730,716
43,215,2034,784,289,90,1,974,711,712,724,724,712
44,177,1754,694,276,72,1,1045,718,719,731,731,719
45,165,1523,603,251,41,1,1014,739,740,752,752,740
46,136,1308,536,234,49,0,1044,744,743,757,757,745
