,E,I_sym,I_asym,ICU,Daily_infected,Reinfection,Sequela 1,Sequela 2,Sequela 3,Sequela 4,Sequela 5,Sequela 6
0,17,5,3,0,2,0,0,0,0,0,0,0
1,36,6,4,0,3,0,0,0,0,0,0,0
2,49,14,8,0,13,0,0,0,0,0,0,0
3,84,21,10,0,13,0,0,0,0,0,0,0
4,122,38,16,1,27,0,0,0,0,0,0,0
5,168,61,28,3,42,0,0,0,0,0,0,0
6,284,101,34,4,61,0,2,1,0,13,14,0
7,457,157,59,6,97,0,0,1,0,14,14,2
8,758,240,82,6,140,0,0,3,2,15,14,2
9,1212,388,125,6,230,0,2,0,0,13,13,1
10,1813,622,233,7,412,0,2,3,0,15,14,3
11,2629,974,337,15,588,0,7,5,6,18,18,5
12,3396,1450,508,25,856,0,12,7,7,18,19,7
13,4249,2034,731,36,1083,0,25,12,12,25,25,13
14,4606,2753,976,53,1358,0,23,16,16,28,28,17
15,5184,3426,1193,68,1454,0,38,36,35,47,45,36
16,5866,4130,1468,88,1645,0,67,37,38,50,50,37
17,6319,4933,1774,102,1913,0,83,57,58,70,70,58
18,6579,5754,2072,136,2111,0,115,91,91,103,104,91
19,6866,6507,2318,159,2138,0,152,134,135,147,147,134
20,6919,7233,2569,205,2210,0,221,148,147,161,161,149
21,6270,7845,2809,257,2250,0,216,174,175,187,187,175
22,5697,8149,2901,307,1995,0,284,200,201,213,213,201
23,5026,8285,2935,326,1803,0,357,232,233,245,245,233
24,4267,8197,2967,370,1580,0,403,288,289,301,301,289
25,3609,7968,2897,395,1325,0,462,362,363,375,375,363
26,2945,7636,2806,415,1130,3,498,416,414,426,428,415
27,2316,7234,2669,448,995,0,557,466,467,478,479,467
28,1820,6710,2471,450,741,1,606,445,445,457,457,445
29,1482,6096,2299,454,561,1,666,503,503,511,515,504
30,1188,5566,2127,436,466,0,722,518,519,530,531,519
31,939,5034,1932,437,411,0,817,565,565,577,578,565
32,746,4553,1750,416,305,2,861,605,605,617,617,606
33,621,4003,1584,398,225,1,901,590,590,602,602,590
34,480,3606,1416,377,231,1,872,654,652,665,666,654
35,417,3145,1279,354,151,2,893,641,637,653,653,641
36,362,2797,1122,320,128,0,951,660,661,673,673,661
37,306,2457,982,313,99,2,978,695,696,707,708,696
38,248,2162,892,291,91,0,966,700,701,713,713,701
39,193,1919,809,266,88,3,1022,756,757,769,768,757
40,164,1684,710,247,57,1,982,764,761,774,775,763
41,118,1489,615,221,58,0,1045,752,753,765,765,753
42,104,1284,553,206,33,1,1117,813,809,820,825,814
43,80,1122,486,192,35,1,1022,765,765,775,778,766
44,73,982,414,178,29,1,1012,754,754,767,767,755
45,67,857,352,164,22,2,1101,743,744,755,756,744
46,65,745,302,147,18,0,1085,759,760,771,772,760
47,51,656,262,132,25,1,1176,754,755,767,767,755
48,51,577,226,106,15,0,1056,800,799,812,812,800
49,51,492,200,101,18,1,1129,837,838,850,850,838
50,47,422,171,88,16,0,1113,753,754,765,765,753
51,38,391,154,79,21,1,1137,808,807,821,820,808
52,40,341,131,73,10,0,1122,814,813,827,825,815
53,23,314,119,62,22,1,1087,810,811,822,823,811
54,23,269,102,58,5,0,1159,765,766,778,778,766
55,20,231,92,51,10,1,1118,801,800,813,814,802
56,23,194,77,49,6,2,1170,769,770,782,782,770
57,22,177,71,46,7,0,1145,763,760,775,776,763
58,25,150,61,43,3,0,1048,821,822,834,834,822
59,22,132,57,40,6,1,1205,764,765,777,776,764
60,15,124,55,36,10,0,1100,825,825,836,836,825
61,13,105,46,31,3,2,1154,769,770,782,782,770
62,11,97,40,24,3,1,1161,821,820,834,834,822
63,9,85,38,22,3,0,1142,839,840,851,851,839
64,9,72,34,20,3,0,1150,848,848,861,860,849
65,9,65,30,20,4,1,1159,813,812,825,823,812
66,9,57,25,18,3,0,1173,854,853,865,867,855
67,10,54,20,19,1,0,1174,828,828,839,840,829
68,8,44,19,17,3,1,1153,830,828,843,843,831
69,4,44,17,14,4,1,1129,863,862,874,874,863
70,6,40,16,10,0,2,1133,835,828,847,844,831
71,5,33,15,8,1,0,1140,844,845,857,857,845
72,4,27,13,8,2,1,1143,786,787,799,798,786
73,4,23,12,8,0,0,1175,829,830,842,841,830
74,5,21,8,7,2,0,1139,820,818,833,833,821
75,4,20,5,6,2,2,1100,802,801,813,815,803
76,5,17,5,6,1,0,1161,862,863,872,875,863
77,7,15,5,4,0,3,1198,845,845,857,857,846
78,6,12,4,3,1,0,1147,860,860,872,873,861
79,5,10,5,2,2,0,1140,842,842,853,853,843
80,4,7,5,2,2,2,1138,820,818,833,832,820
81,4,5,3,2,0,0,1161,886,885,895,898,885
82,3,4,4,2,1,2,1181,855,855,867,868,855
83,2,4,5,2,1,0,1176,802,803,815,815,803
84,1,4,4,2,1,1,1134,824,825,837,837,824
85,0,4,3,2,1,1,1124,839,835,851,852,840
86,0,3,2,1,0,0,1128,811,810,822,824,810
87,0,3,2,1,0,0,1109,810,811,823,823,811
88,0,2,2,1,0,1,1216,840,839,851,852,840
89,0,0,2,1,0,0,1145,828,829,841,841,829
90,0,0,1,1,0,2,1102,857,858,868,866,858
91,0,0,0,0,0,1,1120,787,788,800,800,788
92,0,0,0,0,0,1,1112,780,780,792,793,780
93,0,0,0,0,0,2,1151,817,817,830,829,817
94,0,0,0,0,0,0,1126,840,840,852,852,834
95,0,0,0,0,0,1,1152,838,839,851,851,839
96,0,0,0,0,0,1,1213,811,812,824,823,812
97,0,0,0,0,0,2,1214,801,802,813,814,802
98,0,0,0,0,0,1,1196,863,864,876,873,863
99,0,0,0,0,0,0,1222,808,808,821,820,809
100,0,0,0,0,0,2,1097,846,844,859,859,847
101,0,0,0,0,0,0,1094,820,821,831,833,821
102,0,0,0,0,0,0,1133,865,866,878,878,865
103,0,0,0,0,0,0,1176,859,859,868,871,859
104,0,0,0,0,0,2,1135,850,851,863,863,850
105,0,0,0,0,0,1,1196,763,764,776,776,764
106,0,0,0,0,0,0,1128,853,852,866,864,854
107,0,0,0,0,0,0,1116,846,847,858,859,847
108,0,0,0,0,0,0,1140,857,858,870,870,858
109,0,0,0,0,0,0,1074,876,877,889,889,876
110,0,0,0,0,0,1,1154,838,838,850,850,836
111,0,0,0,0,0,0,1152,790,791,803,803,791
112,0,0,0,0,0,2,1080,792,791,805,805,793
113,0,0,0,0,0,0,1152,837,838,850,850,838
114,0,0,0,0,0,0,1149,868,869,881,879,869
115,0,0,0,0,0,0,1163,849,850,862,861,850
116,0,0,0,0,0,1,1176,848,849,861,861,849
117,0,0,0,0,0,0,1141,790,791,803,803,791
118,0,0,0,0,0,0,1134,789,788,799,800,789
119,0,0,0,0,0,0,1124,839,840,852,852,840
120,0,0,0,0,0,1,1137,823,822,834,836,823
121,0,0,0,0,0,1,1236,799,800,810,811,799
122,0,0,0,0,0,0,1119,885,885,896,898,886
123,0,0,0,0,0,1,1192,831,831,839,840,831
124,0,0,0,0,0,0,1153,836,837,849,849,837
125,0,0,0,0,0,0,1132,842,842,855,855,843
126,0,0,0,0,0,0,1129,820,819,831,831,819
127,0,0,0,0,0,0,1115,828,829,841,841,829
128,0,0,0,0,0,0,1106,818,818,831,831,819
129,0,0,0,0,0,1,1161,782,783,795,795,783
130,0,0,0,0,0,1,1143,830,831,841,843,831
131,0,0,0,0,0,1,1106,835,833,848,848,836
132,0,0,0,0,0,1,1141,837,838,849,850,838
133,0,0,0,0,0,1,1162,844,844,856,856,844
134,0,0,0,0,0,1,1164,803,804,813,816,803
135,0,0,0,0,0,3,1164,881,882,894,894,882
136,0,0,0,0,0,2,1174,800,798,813,813,801
137,0,0,0,0,0,2,1155,869,864,882,882,870
138,0,0,0,0,0,0,1171,851,852,861,863,851
139,0,0,0,0,0,2,1093,828,829,841,841,829
140,0,0,0,0,0,1,1095,803,804,815,814,804
141,0,0,0,0,0,2,1156,894,895,907,906,895
142,0,0,0,0,0,0,1142,799,799,811,812,800
143,0,0,0,0,0,0,1092,813,811,825,826,812
144,0,0,0,0,0,1,1166,821,822,833,834,822
145,0,0,0,0,0,0,1238,825,826,838,838,826
146,0,0,0,0,0,0,1170,837,838,847,848,836
147,0,0,0,0,0,0,1163,869,870,882,882,870
148,0,0,0,0,0,0,1136,867,865,879,879,868
149,0,0,0,0,0,0,1125,808,807,820,820,808
150,0,0,0,0,0,1,1162,874,875,887,887,875
151,0,0,0,0,0,1,1097,802,800,815,815,803
152,0,0,0,0,0,0,1141,814,815,827,827,815
153,0,0,0,0,0,2,1104,814,814,826,826,815
154,0,0,0,0,0,2,1064,748,748,760,761,749
155,0,0,0,0,0,0,1139,850,851,861,861,851
156,0,0,0,0,0,1,1169,891,887,903,903,891
157,0,0,0,0,0,1,1138,809,807,822,822,810
158,0,0,0,0,0,1,1116,832,832,844,844,832
159,0,0,0,0,0,0,1188,769,770,782,781,769
160,0,0,0,0,0,1,1167,859,860,872,872,860
161,0,0,0,0,0,2,1095,869,870,881,882,870
162,0,0,0,0,0,1,1087,814,815,827,827,815
163,0,0,0,0,0,1,1158,824,824,837,837,825
164,0,0,0,0,0,0,1142,832,833,845,844,832
165,0,0,0,0,0,1,1184,860,860,870,872,859
166,0,0,0,0,0,1,1160,832,827,841,841,833
167,0,0,0,0,0,0,1134,853,852,865,865,853
168,0,0,0,0,0,0,1155,832,833,845,845,833
169,0,0,0,0,0,0,1151,813,811,826,823,811
170,0,0,0,0,0,1,1081,814,814,827,827,815
171,0,0,0,0,0,0,1158,811,811,823,823,812
172,0,0,0,0,0,1,1173,854,851,864,865,853
173,0,0,0,0,0,0,1123,823,823,833,835,821
174,0,0,0,0,0,1,1113,807,807,820,820,808
175,0,0,0,0,0,0,1086,829,829,842,841,829
176,0,0,0,0,0,0,1188,787,788,800,800,788
177,0,0,0,0,0,2,1092,810,811,823,823,811
178,0,0,0,0,0,0,1101,786,785,797,792,785
179,0,0,0,0,0,0,1198,827,827,840,837,827
180,0,0,0,0,0,1,1121,815,813,822,828,815
181,0,0,0,0,0,1,1139,820,821,832,833,821
182,0,0,0,0,0,0,1215,872,871,883,881,873
183,0,0,0,0,0,0,1167,767,768,780,779,768
184,0,0,0,0,0,1,1155,834,831,845,846,835
185,0,0,0,0,0,1,1150,866,864,879,876,866
186,0,0,0,0,0,1,1109,823,823,836,836,824
187,0,0,0,0,0,1,1122,821,822,834,834,822
188,0,0,0,0,0,1,1157,874,874,886,887,875
189,0,0,0,0,0,0,1128,818,819,831,831,819
190,0,0,0,0,0,0,1093,772,772,784,784,772
191,0,0,0,0,0,0,1106,881,881,894,893,882
192,0,0,0,0,0,0,1136,846,846,858,858,846
193,0,0,0,0,0,0,1177,822,823,835,835,823
194,0,0,0,0,0,0,1153,848,847,861,861,849
195,0,0,0,0,0,1,1172,779,779,792,792,780
196,0,0,0,0,0,0,1117,875,875,884,887,875
197,0,0,0,0,0,2,1214,837,837,850,850,837
198,0,0,0,0,0,2,1181,879,879,892,891,880
199,0,0,0,0,0,2,1154,848,849,861,861,849
200,0,0,0,0,0,0,1163,816,816,826,829,816
201,0,0,0,0,0,1,1126,842,843,853,855,843
202,0,0,0,0,0,1,1143,849,849,861,861,850
203,0,0,0,0,0,2,1085,776,777,789,785,776
204,0,0,0,0,0,0,1107,866,865,879,877,867
205,0,0,0,0,0,1,1148,831,831,844,841,829
206,0,0,0,0,0,1,1141,791,792,803,804,792
207,0,0,0,0,0,0,1052,806,807,819,817,807
208,0,0,0,0,0,1,1116,807,807,814,820,805
209,0,0,0,0,0,0,1072,859,859,872,870,858
210,0,0,0,0,0,1,1122,785,786,795,798,786
211,0,0,0,0,0,0,1187,863,864,876,876,864
212,0,0,0,0,0,0,1151,829,830,842,842,830
213,0,0,0,0,0,0,1144,874,874,886,886,874
214,0,0,0,0,0,0,1192,843,842,856,856,844
215,0,0,0,0,0,0,1107,806,807,812,819,804
216,0,0,0,0,0,1,1184,821,821,831,831,822
217,0,0,0,0,0,0,1126,838,839,851,851,839
218,0,0,0,0,0,0,1109,839,840,852,852,840
219,0,0,0,0,0,0,1105,861,861,873,873,861
220,0,0,0,0,0,2,1095,843,844,856,855,844
221,0,0,0,0,0,1,1170,830,831,842,843,831
222,0,0,0,0,0,1,1202,852,852,865,865,853
223,0,0,0,0,0,3,1131,864,865,877,875,865
224,0,0,0,0,0,1,1196,832,833,844,845,832
225,0,0,0,0,0,0,1171,851,852,864,864,852
226,0,0,0,0,0,2,1116,815,816,828,828,816
227,0,0,0,0,0,1,1117,857,856,870,868,858
228,0,0,0,0,0,1,1192,864,865,877,877,865
229,0,0,0,0,0,3,1177,880,880,892,893,881
230,0,0,0,0,0,0,1154,819,820,832,832,820
231,0,0,0,0,0,0,1159,850,847,863,863,851
232,0,0,0,0,0,0,1218,850,851,861,863,851
233,0,0,0,0,0,1,1174,849,849,859,862,848
234,0,0,0,0,0,0,1155,821,822,833,834,822
235,0,0,0,0,0,1,1189,798,797,810,808,798
236,0,0,0,0,0,0,1109,854,855,867,867,855
237,0,0,0,0,0,1,1134,839,840,852,850,837
238,0,0,0,0,0,0,1158,850,848,863,857,851
239,0,0,0,0,0,1,1173,791,792,804,802,792
240,0,0,0,0,0,2,1123,809,810,822,820,810
241,0,0,0,0,0,1,1199,803,804,815,816,804
242,0,0,0,0,0,0,1182,777,778,789,790,778
243,0,0,0,0,0,0,1132,846,847,859,859,847
244,0,0,0,0,0,0,1140,839,839,851,849,838
245,0,0,0,0,0,0,1189,810,811,823,823,811
246,0,0,0,0,0,1,1164,809,810,822,822,810
247,0,0,0,0,0,0,1160,826,826,838,838,826
248,0,0,0,0,0,0,1042,846,847,859,859,847
249,0,0,0,0,0,0,1171,807,808,820,820,808
250,0,0,0,0,0,1,1144,816,817,823,828,817
251,0,0,0,0,0,0,1197,823,824,836,835,824
252,0,0,0,0,0,2,1179,853,852,864,866,854
253,0,0,0,0,0,3,1130,825,825,832,838,826
254,0,0,0,0,0,0,1121,775,776,788,788,776
255,0,0,0,0,0,2,1144,853,854,865,865,854
256,0,0,0,0,0,0,1157,866,867,879,879,867
257,0,0,0,0,0,0,1154,828,829,840,840,828
258,0,0,0,0,0,1,1152,840,839,853,853,839
259,0,0,0,0,0,0,1178,834,835,846,845,833
260,0,0,0,0,0,3,1138,827,828,840,840,828
261,0,0,0,0,0,0,1166,778,779,791,791,779
262,0,0,0,0,0,0,1063,832,833,843,843,833
263,0,0,0,0,0,1,1084,853,853,865,866,854
264,0,0,0,0,0,0,1162,804,805,817,817,805
265,0,0,0,0,0,0,1119,806,807,816,819,805
266,0,0,0,0,0,0,1142,848,848,860,861,848
267,0,0,0,0,0,0,1123,812,813,824,825,813
268,0,0,0,0,0,1,1135,827,828,840,839,828
269,0,0,0,0,0,1,1164,851,852,863,862,851
270,0,0,0,0,0,2,1154,841,839,853,854,841
271,0,0,0,0,0,0,1135,851,852,862,864,851
272,0,0,0,0,0,0,1115,767,768,780,780,768
273,0,0,0,0,0,1,1182,880,879,890,893,880
274,0,0,0,0,0,0,1084,814,814,826,826,815
275,0,0,0,0,0,0,1086,829,827,842,842,830
276,0,0,0,0,0,1,1224,813,813,826,825,813
277,0,0,0,0,0,0,1186,873,873,886,886,874
278,0,0,0,0,0,1,1211,778,779,788,791,776
279,0,0,0,0,0,1,1121,800,800,812,812,801
280,0,0,0,0,0,1,1102,859,855,872,872,856
281,0,0,0,0,0,0,1140,845,846,858,858,845
282,0,0,0,0,0,1,1174,791,791,803,803,791
283,0,0,0,0,0,0,1126,823,823,836,836,824
284,0,0,0,0,0,0,1124,830,831,843,843,831
285,0,0,0,0,0,3,1126,815,816,828,828,816
286,0,0,0,0,0,2,1085,798,799,811,811,799
287,0,0,0,0,0,1,1130,825,824,838,838,826
288,0,0,0,0,0,1,1153,782,783,794,795,783
289,0,0,0,0,0,2,1157,808,809,821,821,809
290,0,0,0,0,0,0,1224,802,803,815,815,801
291,0,0,0,0,0,0,1149,830,831,843,843,831
292,0,0,0,0,0,1,1161,794,795,807,807,795
293,0,0,0,0,0,0,1135,876,877,889,884,876
294,0,0,0,0,0,0,1151,864,865,877,877,865
295,0,0,0,0,0,0,1133,825,826,838,838,826
296,0,0,0,0,0,1,1168,857,858,869,869,858
297,0,0,0,0,0,0,1073,816,817,828,829,817
298,0,0,0,0,0,2,1145,812,812,824,821,812
299,0,0,0,0,0,1,1146,794,793,807,804,795
300,0,0,0,0,0,1,1149,796,796,808,808,796
301,0,0,0,0,0,3,1126,814,813,825,825,813
302,0,0,0,0,0,4,1179,802,803,815,811,803
303,0,0,0,0,0,0,1136,800,801,813,813,801
304,0,0,0,0,0,2,1123,823,823,835,835,823
305,0,0,0,0,0,2,1201,826,827,837,838,826
306,0,0,0,0,0,2,1154,881,881,894,894,882
307,0,0,0,0,0,2,1145,842,843,855,855,843
308,0,0,0,0,0,0,1136,789,789,799,801,790
309,0,0,0,0,0,1,1206,815,816,828,828,816
310,0,0,0,0,0,0,1186,857,858,869,869,858
311,0,0,0,0,0,0,1141,838,838,848,851,839
312,0,0,0,0,0,0,1129,839,839,851,852,840
313,0,0,0,0,0,1,1175,774,775,786,787,774
314,0,0,0,0,0,1,1156,866,862,879,879,867
