,E,I_sym,I_asym,ICU,Daily_infected,Reinfection,Sequela 1,Sequela 2,Sequela 3,Sequela 4,Sequela 5,Sequela 6
0,8,2,3,0,0,0,0,0,0,0,0,0
1,10,5,2,0,4,0,0,0,0,0,0,0
2,19,3,4,0,3,0,0,1,2,0,0,0
3,28,5,4,0,4,0,0,0,0,13,13,1
4,35,10,4,0,8,0,0,0,0,0,0,0
5,40,21,7,0,14,0,0,2,0,0,0,2
6,79,23,8,0,6,0,0,0,0,13,0,1
7,110,45,8,0,29,0,2,0,0,13,0,0
8,159,64,19,0,40,0,1,1,0,0,13,2
9,272,92,29,1,49,0,1,2,0,14,13,0
10,456,144,57,1,92,0,4,0,1,13,13,1
11,707,236,84,2,137,0,5,3,1,14,16,2
12,1107,345,138,6,206,0,0,1,2,14,14,2
13,1677,542,203,10,333,0,6,4,3,0,17,5
14,2370,847,329,15,550,0,5,5,3,18,14,6
15,3364,1270,474,18,739,0,6,10,11,23,23,9
16,4422,1905,676,20,1063,0,17,11,11,21,23,11
17,4651,2705,918,33,1411,0,26,19,16,32,28,20
18,5091,3461,1202,44,1548,0,36,24,24,37,35,25
19,5628,4167,1449,64,1650,0,48,43,44,56,55,44
20,6080,4894,1747,97,1822,1,66,73,74,86,86,74
21,5960,5618,2012,126,1954,0,106,81,81,93,94,82
22,6093,6225,2232,151,1908,0,152,112,112,123,124,112
23,5487,6760,2413,201,1989,0,163,121,122,134,134,122
24,5022,7075,2505,232,1775,1,227,160,161,173,173,161
25,4474,7226,2596,270,1617,0,276,196,193,208,207,195
26,4071,7264,2581,289,1400,1,342,231,232,244,244,232
27,3714,7145,2585,317,1326,1,376,268,266,281,281,269
28,3341,6994,2571,328,1219,0,416,290,291,294,303,291
29,2947,6782,2519,352,1125,0,455,361,361,370,373,361
30,2639,6563,2472,364,966,1,542,371,371,383,383,371
31,2327,6265,2360,386,854,2,580,388,387,401,400,388
32,2042,5927,2250,407,774,0,614,429,430,442,442,430
33,1785,5490,2108,404,667,2,689,502,503,514,515,502
34,1566,5152,1949,399,591,1,696,517,518,530,530,518
35,1356,4723,1800,386,513,2,753,527,528,540,540,528
36,1188,4404,1621,378,448,1,767,589,590,602,602,590
37,1010,4036,1514,367,405,1,850,591,591,603,603,592
38,864,3666,1374,352,325,0,894,575,575,588,588,576
39,716,3328,1277,332,282,0,887,637,638,650,650,638
40,628,2990,1153,318,222,0,908,627,628,640,640,628
41,525,2686,1039,297,206,1,938,690,690,701,702,690
42,446,2441,943,272,186,0,896,688,689,695,701,689
43,337,2204,846,263,153,0,936,694,695,705,707,695
44,252,1969,755,242,125,0,971,666,666,679,679,666
45,211,1726,669,224,76,0,1050,720,720,733,732,721
46,174,1499,605,215,76,1,1012,790,784,802,802,790
47,138,1323,522,189,55,1,1020,762,763,775,775,763
48,121,1179,467,178,39,2,1107,775,775,788,788,776
49,105,1066,420,155,40,0,1088,796,797,809,809,797
50,94,945,365,134,29,1,1080,752,753,765,765,753
51,78,837,329,129,31,1,1121,791,792,803,803,791
52,54,723,305,121,33,1,1132,761,761,773,773,762
53,55,616,268,107,11,1,1108,845,846,854,857,846
54,49,540,237,90,14,2,1088,824,825,837,837,825
55,37,469,209,77,17,1,1131,836,837,845,849,835
56,35,414,186,66,10,3,1072,803,802,816,816,804
