,E,I_sym,I_asym,ICU,Daily_infected,Reinfection,Sequela 1,Sequela 2,Sequela 3,Sequela 4,Sequela 5,Sequela 6
0,9,4,2,0,0,0,0,0,0,0,0,0
1,16,5,2,0,2,0,0,0,0,0,0,0
2,29,7,4,0,5,0,1,0,0,0,0,0
3,43,9,7,0,5,0,0,0,0,0,0,0
4,60,23,6,0,15,0,0,0,0,0,0,0
5,99,33,9,1,20,0,0,0,0,0,13,1
6,138,53,17,1,31,0,0,0,0,0,0,0
7,241,68,22,1,32,0,2,0,1,13,0,0
8,365,105,38,1,69,0,1,0,0,13,13,1
9,529,175,67,1,121,0,1,1,2,14,14,2
10,873,255,115,1,166,0,1,1,2,13,14,2
11,1317,429,170,4,280,0,6,5,5,18,18,5
12,1944,691,276,5,446,0,4,4,5,17,17,5
13,2853,1035,420,14,626,0,6,11,12,19,21,11
14,3825,1550,604,19,896,1,18,10,11,23,22,10
15,4716,2255,869,34,1293,0,30,21,22,34,34,22
16,5496,3099,1155,40,1526,0,28,31,25,43,43,31
17,5747,3946,1477,62,1808,0,47,41,41,54,53,42
18,6222,4647,1727,93,1774,1,64,40,38,50,52,40
19,6542,5418,1979,117,1909,0,81,63,64,76,76,64
20,6631,6124,2268,160,2094,0,129,100,101,113,113,101
21,6312,6844,2506,190,2164,0,153,125,125,134,135,124
22,6088,7346,2654,239,2001,0,192,169,170,182,182,170
23,5872,7650,2775,278,1913,0,269,195,196,208,208,196
24,5347,7914,2869,318,1892,0,311,230,229,242,242,228
25,4300,8019,2914,349,1767,1,357,258,257,269,270,257
26,3312,7898,2886,382,1403,1,436,315,316,328,328,316
27,2636,7452,2810,384,1066,0,497,321,322,334,334,322
28,2080,7025,2645,409,899,1,547,386,387,399,399,387
29,1720,6437,2510,413,673,1,602,397,396,409,408,396
30,1433,5879,2305,420,553,0,647,421,422,434,434,422
31,1193,5378,2117,430,474,1,655,501,501,514,513,502
32,1011,4844,1929,441,407,0,727,495,495,507,507,494
33,898,4349,1709,424,302,0,739,549,550,562,562,550
34,785,3907,1557,408,279,1,750,610,610,621,622,611
35,668,3486,1406,393,267,0,829,612,612,624,623,612
36,559,3131,1257,383,207,0,899,675,676,687,687,676
37,478,2791,1124,353,179,0,840,664,665,677,677,665
38,403,2503,1009,338,151,1,873,670,670,683,679,671
39,361,2240,874,310,111,1,890,651,652,664,664,652
40,289,1989,780,283,120,1,911,679,679,691,691,677
41,256,1791,709,273,91,1,965,658,658,671,670,659
42,251,1583,627,243,66,0,949,762,762,774,774,762
43,229,1423,555,225,80,0,999,757,757,769,770,758
44,210,1241,493,213,66,0,1029,724,723,735,735,724
45,177,1108,442,188,63,0,1037,741,742,754,754,742
46,146,985,397,165,59,0,1030,773,770,780,783,774
47,135,854,345,148,41,0,1077,781,782,794,794,782
48,105,758,311,145,40,0,1005,780,781,793,793,781
49,74,662,269,134,40,2,1031,740,741,753,753,741
50,63,591,238,114,24,0,1140,748,749,760,760,748
51,39,530,200,110,27,0,1112,785,786,798,798,786
52,36,474,173,103,12,3,1116,827,828,840,840,828
53,30,414,150,95,10,0,1103,795,796,808,808,796
54,36,355,133,84,7,1,997,745,742,758,758,744
55,35,316,114,77,10,1,1067,812,812,823,825,812
56,30,271,95,73,13,0,1061,822,823,833,834,823
57,21,230,87,63,13,1,1083,761,762,774,773,762
58,16,201,78,58,9,0,1120,791,792,804,804,792
59,16,171,71,54,5,0,1119,830,830,840,841,830
60,19,146,65,48,2,1,1052,811,812,823,823,812
61,15,134,57,44,7,1,1172,815,816,828,828,816
62,11,126,55,43,8,0,1079,806,802,817,818,807
63,9,107,50,34,4,0,1130,811,811,822,822,810
64,9,90,42,27,1,0,1126,836,837,848,849,836
65,10,82,38,25,4,0,1157,852,852,864,864,853
66,11,75,38,22,3,1,1078,846,847,859,859,847
67,8,66,33,19,5,0,1169,773,774,786,786,773
68,9,58,26,15,1,3,1182,780,780,793,793,781
69,8,54,22,13,2,0,1142,773,773,786,786,773
70,4,44,22,14,6,1,1094,738,739,751,751,739
71,6,38,18,11,0,0,1164,825,826,838,838,826
72,6,33,13,10,3,1,1164,822,821,835,835,822
73,2,30,10,9,5,2,1133,810,810,822,822,810
74,1,23,8,8,1,4,1149,794,795,807,807,795
75,2,21,5,6,0,2,1132,828,829,841,841,829
76,1,16,3,5,1,1,1106,767,768,780,780,768
77,2,15,2,5,1,1,1130,825,826,838,837,825
78,2,13,2,4,1,0,1129,806,806,817,818,806
79,1,10,2,4,1,1,1155,803,801,813,815,801
80,0,10,3,3,1,3,1150,793,792,806,805,793
81,0,8,3,1,0,1,1168,809,810,821,821,810
82,0,7,3,1,0,2,1164,787,785,795,797,787
83,0,7,3,1,0,1,1117,800,801,813,813,801
84,0,6,3,1,0,0,1125,798,796,809,811,799
85,0,5,3,1,0,1,1142,819,820,832,832,820
86,0,5,3,1,0,1,1120,780,781,793,793,781
87,0,5,2,1,0,0,1085,793,794,806,806,794
88,0,4,2,1,0,0,1141,781,780,794,791,780
89,0,3,2,1,0,0,1103,809,810,822,822,809
90,0,2,2,2,0,2,1105,821,821,833,833,821
91,0,2,2,2,0,0,1098,828,829,841,841,829
92,0,2,2,2,0,2,1120,783,781,796,796,783
93,0,1,2,2,0,0,1141,795,795,807,807,795
94,0,0,2,2,0,0,1095,828,827,841,841,829
95,0,0,2,1,0,1,1040,792,793,804,805,793
96,0,0,2,1,0,2,1055,830,831,843,840,829
97,0,0,2,1,0,1,1171,838,839,851,851,839
98,1,0,2,1,0,0,1064,817,818,830,830,818
99,2,1,2,0,1,0,1114,781,779,793,793,782
100,2,0,2,0,0,0,1146,855,855,868,867,856
101,1,1,2,0,1,1,1144,793,792,806,805,794
102,2,0,1,1,0,0,1151,775,774,786,786,775
103,3,0,1,1,0,1,1149,775,774,784,788,776
104,1,2,1,1,2,1,1147,781,782,794,794,782
105,1,2,1,1,0,0,1188,773,773,786,786,773
106,0,3,1,1,1,0,1151,795,795,807,807,796
107,1,2,1,1,0,0,1081,827,827,840,839,827
108,1,1,1,1,0,1,1113,795,795,807,807,795
109,1,1,1,1,0,2,1129,826,825,839,839,827
110,1,1,0,1,0,0,1106,801,802,814,814,802
111,1,1,0,1,0,0,1087,827,827,839,838,828
112,1,1,0,1,0,1,1143,783,783,795,793,784
113,1,1,0,1,0,1,1188,792,791,805,805,793
114,1,0,0,1,0,0,1071,816,816,829,828,817
115,0,1,0,1,1,0,1132,785,784,796,796,786
116,1,1,0,1,0,1,1124,786,787,797,799,786
117,1,1,0,1,0,0,1155,762,763,772,775,762
118,1,1,0,1,0,2,1094,812,813,825,825,813
119,1,1,0,1,0,0,1068,805,806,818,818,806
120,1,1,0,1,0,0,1158,815,815,828,828,816
121,0,1,0,1,1,0,1127,793,792,804,803,792
122,0,0,0,1,0,0,1116,769,770,781,782,770
123,0,0,0,1,0,1,1155,811,812,824,824,812
124,0,0,0,1,0,0,1057,786,787,799,799,787
125,0,0,0,1,0,0,1174,811,812,824,824,812
126,0,0,0,1,0,1,1106,796,793,808,805,795
127,0,0,0,1,0,0,1128,820,820,833,832,820
128,1,0,0,0,0,1,1098,855,854,867,867,856
129,1,0,0,0,0,1,1180,835,836,848,848,836
130,0,1,0,0,1,0,1115,774,773,785,787,775
131,0,1,0,0,0,2,1155,781,782,794,793,781
132,0,1,0,0,0,1,1103,830,828,840,842,831
133,0,1,0,0,0,1,1149,852,852,865,862,851
134,0,1,0,0,0,1,1106,772,772,784,784,772
135,0,1,0,0,0,0,1161,782,782,795,795,783
136,0,1,0,0,0,0,1117,785,786,798,798,786
137,0,0,0,1,0,1,1123,759,760,772,771,760
138,0,0,0,1,0,0,1140,768,769,781,781,769
139,0,0,0,1,0,0,1159,789,789,801,801,789
140,0,0,0,1,0,0,1183,800,801,811,813,801
141,0,0,0,1,0,2,1075,820,819,833,833,820
142,0,0,0,0,0,1,1115,802,803,815,815,803
143,0,0,0,0,0,1,1115,885,886,898,898,886
144,0,0,0,0,0,3,1125,801,801,813,810,802
145,0,0,0,0,0,0,1066,818,819,831,831,819
146,0,0,0,0,0,1,1149,793,792,804,804,794
147,0,0,0,0,0,0,1096,785,786,797,798,786
148,0,0,0,0,0,0,1127,795,796,808,804,796
149,0,0,0,0,0,0,1047,783,784,796,796,784
150,0,0,0,0,0,2,1128,761,761,773,772,761
151,0,0,0,0,0,2,1153,772,770,785,785,773
152,0,0,0,0,0,1,1127,789,790,801,801,790
153,0,0,0,0,0,0,1148,789,789,801,801,790
154,0,0,0,0,0,1,1132,834,834,847,846,834
155,0,0,0,0,0,1,1119,769,768,782,779,770
156,0,0,0,0,0,2,1146,841,838,850,853,842
157,0,0,0,0,0,1,1077,806,807,819,819,807
158,0,0,0,0,0,0,1140,770,771,783,783,770
159,0,0,0,0,0,0,1065,820,820,832,832,820
160,0,0,0,0,0,0,1139,833,834,842,846,832
161,0,0,0,0,0,0,1133,840,840,848,853,841
162,0,0,0,0,0,2,1089,851,851,864,864,851
163,0,0,0,0,0,1,1125,808,809,821,821,809
164,0,0,0,0,0,1,1157,818,818,831,830,819
165,0,0,0,0,0,2,1102,798,799,811,811,799
166,0,0,0,0,0,1,1182,823,824,836,836,824
167,0,0,0,0,0,1,1148,813,814,826,824,812
168,0,0,0,0,0,2,1091,815,815,828,827,815
169,0,0,0,0,0,0,1081,759,757,772,769,759
170,0,0,0,0,0,0,1109,757,758,770,770,758
171,0,0,0,0,0,0,1175,788,785,801,801,789
172,0,0,0,0,0,1,1113,770,771,780,783,768
173,0,0,0,0,0,0,1158,864,863,876,876,865
174,0,0,0,0,0,1,1119,779,778,792,792,780
175,0,0,0,0,0,1,1135,770,771,783,783,771
176,0,0,0,0,0,0,1128,810,810,822,823,811
177,0,0,0,0,0,1,1121,767,767,780,779,767
178,0,0,0,0,0,1,1165,786,786,799,796,786
179,0,0,0,0,0,0,1157,797,798,810,808,798
180,0,0,0,0,0,1,1058,743,744,755,756,744
181,0,0,0,0,0,2,1137,807,807,820,820,808
182,0,0,0,0,0,0,1111,888,888,900,899,887
183,0,0,0,0,0,2,1090,796,797,807,807,796
184,0,0,0,0,0,2,1082,840,841,852,853,841
185,0,0,0,0,0,1,1062,790,791,801,803,791
186,0,0,0,0,0,0,1073,800,799,813,813,799
187,0,0,0,0,0,1,1167,858,858,868,868,858
188,0,0,0,0,0,1,1114,831,832,844,844,832
189,0,0,0,0,0,1,1188,810,811,823,823,811
190,0,0,0,0,0,1,1058,817,818,830,830,818
191,0,0,0,0,0,1,1115,823,822,835,834,821
192,0,0,0,0,0,1,1078,781,780,794,794,782
193,0,0,0,0,0,1,1079,791,791,804,803,791
194,0,0,0,0,0,2,1134,803,802,814,811,802
195,0,0,0,0,0,0,1117,814,812,826,825,814
196,0,0,0,0,0,0,1119,801,800,813,812,802
197,0,0,0,0,0,1,1089,816,817,829,829,817
198,0,0,0,0,0,0,1068,801,800,812,812,800
199,0,0,0,0,0,2,1098,779,780,792,792,780
200,0,0,0,0,0,0,1134,777,778,790,790,777
201,0,0,0,0,0,2,1161,849,850,862,860,844
202,0,0,0,0,0,1,1060,793,792,803,806,794
203,0,0,0,0,0,0,1138,801,802,814,814,802
204,0,0,0,0,0,0,1036,812,813,825,825,813
205,0,0,0,0,0,1,1148,758,758,770,771,758
206,0,0,0,0,0,0,1087,824,825,837,837,825
207,0,0,0,0,0,1,1068,815,816,827,827,816
208,0,0,0,0,0,2,1096,837,835,850,850,838
209,0,0,0,0,0,0,1159,865,866,877,878,865
210,0,0,0,0,0,0,1127,815,814,827,827,815
211,0,0,0,0,0,0,1159,754,754,766,767,754
