,E,I_sym,I_asym,ICU,Daily_infected,Reinfection,Sequela 1,Sequela 2,Sequela 3,Sequela 4,Sequela 5,Sequela 6
0,4,1,2,0,0,0,0,0,0,0,0,0
1,10,1,3,0,1,0,0,0,0,0,0,0
2,9,3,4,0,3,0,0,0,0,0,0,0
3,11,7,4,0,5,0,0,0,0,0,0,0
4,21,9,3,0,3,0,0,0,0,0,0,0
5,34,11,5,0,7,0,0,0,0,0,13,1
6,40,19,6,0,12,0,0,0,0,0,0,1
7,61,26,8,0,10,0,1,0,0,0,0,0
8,97,29,8,1,15,0,0,0,0,13,0,1
9,145,49,12,0,26,0,2,0,0,0,13,1
10,211,75,17,0,44,0,0,4,3,0,13,1
11,313,115,36,2,72,0,3,1,0,14,0,2
12,477,180,59,2,106,0,6,1,1,13,13,1
13,798,251,87,3,137,0,2,0,1,13,13,1
14,1135,410,140,5,268,0,4,2,3,14,14,3
15,1680,639,195,9,369,0,6,10,11,23,21,11
16,2417,949,310,18,535,0,13,10,10,22,22,10
17,3441,1402,461,27,771,0,15,8,9,21,21,9
18,4653,2020,652,32,1098,0,22,15,16,28,28,16
19,5655,2800,940,50,1465,0,25,11,11,22,23,10
20,6432,3745,1238,66,1800,0,38,31,32,44,44,32
21,6510,4744,1579,83,2047,0,62,44,44,56,57,43
22,6768,5558,1915,114,2084,0,90,76,71,88,87,76
23,7085,6309,2159,158,2081,0,89,89,87,102,100,88
24,6915,7146,2488,198,2388,0,152,102,103,115,113,103
25,6152,7769,2718,255,2287,0,210,170,171,181,183,170
26,5540,8164,2804,283,1983,0,273,168,168,180,177,168
27,5047,8300,2834,317,1758,0,336,222,223,235,235,222
28,4406,8270,2844,350,1660,0,334,244,245,255,257,245
29,3625,8035,2822,398,1402,0,406,330,330,343,343,330
30,3019,7779,2715,431,1166,0,501,359,360,371,371,360
31,2518,7229,2606,443,932,1,491,386,382,398,398,386
32,1987,6720,2451,430,790,0,570,444,444,456,456,444
33,1518,6224,2288,433,641,1,655,495,491,508,506,494
34,1151,5674,2095,437,495,0,697,488,488,500,501,489
35,866,5136,1916,422,392,0,706,547,544,560,556,548
36,674,4631,1720,409,288,1,815,603,603,615,616,603
37,544,4118,1538,391,213,1,821,591,590,604,602,590
38,433,3647,1363,376,174,2,888,655,656,668,668,656
39,360,3216,1197,346,125,0,883,627,626,638,638,627
40,304,2795,1023,344,106,1,875,636,635,647,647,636
41,261,2430,900,316,86,1,960,659,659,671,672,659
42,221,2133,785,297,90,1,960,684,684,697,697,685
43,205,1862,690,280,66,0,960,748,749,761,758,749
44,177,1625,603,250,62,0,965,737,738,750,750,738
45,158,1438,539,228,53,0,957,705,706,718,718,706
46,132,1276,459,213,53,1,985,744,743,757,757,743
47,96,1128,396,188,49,0,1028,748,748,756,761,749
48,83,1015,347,174,30,1,1044,793,791,803,806,793
49,67,885,313,162,31,1,1044,734,735,744,744,735
50,61,775,277,136,22,0,1055,738,739,751,751,739
51,48,675,249,125,22,0,1124,782,783,795,795,783
52,42,568,217,116,14,0,1043,778,778,790,791,779
53,40,478,184,108,16,0,1115,742,743,753,755,743
54,38,419,162,96,13,1,1027,800,798,811,811,799
55,34,373,140,88,16,0,1090,803,803,810,813,804
56,37,315,123,81,9,1,1087,787,787,799,800,787
57,28,286,111,72,13,2,1093,804,805,815,817,805
58,28,244,95,67,8,0,1032,772,773,785,785,773
59,27,213,82,63,6,1,1062,761,762,774,774,762
60,21,183,69,61,11,0,1069,793,793,805,804,793
61,16,161,67,52,9,0,1069,842,841,855,855,843
62,18,138,62,45,4,1,1029,850,849,863,863,849
63,14,127,52,40,8,2,1104,770,771,781,782,771
64,16,110,46,38,5,1,1097,756,755,767,767,755
65,10,97,39,31,8,1,1134,761,761,773,773,761
66,13,82,34,29,1,1,1113,819,819,831,831,819
67,15,72,30,22,3,0,1139,797,796,810,810,798
68,8,64,25,20,7,1,1141,761,762,773,774,762
69,7,56,22,19,4,1,1113,858,858,867,871,857
70,7,49,22,17,2,0,1079,830,831,842,843,830
71,7,40,22,17,2,0,1102,812,810,825,825,813
72,2,36,18,16,5,0,1094,748,749,761,761,749
73,1,29,16,18,1,0,1132,805,806,818,817,803
74,3,21,11,15,0,0,1116,783,784,796,796,784
75,1,20,10,13,2,0,1094,789,788,800,799,788
76,2,18,9,10,1,0,1096,774,774,787,786,775
77,4,17,6,10,0,0,1140,763,762,774,774,764
78,6,9,6,7,1,2,1154,740,741,753,753,741
79,5,8,5,4,1,1,1118,833,833,846,845,834
80,3,9,5,4,4,0,1125,767,768,780,780,768
81,4,8,5,4,0,1,1130,799,798,809,812,800
82,3,6,5,4,1,0,1108,779,780,792,792,780
83,2,5,6,1,2,0,1136,815,816,826,828,816
84,3,5,6,1,1,0,1124,779,778,792,791,780
85,3,6,4,1,1,1,1129,773,774,786,786,774
86,1,7,3,0,2,2,1114,810,808,819,819,809
87,2,5,1,0,0,0,1123,852,851,865,863,853
88,0,5,1,0,2,1,1082,789,790,800,802,790
89,0,2,0,0,0,0,1122,815,816,826,827,816
90,0,2,0,0,0,1,1089,774,775,787,787,775
91,1,1,0,0,0,1,1106,803,804,816,816,804
92,1,1,0,0,0,1,1112,816,817,829,829,817
93,0,1,1,0,1,0,1129,749,748,762,760,750
94,0,1,0,0,0,0,1079,820,819,832,831,820
95,0,1,0,0,0,0,1108,786,787,799,798,787
96,0,1,0,0,0,0,1136,790,790,803,803,791
97,0,1,0,0,0,1,1092,782,783,795,795,783
98,0,1,0,0,0,0,1167,751,752,764,764,752
99,0,1,0,0,0,0,1113,801,798,810,814,802
100,0,0,0,0,0,1,1109,827,828,840,840,826
101,0,0,0,0,0,1,1084,812,813,824,825,813
102,0,0,0,0,0,0,1074,818,816,830,830,818
103,0,0,0,0,0,0,1060,789,790,802,802,790
104,0,0,0,0,0,0,1129,872,872,885,885,873
105,0,0,0,0,0,1,1114,846,844,856,859,847
106,0,0,0,0,0,1,1056,812,809,825,825,813
107,0,0,0,0,0,0,1094,830,831,842,843,830
108,0,0,0,0,0,0,1119,840,841,853,853,840
109,0,0,0,0,0,0,1118,833,831,846,845,832
110,0,0,0,0,0,1,1179,819,820,828,830,820
111,0,0,0,0,0,0,1113,762,762,775,775,763
112,0,0,0,0,0,2,1120,760,761,773,773,761
113,0,0,0,0,0,1,1126,795,796,808,808,796
114,0,0,0,0,0,1,1084,825,826,838,838,826
115,0,0,0,0,0,0,1135,804,803,817,815,805
116,0,0,0,0,0,1,1091,799,800,812,812,800
117,0,0,0,0,0,1,1079,747,747,760,759,748
118,0,0,0,0,0,0,1158,822,821,834,834,821
119,0,0,0,0,0,1,1164,813,812,824,824,812
120,0,0,0,0,0,2,1155,816,817,829,829,817
121,0,0,0,0,0,0,1118,887,887,899,899,887
122,0,0,0,0,0,1,1113,808,807,819,821,809
123,0,0,0,0,0,1,1194,790,791,803,802,791
124,0,0,0,0,0,0,1141,793,791,806,806,794
125,0,0,0,0,0,0,1090,843,843,855,855,844
126,0,0,0,0,0,1,1070,815,816,828,828,816
127,0,0,0,0,0,2,1081,759,760,772,772,760
128,0,0,0,0,0,0,1080,810,808,823,823,811
129,0,0,0,0,0,1,1159,794,793,805,807,794
130,0,0,0,0,0,0,1083,830,831,843,843,831
131,0,0,0,0,0,0,1082,823,824,834,836,824
132,0,0,0,0,0,0,1116,729,730,742,741,730
133,0,0,0,0,0,3,1103,763,763,776,776,764
134,0,0,0,0,0,0,1131,775,774,788,784,771
135,0,0,0,0,0,0,1083,763,763,776,776,764
136,0,0,0,0,0,4,1115,818,818,831,831,819
137,0,0,0,0,0,1,1119,794,794,807,805,795
138,0,0,0,0,0,5,1097,852,853,865,865,853
139,0,0,0,0,0,0,1121,799,800,812,812,800
140,0,0,0,0,0,0,1072,800,799,811,805,799
141,0,0,0,0,0,1,1126,798,798,810,810,799
142,0,0,0,0,0,1,1160,768,769,780,780,768
143,0,0,0,0,0,0,1129,797,797,806,807,798
144,0,0,0,0,0,0,1141,780,778,790,790,781
145,0,0,0,0,0,0,1107,819,820,832,832,820
146,0,0,0,0,0,0,1162,817,817,827,830,817
147,0,0,0,0,0,2,1114,806,803,817,819,807
148,0,0,0,0,0,2,1131,861,862,871,874,862
149,0,0,0,0,0,1,1101,832,833,845,845,833
150,0,0,0,0,0,1,1075,734,734,746,747,732
151,0,0,0,0,0,0,1114,806,806,818,819,806
152,0,0,0,0,0,0,1086,795,796,804,805,796
153,0,0,0,0,0,1,1128,815,815,828,826,816
154,0,0,0,0,0,0,1137,824,823,834,835,824
155,0,0,0,0,0,0,1058,807,805,817,819,807
156,0,0,0,0,0,1,1082,800,798,810,810,799
157,0,0,0,0,0,0,1081,775,773,788,787,775
158,0,0,0,0,0,0,1126,839,840,849,849,839
159,0,0,0,0,0,1,1023,813,812,825,825,813
160,0,0,0,0,0,1,1127,819,819,832,831,820
161,0,0,0,0,0,1,1140,804,805,817,817,805
162,0,0,0,0,0,0,1028,826,826,838,839,827
163,0,0,0,0,0,1,1144,774,774,786,786,774
164,0,0,0,0,0,0,1116,824,825,836,837,825
165,0,0,0,0,0,2,1102,853,852,866,866,854
166,0,0,0,0,0,0,1133,796,794,806,806,794
167,0,0,0,0,0,0,1098,809,810,822,822,810
168,0,0,0,0,0,1,1116,819,820,832,832,820
169,0,0,0,0,0,0,1086,805,806,818,818,806
170,0,0,0,0,0,1,1090,809,810,822,822,810
171,0,0,0,0,0,1,1145,877,877,889,889,878
172,0,0,0,0,0,1,1106,811,812,824,824,812
173,0,0,0,0,0,2,1134,839,840,850,852,840
174,0,0,0,0,0,0,1157,801,802,814,814,802
175,0,0,0,0,0,1,1097,795,796,807,808,796
176,0,0,0,0,0,0,1090,827,828,840,840,828
177,0,0,0,0,0,0,1118,776,777,789,789,777
178,0,0,0,0,0,2,1092,831,831,841,840,832
179,0,0,0,0,0,0,1171,807,807,820,819,808
180,0,0,0,0,0,1,1093,758,757,769,769,757
181,0,0,0,0,0,2,1153,828,829,841,841,829
182,0,0,0,0,0,1,1121,846,845,857,858,846
183,0,0,0,0,0,1,1125,815,814,828,828,816
184,0,0,0,0,0,0,1034,791,792,803,804,792
185,0,0,0,0,0,2,1120,778,779,788,790,779
186,0,0,0,0,0,0,1135,770,771,783,783,771
187,0,0,0,0,0,0,1127,792,793,805,805,793
188,0,0,0,0,0,0,1063,843,843,856,856,844
189,0,0,0,0,0,1,1056,821,821,833,833,822
190,0,0,0,0,0,3,1129,813,812,825,825,811
191,0,0,0,0,0,1,1098,821,822,834,834,822
192,0,0,0,0,0,0,1050,831,831,844,843,832
193,0,0,0,0,0,1,1071,799,797,810,809,800
194,0,0,0,0,0,0,1097,760,760,772,773,760
195,0,0,0,0,0,0,1085,778,776,791,791,779
196,0,0,0,0,0,0,1130,820,821,833,833,821
197,0,0,0,0,0,0,1099,740,739,751,753,741
198,0,0,0,0,0,0,1094,808,808,820,820,808
199,0,0,0,0,0,4,1110,795,794,806,808,796
200,0,0,0,0,0,1,1186,825,826,837,837,826
201,0,0,0,0,0,0,1176,801,800,810,812,800
202,0,0,0,0,0,3,1100,795,794,806,804,796
203,0,0,0,0,0,1,1070,826,827,836,839,826
