,E,I_sym,I_asym,ICU,Daily_infected,Reinfection,Sequela 1,Sequela 2,Sequela 3,Sequela 4,Sequela 5,Sequela 6
0,1,2,1,0,1,0,0,0,0,0,0,0
1,4,2,1,0,0,0,0,0,0,0,0,0
2,3,4,1,0,3,0,0,0,0,0,0,0
3,11,4,1,0,1,0,0,0,1,0,0,0
4,13,7,1,1,6,0,1,0,0,0,0,0
5,22,8,1,1,5,0,0,0,0,13,13,0
6,37,8,2,1,2,0,0,0,0,0,13,0
7,40,21,6,1,18,0,1,0,0,0,0,0
8,88,30,8,1,11,0,1,0,0,13,0,0
9,131,44,14,3,30,0,0,0,0,0,0,0
10,207,69,28,3,44,0,0,0,1,0,13,0
11,354,106,42,3,66,0,1,1,1,13,0,1
12,569,186,61,3,119,0,1,1,1,0,13,1
13,923,274,93,8,166,0,2,3,3,16,16,4
14,1349,457,164,8,306,0,8,3,2,15,16,4
15,2080,720,242,14,424,0,5,1,2,14,14,2
16,3051,1103,381,17,653,0,8,7,7,20,19,7
17,4094,1674,598,26,1001,0,19,10,11,23,23,11
18,4183,2353,849,40,1259,0,17,20,20,32,32,14
19,4431,2992,1090,55,1350,0,39,20,21,33,32,21
20,4918,3636,1290,71,1396,0,45,36,35,49,49,37
21,4759,4252,1511,91,1602,1,70,53,53,66,64,54
22,4901,4745,1720,138,1554,0,102,83,84,95,96,84
23,4582,5240,1913,167,1626,0,134,96,97,106,109,97
24,4623,5557,2025,184,1473,0,169,110,111,123,123,111
25,4659,5841,2109,230,1510,0,186,138,137,151,151,139
26,4562,6083,2223,257,1559,0,240,172,172,185,184,172
27,4686,6316,2281,293,1473,0,261,203,204,216,216,204
28,4562,6542,2327,311,1535,0,320,233,234,246,246,234
29,4337,6692,2394,320,1510,0,371,292,292,303,303,293
30,4078,6735,2437,336,1397,1,373,336,337,348,349,337
31,3816,6698,2400,367,1235,0,456,332,333,345,345,333
32,3388,6630,2402,398,1261,0,504,360,361,373,372,361
33,3043,6410,2356,402,1077,0,570,411,412,424,424,412
34,2610,6187,2294,409,1006,2,627,426,427,439,439,427
35,2335,5866,2145,404,837,0,703,482,481,493,494,482
36,1960,5579,2090,409,756,0,757,485,486,498,498,486
37,1557,5264,1967,401,637,0,721,515,516,528,528,516
38,1246,4884,1810,387,497,0,716,603,603,616,616,604
39,984,4475,1663,370,410,1,812,568,569,581,581,569
40,753,4026,1524,365,340,0,879,649,649,662,662,650
41,599,3641,1363,354,252,0,781,614,611,624,625,613
42,483,3266,1215,341,198,1,931,621,622,634,634,622
43,397,2924,1101,322,155,0,882,682,683,695,695,683
44,320,2617,961,311,129,0,988,714,715,727,725,713
45,272,2320,867,285,94,0,1007,696,697,709,709,697
46,230,2034,762,263,85,2,981,761,759,773,771,760
47,197,1804,681,248,76,2,969,707,707,720,720,707
48,168,1592,615,232,62,0,1039,774,774,787,784,775
49,145,1388,537,207,50,1,1045,668,668,679,681,669
50,108,1228,475,200,48,0,1018,770,770,782,781,769
51,87,1080,425,188,38,0,1050,795,795,806,807,796
52,58,967,373,173,43,1,1062,811,810,822,823,811
53,50,837,318,160,17,0,1109,745,745,757,757,746
54,46,742,281,151,18,0,1115,818,815,830,831,817
55,48,629,253,147,14,0,1125,802,802,814,815,802
56,43,550,215,136,9,0,1122,805,802,816,818,805
57,38,491,184,122,15,1,1151,851,851,862,864,851
58,25,442,165,111,17,2,1128,787,786,800,797,788
59,30,388,137,101,9,2,1109,799,798,812,811,799
60,26,329,118,90,8,0,1140,815,815,824,827,815
61,27,277,105,83,4,2,1146,812,813,821,825,813
62,22,242,95,75,9,0,1135,819,819,831,830,819
63,23,214,83,60,4,0,1110,870,868,880,880,870
64,17,186,75,52,9,0,1140,834,833,845,847,833
65,19,163,64,46,1,2,1132,829,830,842,842,830
66,18,147,55,40,7,0,1158,771,772,783,784,772
67,13,124,48,38,7,1,1145,808,808,816,821,809
68,8,108,46,39,5,1,1128,816,815,824,827,817
69,8,93,41,35,0,2,1116,821,821,834,834,822
70,8,78,35,32,3,0,1132,810,811,820,823,811
71,4,66,27,30,4,1,1056,831,831,842,839,831
72,5,54,23,26,0,0,1128,801,802,814,812,800
73,5,48,19,21,1,1,1107,790,791,802,801,791
74,5,37,16,21,0,1,1178,862,862,874,875,862
75,3,32,15,21,3,1,1156,803,802,812,814,802
76,5,28,11,16,0,2,1196,874,873,886,887,875
77,3,25,12,14,2,1,1220,837,838,848,850,836
78,3,20,9,11,1,1,1124,862,863,875,869,863
79,1,17,9,10,2,0,1142,866,866,879,878,866
80,1,15,7,9,0,1,1109,873,873,885,885,873
81,0,12,6,8,1,0,1142,848,849,861,861,849
82,0,12,5,8,0,0,1077,852,853,865,865,853
83,1,10,3,6,0,1,1152,827,827,840,840,828
