,E,I_sym,I_asym,ICU,Daily_infected,Reinfection,Sequela 1,Sequela 2,Sequela 3,Sequela 4,Sequela 5,Sequela 6
0,4,1,4,0,1,0,0,0,0,0,0,0
1,12,1,5,0,1,0,0,0,0,0,0,0
2,18,3,4,0,3,0,1,0,0,0,0,0
3,19,7,5,0,6,0,0,0,1,0,0,0
4,33,6,6,0,3,0,0,0,0,0,0,1
5,45,15,5,0,9,0,0,0,0,13,0,1
6,69,26,13,0,22,0,0,0,0,0,0,1
7,120,30,15,0,13,0,1,0,1,13,0,0
8,178,50,22,0,33,0,0,0,1,0,13,1
9,249,78,33,1,51,0,0,1,0,13,14,0
10,362,130,45,3,83,0,2,0,0,13,13,1
11,568,191,69,5,117,0,2,1,2,14,0,2
12,833,294,112,5,190,0,2,1,1,13,13,2
13,1276,463,155,5,272,0,7,4,5,16,16,5
14,1950,713,238,10,421,0,16,6,7,19,18,7
15,2309,1072,359,14,606,0,5,9,9,21,21,9
16,2861,1453,496,24,733,0,16,7,8,20,20,8
17,3550,1923,641,40,905,0,15,13,14,26,26,14
18,4323,2483,779,52,1102,0,38,24,24,36,37,25
19,4928,3186,1077,66,1443,0,36,49,49,62,62,47
20,4824,3903,1368,83,1593,0,66,41,41,53,52,41
21,5025,4516,1582,102,1581,0,67,73,72,86,86,71
22,5440,5070,1793,135,1660,0,117,83,83,95,96,84
23,5265,5564,1958,163,1666,0,140,100,101,113,113,101
24,5233,6039,2096,200,1674,0,159,127,128,140,140,128
25,5127,6375,2259,232,1712,0,198,151,152,162,164,152
26,5082,6669,2370,265,1664,0,285,165,166,177,177,164
27,4958,6929,2456,298,1626,0,273,206,205,219,219,205
28,4758,7067,2519,338,1581,0,329,256,256,266,266,257
29,4448,7217,2583,367,1571,0,385,279,280,288,292,280
30,4121,7208,2582,372,1432,0,417,314,312,325,325,314
31,3480,7176,2577,396,1350,0,517,385,386,397,398,386
32,2869,6943,2482,406,1126,0,529,428,429,441,441,429
33,2375,6568,2381,413,887,0,553,434,435,447,447,435
34,1876,6228,2233,423,761,1,635,476,474,489,485,476
35,1545,5730,2091,421,566,1,657,516,514,529,528,517
36,1221,5261,1939,408,505,0,795,553,553,565,566,551
37,1002,4793,1765,405,367,0,773,572,572,584,584,573
38,813,4344,1614,396,321,1,762,621,621,633,632,621
39,685,3919,1448,388,253,1,829,586,586,595,599,587
40,527,3516,1324,382,244,1,855,662,662,674,675,662
41,431,3160,1194,368,174,0,888,709,710,720,722,710
42,376,2782,1066,335,129,0,925,685,686,698,696,686
43,315,2487,965,310,138,1,958,681,682,693,694,682
44,268,2187,865,287,107,3,939,662,663,675,675,663
45,228,1908,787,261,84,1,943,774,775,785,786,772
46,200,1672,711,253,78,0,1011,737,737,750,750,738
47,167,1474,628,237,67,2,1018,733,734,745,745,734
48,117,1295,535,217,61,1,1069,768,769,781,781,769
49,100,1111,469,190,34,0,1056,806,806,819,819,807
50,83,986,410,165,36,2,1051,751,752,764,764,752
51,78,867,366,153,22,0,1143,790,789,801,801,791
52,67,741,319,138,20,2,1128,799,794,812,812,800
53,61,642,278,128,15,1,1109,784,784,796,796,784
54,61,566,238,117,16,0,1114,769,770,782,779,770
55,48,504,216,101,20,0,1095,774,772,781,785,773
56,37,442,199,89,18,3,1110,806,806,818,818,806
57,39,381,177,83,7,1,1059,814,815,827,825,815
58,44,330,152,67,7,0,1099,769,768,780,780,770
59,35,295,132,62,16,0,1199,764,764,776,776,764
60,29,265,111,52,12,1,1072,756,754,763,769,757
61,20,231,97,48,12,0,1103,816,816,828,829,816
62,19,200,91,47,8,0,1155,762,762,775,775,763
63,21,188,81,43,4,2,1148,829,830,841,842,828
64,17,161,75,37,7,0,1094,831,832,840,842,832
65,16,148,69,35,7,1,1137,825,825,837,838,826
66,15,132,67,30,6,1,1134,877,875,888,890,878
67,16,108,59,28,5,0,1078,811,812,824,824,812
68,17,94,55,26,3,0,1146,826,827,839,839,827
69,20,84,48,26,3,1,1107,804,805,817,817,805
70,21,76,43,26,4,1,1154,838,838,850,851,839
71,16,71,36,25,6,0,1133,830,831,843,843,831
72,13,64,35,23,5,1,1124,827,823,835,839,825
73,12,58,31,26,4,0,1128,777,777,789,790,778
74,10,51,28,22,5,0,1155,779,775,792,791,779
75,14,46,25,21,1,1,1105,799,800,812,812,800
76,15,39,24,21,4,1,1136,769,770,782,782,770
77,12,34,25,18,5,1,1157,875,875,888,888,876
78,8,31,21,14,5,1,1114,804,800,814,817,802
79,4,30,19,12,4,0,1204,844,845,857,857,845
80,3,23,18,11,1,2,1134,797,798,810,810,798
81,5,20,16,9,0,1,1138,798,798,811,810,799
