,E,I_sym,I_asym,ICU,Daily_infected,Reinfection,Sequela 1,Sequela 2,Sequela 3,Sequela 4,Sequela 5,Sequela 6
0,10,1,3,0,1,0,0,0,0,0,0,0
1,16,2,3,0,1,0,0,0,0,0,0,0
2,15,5,5,0,6,0,0,0,0,0,0,0
3,29,7,5,0,4,0,0,0,0,0,0,0
4,40,13,9,0,10,0,0,0,0,0,0,0
5,68,23,15,0,17,0,0,0,0,0,0,0
6,119,35,21,0,22,0,0,0,0,0,0,0
7,216,63,28,0,42,0,0,0,0,0,0,0
8,336,110,34,0,67,0,1,0,0,13,0,0
9,584,172,52,3,97,0,1,1,1,13,13,1
10,834,288,96,5,192,0,1,3,0,13,16,1
11,1330,440,172,8,279,0,5,0,1,13,13,1
12,2034,672,274,13,432,0,5,4,4,14,16,3
13,2924,1089,398,14,672,0,11,3,4,15,16,3
14,3854,1653,608,26,995,0,17,10,11,23,23,11
15,4868,2296,856,47,1220,0,20,19,18,32,30,20
16,5727,3098,1178,63,1601,0,28,19,18,31,31,19
17,5919,4038,1486,88,1877,0,43,39,35,51,51,39
18,6309,4839,1781,105,1919,0,67,49,49,62,61,50
19,6574,5696,2070,148,2088,0,106,78,78,90,91,78
20,6236,6455,2300,182,2116,0,109,91,91,104,103,92
21,6165,7021,2480,231,2007,0,187,131,132,144,144,132
22,5951,7520,2637,256,2005,0,227,166,166,178,179,167
23,5193,7806,2749,302,1873,0,237,195,196,208,208,194
24,4342,7986,2786,314,1737,0,289,239,240,251,250,239
25,3685,7837,2796,346,1484,1,381,264,264,277,277,265
26,3130,7604,2747,374,1239,0,408,339,340,352,352,340
27,2754,7190,2650,401,993,0,493,330,331,343,343,331
28,2382,6751,2510,409,876,0,531,417,418,430,430,418
29,2050,6336,2354,409,790,2,590,431,432,444,444,432
30,1681,5848,2227,427,647,1,605,469,469,481,480,469
31,1405,5371,2063,430,543,0,710,502,503,515,515,503
32,1195,4919,1907,427,457,0,708,534,535,547,547,535
33,1042,4485,1723,402,366,1,783,560,559,573,572,561
34,892,4082,1579,389,346,2,850,594,595,607,607,594
35,772,3671,1414,370,284,1,873,624,625,637,637,625
36,611,3342,1284,354,263,0,884,646,647,659,657,647
37,522,2962,1124,339,175,1,863,615,611,626,624,616
38,417,2612,1013,336,164,0,896,675,675,688,688,675
39,340,2315,924,327,137,1,950,662,663,672,673,662
40,281,2040,818,308,106,0,963,709,710,722,722,710
41,236,1794,722,291,92,1,992,742,743,755,755,743
42,218,1590,627,273,68,0,1001,712,710,721,724,712
43,186,1414,567,247,75,0,977,717,718,726,730,718
44,163,1244,512,224,65,0,1016,721,722,734,733,722
45,145,1091,471,210,43,0,1020,704,703,716,717,705
46,130,968,415,185,48,1,1101,760,760,773,773,761
47,125,823,362,171,35,0,1059,763,764,775,775,764
48,117,746,322,155,32,0,1109,753,752,763,766,753
49,98,670,286,137,39,1,1102,802,803,814,815,803
50,88,596,252,128,30,0,1044,727,728,740,740,728
51,86,532,226,119,24,2,1099,737,738,750,749,738
52,69,471,206,106,31,1,1075,806,805,814,817,806
53,64,429,187,95,20,1,1107,799,799,810,810,798
54,49,384,155,89,21,2,1064,833,834,845,845,833
55,48,352,141,75,19,0,1128,805,802,815,813,802
56,35,312,124,65,19,0,1109,775,772,784,787,775
57,31,272,108,53,13,0,1087,810,811,822,822,808
58,29,250,101,44,13,0,1131,802,800,813,814,802
59,32,220,87,38,7,0,1082,835,833,845,848,833
60,29,189,74,37,9,0,1090,815,816,828,827,814
61,19,169,69,33,12,1,1099,844,845,857,857,845
62,19,154,61,33,5,1,1100,818,818,830,831,819
63,14,139,54,33,8,1,1163,827,825,835,836,823
64,15,124,45,31,4,0,1147,818,817,829,829,817
65,11,115,39,29,6,0,1104,819,818,831,831,819
66,11,102,36,26,4,0,1104,820,819,832,832,821
67,6,95,32,26,5,0,1157,838,839,850,850,839
68,5,90,31,22,5,1,1143,843,844,856,856,844
69,8,77,26,22,2,1,1117,787,787,799,799,787
70,7,71,25,21,2,2,1027,823,824,835,835,824
71,8,65,22,19,2,2,1102,820,819,832,833,820
72,9,61,18,15,0,2,1148,839,837,847,850,840
73,8,58,17,13,3,0,1168,826,826,836,839,827
74,10,46,12,11,2,1,1125,839,840,852,852,840
75,9,40,12,10,4,2,1146,793,794,799,806,794
76,8,38,8,8,2,3,1128,832,833,844,845,832
77,7,36,7,8,1,1,1144,793,793,806,806,794
78,6,33,5,7,3,4,1097,831,832,844,844,832
79,3,30,5,6,3,0,1094,797,797,807,809,798
80,2,24,5,6,2,1,1036,844,844,856,855,843
81,2,22,5,3,0,0,1173,864,862,874,875,862
82,2,19,4,3,0,2,1103,811,812,824,824,812
83,2,18,1,3,0,0,1041,827,828,840,840,828
84,2,15,1,3,0,1,1148,853,853,865,866,854
85,2,15,1,3,0,1,1142,829,830,842,841,830
86,1,15,1,3,1,0,1191,787,788,800,800,788
87,3,14,1,4,0,0,1179,832,833,845,845,833
88,3,12,2,4,1,0,1111,787,788,800,800,788
89,3,12,2,4,0,0,1161,809,810,822,822,810
90,2,12,3,3,1,4,1118,849,850,862,862,850
91,3,12,3,3,1,1,1091,835,833,847,846,835
92,3,13,3,4,2,2,1136,833,831,846,845,834
93,3,10,2,5,2,0,1129,789,790,802,802,790
94,3,9,0,4,1,1,1114,787,787,796,800,788
95,3,7,0,3,0,1,1088,819,819,831,831,820
96,2,6,1,3,1,1,1157,851,852,864,864,852
97,2,4,1,3,0,0,1182,824,825,837,837,825
98,1,5,0,1,1,0,1176,818,819,831,831,819
99,1,3,0,1,0,1,1138,771,771,783,783,771
100,1,2,0,1,0,0,1097,845,846,858,858,846
101,0,2,1,1,1,0,1143,790,791,802,802,790
102,0,2,1,1,0,0,1116,823,824,836,836,824
103,0,1,1,1,0,2,1117,807,808,820,820,808
104,0,0,1,1,0,1,1097,773,774,786,785,772
105,0,0,0,1,0,0,1127,790,791,803,803,791
106,0,0,0,1,0,0,1069,834,834,845,845,833
107,0,0,0,1,0,1,1173,892,893,904,905,892
108,0,0,0,1,0,1,1112,821,821,833,833,821
109,0,0,0,1,0,0,1106,824,825,833,835,823
110,0,0,0,1,0,1,1152,833,834,846,846,834
111,0,0,0,1,0,1,1075,804,805,817,817,805
112,0,0,0,1,0,1,1146,789,790,802,800,789
113,0,0,0,1,0,3,1153,812,811,823,823,812
114,0,0,0,1,0,0,1147,827,828,840,840,828
115,0,0,0,1,0,0,1085,840,841,853,853,841
116,0,0,0,1,0,0,1103,827,827,839,838,826
117,0,0,0,1,0,1,1170,816,817,829,829,815
118,0,0,0,1,0,0,1141,851,851,863,860,852
119,0,0,0,1,0,1,1129,855,853,867,868,856
120,1,0,0,1,0,0,1114,821,822,833,834,822
121,1,0,0,1,0,1,1139,826,827,839,839,827
122,1,0,0,1,0,0,1159,824,825,835,837,825
123,1,0,0,1,0,2,1123,800,799,813,809,799
124,0,0,1,1,1,0,1130,820,817,829,832,817
125,0,0,1,1,0,0,1128,735,736,748,748,736
126,1,0,1,1,0,0,1155,881,882,893,893,882
127,0,1,1,1,1,0,1145,783,784,796,796,784
128,0,1,1,1,0,2,1091,842,841,854,851,840
129,2,1,1,1,0,1,1133,833,834,845,846,834
130,2,1,1,1,0,1,1108,798,793,811,811,797
131,2,1,1,1,0,0,1134,844,843,857,857,845
132,2,1,0,1,0,1,1122,802,801,815,815,803
133,1,1,1,1,1,0,1155,849,850,862,862,850
134,0,2,1,1,1,1,1081,813,814,821,826,814
135,1,2,1,1,0,0,1097,763,764,775,776,764
136,1,2,1,1,0,0,1162,815,816,828,828,816
