,E,I_sym,I_asym,ICU,Daily_infected,Reinfection,Sequela 1,Sequela 2,Sequela 3,Sequela 4,Sequela 5,Sequela 6
0,6,4,2,0,2,0,0,0,0,0,0,0
1,9,3,2,0,1,0,0,0,0,0,0,0
2,12,4,3,0,2,0,0,0,0,0,0,0
3,16,6,3,0,2,0,0,0,0,0,0,0
4,23,9,4,1,5,0,0,0,0,0,0,0
5,33,15,5,1,8,0,0,0,0,0,0,1
6,50,22,9,1,14,0,0,0,0,0,0,0
7,86,26,18,1,19,0,0,0,0,0,0,0
8,122,41,22,1,24,0,0,0,0,0,0,0
9,186,61,32,1,40,0,0,0,1,0,13,0
10,279,100,44,1,61,0,0,2,0,14,14,0
11,474,156,51,4,88,0,2,2,3,0,15,1
12,714,242,81,5,145,0,1,2,3,13,15,2
13,1123,381,119,8,235,0,1,1,2,14,13,1
14,1699,599,202,11,380,0,4,5,5,17,17,5
15,2482,901,305,14,519,0,10,4,4,16,17,5
16,3419,1368,482,23,835,0,18,11,11,23,23,11
17,4347,1974,737,34,1143,0,14,11,9,24,24,12
18,5204,2778,989,45,1442,1,31,23,24,36,36,24
19,6113,3668,1229,61,1689,0,37,23,23,36,35,23
20,6832,4574,1592,84,1931,0,62,42,43,55,55,43
21,7318,5532,1961,109,2243,0,83,56,56,68,69,56
22,7192,6453,2323,155,2328,0,111,89,90,100,101,90
23,7131,7207,2592,206,2299,0,150,101,101,111,113,101
24,6642,7856,2790,256,2302,0,168,145,144,158,158,146
25,6065,8364,2951,296,2141,0,238,195,196,207,207,195
26,5017,8622,3053,331,1970,0,326,207,208,220,220,208
27,4122,8617,3105,357,1695,0,368,264,263,276,275,264
28,3488,8289,3008,387,1331,1,402,303,304,316,316,304
29,2880,7939,2872,421,1148,0,473,351,352,362,364,351
30,2396,7403,2726,440,933,0,565,379,380,392,392,380
31,1949,6898,2574,434,802,0,601,424,425,437,437,425
32,1596,6406,2388,430,648,0,627,461,460,473,473,461
33,1326,5859,2215,431,529,0,696,497,498,510,510,495
34,1088,5326,2016,420,429,0,782,512,513,525,524,512
35,881,4853,1841,417,357,0,795,595,596,608,608,596
36,714,4328,1670,409,284,2,826,559,559,571,571,558
37,600,3847,1504,400,220,0,824,603,604,616,616,604
38,482,3423,1345,387,209,0,878,637,638,650,650,638
39,394,3017,1199,367,156,0,977,708,707,721,721,709
40,324,2671,1057,332,132,2,911,706,707,719,719,707
41,281,2326,938,308,97,1,971,691,691,703,704,692
42,239,2091,836,276,91,2,961,701,702,714,714,702
43,206,1850,737,245,75,2,1019,737,738,748,750,737
44,173,1608,666,228,64,0,1040,754,755,765,767,754
45,164,1427,588,209,56,0,1038,776,776,789,788,777
46,163,1243,514,193,41,0,1047,762,763,775,774,762
47,122,1111,455,181,60,0,1096,800,801,811,813,801
48,96,990,393,173,38,1,1047,767,768,779,780,768
49,83,852,343,158,28,1,1092,785,785,798,796,786
50,67,738,297,142,22,0,1126,865,866,878,878,866
51,56,640,262,125,18,1,1077,744,745,757,756,745
52,45,560,234,118,22,1,1106,835,836,848,848,836
53,44,491,209,110,11,0,1099,792,793,804,804,792
54,28,425,183,101,20,0,1066,820,821,833,833,821
55,23,367,165,85,11,0,1175,829,830,841,840,830
56,23,326,141,73,7,1,1048,855,856,867,867,856
57,22,282,122,62,6,2,1100,815,815,828,827,816
58,23,240,108,56,5,0,1178,811,812,824,822,812
59,20,211,102,52,8,1,1143,871,872,884,884,872
60,15,189,83,48,8,1,1147,800,801,813,813,801
61,14,163,70,41,3,1,1156,889,888,902,902,890
62,13,138,59,39,4,0,1183,832,832,845,845,833
63,14,119,54,37,4,0,1147,848,849,860,861,849
64,12,105,49,33,6,1,1137,819,819,830,829,820
65,7,96,49,33,6,1,1142,834,835,845,847,833
66,7,82,45,28,3,1,1093,818,819,830,831,819
67,5,73,39,23,2,0,1170,815,816,824,828,816
68,10,66,34,18,0,2,1075,781,782,794,794,782
69,8,64,27,15,4,0,1155,846,847,858,859,847
70,6,55,24,14,4,2,1119,812,813,825,825,813
71,6,45,20,16,2,2,1161,807,807,820,820,807
72,5,40,20,14,2,1,1155,859,859,872,872,860
73,6,35,19,13,3,0,1184,853,853,863,866,854
74,6,32,16,12,3,0,1176,853,853,866,861,853
75,8,30,14,10,1,0,1158,854,854,867,867,855
76,8,30,14,9,1,0,1136,847,848,860,860,848
77,7,26,13,9,1,0,1178,835,836,846,848,835
78,5,24,11,7,2,1,1185,824,822,835,837,824
79,4,22,9,7,1,0,1167,849,850,862,862,849
80,6,20,9,6,0,2,1098,874,875,886,886,875
81,3,21,10,5,3,1,1163,793,794,804,806,794
82,2,19,10,5,1,3,1133,804,802,816,817,805
83,1,16,10,5,1,1,1136,834,835,847,847,835
84,0,12,8,5,1,0,1093,810,811,823,822,811
85,0,10,6,5,0,1,1163,829,830,842,842,830
86,1,8,6,3,0,0,1117,806,807,819,819,807
87,0,7,4,3,1,2,1178,837,837,846,848,836
88,0,6,4,2,0,2,1142,874,875,887,887,875
89,0,6,3,2,0,1,1127,781,782,792,792,782
90,1,5,3,2,0,0,1079,800,801,812,813,800
91,1,2,3,3,0,0,1124,817,813,828,828,814
92,0,3,3,3,1,2,1122,832,831,844,844,832
93,1,2,3,3,0,1,1126,785,784,795,795,784
94,1,2,3,3,0,0,1159,846,847,859,859,847
95,1,1,3,3,0,2,1185,834,833,847,844,834
96,0,2,1,2,1,0,1119,797,798,810,810,797
