,E,I_sym,I_asym,ICU,Daily_infected,Reinfection,Sequela 1,Sequela 2,Sequela 3,Sequela 4,Sequela 5,Sequela 6
0,7,3,3,0,2,0,0,0,0,0,0,0
1,19,5,3,0,2,0,0,1,0,0,14,0
2,25,9,5,0,6,0,0,0,0,0,0,0
3,43,14,8,0,9,0,0,0,0,0,0,0
4,69,17,14,0,13,0,0,0,0,0,0,0
5,114,32,16,1,23,0,0,0,0,0,0,0
6,171,54,26,1,36,0,1,0,0,13,0,0
7,295,75,36,2,49,0,0,1,0,0,0,0
8,435,130,50,3,89,0,1,0,0,13,0,1
9,663,217,73,3,140,0,2,1,2,14,14,2
10,1006,353,127,7,234,0,2,2,3,14,15,3
11,1528,553,211,11,351,0,4,6,5,18,19,6
12,2377,842,288,12,470,0,7,5,6,18,17,6
13,3267,1309,438,19,791,0,15,8,9,21,21,9
14,4251,1901,643,26,1033,0,11,18,11,30,30,16
15,5165,2683,910,49,1374,0,28,22,21,35,33,22
16,6009,3513,1188,67,1661,0,28,28,27,38,41,29
17,6711,4474,1535,98,1976,0,54,42,42,55,55,43
18,7189,5443,1878,125,2171,0,57,63,63,76,76,64
19,7186,6413,2214,151,2369,0,113,76,74,89,89,77
20,7200,7155,2524,189,2321,0,143,98,99,110,111,99
21,7042,7895,2705,239,2339,0,201,130,131,143,143,131
22,6636,8431,2937,289,2247,1,249,154,155,167,166,154
23,5575,8802,3052,341,2152,0,320,243,244,256,256,244
24,4651,8842,3032,373,1821,1,331,243,243,256,255,243
25,3918,8644,3053,403,1520,0,432,307,308,320,319,307
26,3233,8294,2967,434,1263,0,482,339,339,352,351,340
27,2628,7777,2789,462,1004,0,511,410,409,420,420,411
28,2122,7212,2608,470,830,0,579,422,423,434,435,422
29,1708,6653,2417,473,676,1,634,472,473,484,484,473
30,1346,6069,2221,474,547,1,707,492,491,502,504,493
31,1098,5473,2003,455,400,1,773,554,555,567,567,554
32,841,4918,1841,452,388,0,815,567,568,580,579,567
33,658,4343,1655,454,272,1,877,625,625,637,638,625
34,517,3863,1470,418,201,0,916,623,623,635,635,623
35,409,3380,1286,421,160,0,931,689,689,700,701,689
36,332,2952,1136,396,115,1,944,698,699,710,710,698
37,289,2580,976,376,94,1,963,689,689,701,701,690
38,236,2262,870,353,85,1,974,726,727,737,739,727
39,199,1993,788,322,67,1,1044,747,748,760,759,748
40,159,1737,692,310,66,0,1074,709,710,722,722,710
41,121,1538,613,276,50,0,1072,807,808,818,820,806
42,97,1366,550,248,44,1,1052,740,739,749,751,739
43,86,1176,474,227,33,2,1098,796,794,805,808,795
44,60,1028,408,208,31,0,1031,755,756,768,768,756
45,48,887,353,182,24,0,1100,803,803,815,815,803
46,44,775,314,170,14,2,1080,775,776,788,784,776
47,44,665,275,157,10,2,1103,845,846,858,858,846
48,42,568,244,141,11,1,1133,850,850,863,862,851
49,40,495,200,121,11,1,1132,793,790,806,806,794
