,E,I_sym,I_asym,ICU,Daily_infected,Reinfection,Sequela 1,Sequela 2,Sequela 3,Sequela 4,Sequela 5,Sequela 6
0,6,1,5,0,0,0,0,0,0,0,0,0
1,8,4,5,0,3,0,0,0,0,0,0,0
2,19,4,4,0,2,0,0,0,0,0,0,0
3,21,7,6,0,6,0,0,0,0,0,0,0
4,26,10,8,0,8,0,0,0,0,0,13,0
5,44,14,8,0,7,0,0,0,1,13,0,0
6,65,16,9,0,9,0,2,0,0,0,0,0
7,80,26,11,0,15,0,1,1,0,0,14,0
8,96,43,17,2,28,0,2,1,0,0,14,2
9,129,58,26,2,35,0,2,0,0,0,0,1
10,221,87,32,2,43,0,2,1,0,14,14,0
11,338,130,46,2,70,0,3,1,2,14,13,0
12,504,195,68,3,110,0,4,2,0,15,13,3
13,785,285,108,3,169,0,2,1,2,14,14,2
14,1221,453,143,6,257,0,5,4,5,17,17,5
15,1840,658,233,13,383,0,5,5,6,13,14,2
16,2661,988,353,15,570,0,15,11,10,23,22,8
17,3734,1451,533,29,837,0,14,8,8,21,18,9
18,4774,2144,790,35,1201,0,19,13,14,26,25,13
19,5916,2921,1071,48,1484,0,29,20,19,33,32,18
20,6657,3854,1443,67,1891,0,49,30,30,43,43,31
21,6765,4929,1770,93,2156,0,70,54,55,67,66,55
22,6911,5905,2047,123,2220,0,86,55,56,67,68,56
23,6603,6786,2350,165,2323,0,137,90,87,101,103,91
24,6596,7283,2564,211,2043,0,180,123,123,136,135,123
25,5721,7746,2710,253,2027,0,196,158,159,171,171,159
26,4954,7942,2812,299,1889,0,248,219,220,227,228,220
27,4301,7990,2811,329,1581,1,297,237,234,249,248,236
28,3761,7787,2793,359,1376,0,406,276,277,289,289,277
29,3175,7561,2687,361,1194,0,422,321,321,334,334,322
30,2686,7188,2531,389,1009,0,468,338,339,351,351,339
31,2265,6861,2413,396,881,0,568,382,380,395,394,383
32,1871,6413,2280,392,767,1,620,447,447,460,460,448
33,1615,5944,2082,366,597,1,660,449,449,462,462,448
34,1335,5479,1929,377,520,0,691,505,503,515,516,506
35,1036,5082,1781,368,486,0,724,579,579,590,591,580
36,932,4575,1592,366,327,1,820,561,561,573,573,561
37,818,4152,1468,351,292,0,818,553,553,566,565,553
38,714,3728,1325,331,238,0,800,581,582,594,594,582
39,644,3329,1185,309,229,0,932,602,603,615,614,602
40,549,2992,1066,303,211,1,878,632,630,644,645,632
41,497,2699,972,289,175,1,951,649,650,662,661,649
42,437,2429,898,272,171,0,884,714,715,727,727,715
43,393,2201,807,250,145,3,944,722,723,735,732,722
44,330,1972,734,237,142,1,970,719,717,730,732,720
45,309,1762,661,229,103,0,1012,737,738,750,750,738
46,263,1591,602,222,102,1,1015,790,789,801,803,791
47,250,1379,544,220,65,1,975,743,740,755,752,742
48,221,1215,503,197,76,0,1059,748,749,760,761,749
49,191,1091,448,184,67,0,1083,705,706,718,718,706
50,164,1002,403,168,64,2,1080,797,798,810,810,798
51,156,896,351,158,47,0,1016,761,759,770,774,761
52,138,807,325,150,58,1,1085,740,741,753,753,739
53,131,724,290,146,43,1,1112,779,780,789,792,780
54,118,638,264,136,40,1,1097,783,784,796,795,784
55,105,574,231,124,41,1,1071,832,833,845,845,833
56,95,520,201,106,31,1,1003,829,830,841,842,830
57,91,467,183,100,28,0,1094,796,796,809,809,797
58,83,404,168,89,34,2,1149,765,766,778,778,765
59,75,358,151,81,21,0,1136,817,818,824,830,818
60,70,330,125,78,23,0,1101,829,828,841,840,829
61,56,302,115,73,26,0,1083,765,766,777,777,765
62,50,292,111,61,23,0,1161,792,793,805,805,793
63,50,271,101,52,17,0,1107,787,787,800,800,788
64,40,243,88,52,17,0,1066,792,791,805,803,791
65,37,206,85,43,13,0,1090,826,826,837,839,826
66,38,179,73,38,11,1,1142,806,806,818,817,807
67,29,155,68,38,14,0,1082,772,772,783,784,772
68,26,145,63,37,8,0,1161,782,783,795,795,783
69,17,131,58,31,14,0,1097,888,888,901,898,889
70,17,111,48,30,5,1,1150,808,809,821,821,809
71,18,100,39,29,6,1,1112,855,855,865,868,856
72,21,89,29,21,5,1,1185,798,799,811,810,799
73,20,86,24,17,5,2,1113,784,785,796,797,784
74,18,73,26,18,7,1,1163,800,801,813,813,801
75,16,62,25,20,4,1,1156,800,801,813,810,801
76,11,60,23,13,8,1,1172,793,792,805,806,794
77,10,51,21,12,1,1,1190,814,812,822,824,815
78,12,48,18,10,1,0,1156,785,785,795,797,784
79,9,43,15,9,4,0,1133,835,836,848,848,836
