,E,I_sym,I_asym,ICU,Daily_infected,Reinfection,Sequela 1,Sequela 2,Sequela 3,Sequela 4,Sequela 5,Sequela 6
0,12,4,6,0,0,0,0,0,0,0,0,0
1,19,6,7,0,4,0,0,0,0,0,0,0
2,23,11,7,0,8,0,0,0,0,0,0,0
3,35,17,6,0,10,0,0,0,1,0,0,1
4,64,23,6,0,8,0,0,0,0,0,0,1
5,98,32,8,0,13,0,0,0,0,0,0,1
6,147,48,13,1,30,0,1,0,1,0,0,1
7,221,68,31,2,47,0,2,1,0,14,14,2
8,332,109,43,0,73,0,1,0,0,0,0,1
9,541,189,63,1,121,0,2,2,3,15,15,3
10,865,286,96,3,172,0,2,2,3,15,15,3
11,1330,464,147,4,274,0,3,4,0,13,14,2
12,2052,699,231,8,417,0,7,4,5,15,16,5
13,2986,1066,363,15,647,0,15,12,13,19,19,10
14,3215,1647,561,16,993,0,17,13,14,23,26,14
15,2862,2159,774,28,1022,0,24,20,20,28,31,21
16,2785,2581,884,43,961,0,41,24,25,34,37,25
17,3064,2898,1014,61,915,0,46,35,33,48,46,34
18,3372,3233,1144,71,1045,0,78,47,48,56,60,48
19,3875,3560,1260,87,1067,0,70,67,68,80,80,68
20,4537,3990,1402,116,1240,1,98,78,79,91,91,77
21,4946,4451,1595,134,1473,0,129,81,80,94,92,82
22,5323,4988,1760,172,1613,0,171,102,103,115,115,102
23,5338,5533,1981,193,1750,0,198,140,140,153,153,140
24,5433,6013,2170,209,1781,0,210,164,165,177,177,163
25,5461,6440,2369,241,1797,0,278,198,198,211,210,198
26,5395,6820,2500,254,1774,0,315,215,216,228,225,216
27,5147,7129,2579,281,1733,0,352,260,259,273,273,259
28,4628,7340,2680,299,1655,0,385,280,280,292,292,280
29,4154,7350,2704,325,1464,0,496,344,345,357,357,345
30,3579,7219,2673,348,1329,0,523,396,393,405,409,395
31,3054,6969,2562,361,1109,0,574,414,414,426,426,414
32,2327,6677,2469,378,1034,0,564,455,456,465,467,455
33,1848,6257,2324,387,743,0,704,456,453,469,469,456
34,1460,5808,2117,371,597,0,735,526,527,539,539,526
35,1116,5308,1964,368,488,0,707,551,550,562,562,550
36,882,4800,1799,362,364,0,783,572,571,584,583,571
37,722,4357,1595,354,289,2,849,608,609,621,621,609
38,583,3912,1417,325,239,1,911,635,636,648,648,636
39,484,3437,1271,322,193,1,903,682,683,695,695,683
40,390,3061,1133,318,168,1,914,659,660,672,672,659
41,330,2690,1017,303,121,0,960,729,730,742,742,730
42,251,2379,901,282,124,0,980,727,727,739,740,728
43,213,2070,806,262,73,0,953,687,687,699,699,687
44,181,1823,712,258,71,0,1009,722,723,735,735,723
45,171,1577,625,233,52,2,972,808,807,821,821,809
46,130,1394,541,217,66,0,1045,765,766,778,778,766
47,103,1205,478,190,43,0,1050,810,811,823,823,811
48,77,1027,412,187,40,2,1110,854,849,861,866,854
49,68,893,370,169,21,0,1089,805,806,818,818,806
50,56,778,321,152,21,1,1109,780,780,793,790,780
51,51,680,285,141,15,2,1099,780,781,793,793,781
52,42,595,253,131,19,1,1098,741,742,754,754,742
53,38,515,219,120,14,2,1087,825,826,838,837,825
54,38,435,191,116,10,0,1080,797,798,810,810,798
55,34,374,166,100,11,1,1097,800,801,813,813,801
56,29,327,144,87,13,0,1112,751,752,764,763,752
57,29,292,120,76,5,1,1107,838,838,848,851,836
58,22,260,106,67,11,0,1039,802,802,814,815,801
59,18,229,93,65,8,3,1144,846,846,859,859,847
60,13,203,77,62,8,1,1130,794,795,805,807,793
61,9,180,69,61,6,1,1156,858,859,871,871,859
62,9,161,60,54,3,0,1105,795,796,808,808,796
63,11,129,50,52,2,2,1241,808,809,819,821,809
64,11,118,46,46,3,0,1179,795,796,808,804,796
65,8,103,43,41,6,1,1101,894,893,905,907,893
