,E,I_sym,I_asym,ICU,Daily_infected,Reinfection,Sequela 1,Sequela 2,Sequela 3,Sequela 4,Sequela 5,Sequela 6
0,12,5,6,0,2,0,0,0,0,0,0,0
1,17,8,6,0,5,0,0,0,0,0,0,0
2,40,10,6,0,5,0,1,0,0,0,0,0
3,65,15,7,0,7,0,0,0,0,0,13,1
4,78,30,12,0,24,0,0,0,0,0,0,1
5,134,42,15,0,19,0,0,1,0,14,0,0
6,185,70,30,0,49,0,0,1,0,13,0,2
7,286,103,31,0,54,0,2,0,0,13,13,1
8,428,158,57,0,97,0,0,2,3,15,0,3
9,685,232,83,0,135,0,4,0,1,13,13,1
10,1067,359,121,2,213,0,3,1,2,14,14,2
11,1595,556,193,2,323,0,5,2,2,15,14,2
12,2421,867,285,8,498,0,5,6,7,18,19,7
13,3454,1303,448,15,769,0,11,4,5,17,17,5
14,4303,1939,694,30,1163,0,13,15,15,28,28,16
15,5309,2652,945,43,1343,0,32,16,17,29,29,17
16,4708,3525,1219,68,1694,0,40,29,30,42,42,30
17,4617,4098,1451,93,1512,0,58,42,42,55,54,43
18,4811,4583,1592,119,1469,0,74,67,66,77,80,67
19,5163,5086,1793,134,1598,0,113,77,78,90,90,78
20,5430,5566,1958,154,1680,0,124,108,108,120,120,108
21,5837,5949,2156,184,1730,0,193,121,122,134,134,122
22,5930,6491,2334,215,1890,0,216,158,155,167,167,156
23,5910,7014,2500,242,1930,0,266,185,184,198,198,186
24,5560,7361,2664,287,1927,0,302,229,227,239,242,230
25,4703,7625,2764,311,1830,2,369,257,258,269,269,257
26,3947,7627,2797,354,1553,0,405,325,326,338,338,326
27,3324,7408,2765,373,1312,0,476,348,349,360,361,348
28,2844,7088,2625,392,1092,0,518,383,383,396,395,384
29,2420,6746,2477,392,903,0,569,429,430,441,441,430
30,2045,6329,2314,424,782,0,643,460,461,472,472,460
31,1683,5918,2189,425,695,0,644,482,483,491,494,482
32,1297,5445,1998,407,559,0,709,553,550,565,566,554
33,989,5011,1829,393,445,0,787,524,525,537,537,525
34,820,4478,1646,395,306,0,873,557,558,570,570,558
35,655,4011,1467,381,258,1,779,609,609,622,622,610
36,537,3559,1327,371,201,0,873,627,628,640,640,628
37,447,3178,1182,361,164,0,851,629,630,640,641,630
38,354,2772,1067,350,160,0,885,639,639,651,651,639
39,285,2392,962,333,117,1,951,666,666,679,679,667
40,236,2110,849,313,103,0,991,692,693,705,705,693
41,215,1830,759,291,68,1,999,717,718,728,730,716
42,187,1599,671,271,68,2,1007,754,755,767,766,754
43,160,1441,600,249,71,1,1056,728,727,741,740,729
44,117,1267,534,222,59,0,1052,748,749,760,761,748
45,102,1126,471,206,36,0,1076,748,747,759,761,749
46,89,967,412,203,27,0,1068,754,754,767,766,754
47,83,832,362,180,30,1,1073,777,778,790,790,778
48,73,756,313,161,29,1,1119,761,762,774,774,762
49,69,664,278,151,22,0,1085,794,795,807,806,795
50,60,568,245,142,25,1,1099,813,813,825,824,813
51,53,510,215,125,21,1,1094,714,711,723,727,715
52,52,434,189,110,15,0,1134,794,795,807,807,795
53,44,386,163,101,16,0,1068,810,806,821,823,811
54,41,335,145,94,12,0,1123,812,813,825,825,812
55,37,309,132,75,17,2,1086,800,801,813,813,801
56,32,278,118,64,13,1,1160,827,828,839,839,827
57,32,241,104,50,6,0,1139,840,841,850,853,841
58,27,211,93,46,11,2,1146,818,819,830,831,819
59,23,188,80,40,8,2,1081,838,839,850,851,839
60,16,170,67,34,11,1,1111,807,808,817,820,808
61,18,155,59,22,6,0,1144,826,826,838,838,826
62,18,143,56,20,6,1,1167,760,761,773,773,761
63,18,130,54,19,5,1,1170,792,791,802,803,791
64,18,112,48,19,7,1,1088,814,815,825,827,815
65,14,103,40,19,7,1,1163,802,803,815,815,803
