,E,I_sym,I_asym,ICU,Daily_infected,Reinfection,Sequela 1,Sequela 2,Sequela 3,Sequela 4,Sequela 5,Sequela 6
0,2,4,4,0,3,0,0,0,0,0,0,0
1,10,3,4,1,0,0,0,0,0,0,0,0
2,28,5,4,1,2,0,0,0,0,0,0,0
3,45,12,4,1,9,0,0,0,0,0,0,0
4,66,19,8,1,13,0,0,0,0,0,0,0
5,98,36,13,1,25,0,0,1,0,0,0,0
6,170,61,13,2,35,0,1,0,0,13,0,0
7,283,90,24,4,53,0,1,0,1,13,13,0
8,443,150,43,7,98,0,1,2,0,0,15,1
9,700,227,80,11,145,0,1,2,3,15,15,3
10,1061,363,126,10,233,0,6,2,2,15,15,3
11,1664,592,185,13,359,0,9,1,2,14,14,2
12,2445,881,288,14,502,0,9,3,3,14,16,4
13,3102,1339,463,19,811,0,14,9,7,22,22,10
14,3932,1919,633,33,1038,0,18,19,18,30,30,20
15,4892,2562,867,46,1260,0,29,13,14,26,24,14
16,5869,3354,1146,68,1549,0,42,24,25,37,37,25
17,6613,4241,1488,89,1915,0,50,49,49,62,62,48
18,7257,5161,1792,123,2096,0,85,62,63,75,75,63
19,7034,6184,2132,153,2405,0,99,75,75,87,87,75
20,6694,6988,2404,191,2283,0,134,107,108,120,120,108
21,6400,7584,2609,232,2144,0,210,136,136,149,149,137
22,6081,7962,2723,277,2034,0,256,177,178,190,190,178
23,5659,8219,2856,313,1908,0,303,197,197,210,209,197
24,5004,8409,2884,358,1841,0,369,223,224,236,236,224
25,4322,8474,2860,374,1634,1,422,277,276,285,289,277
26,3717,8296,2796,396,1367,1,446,339,339,352,352,340
27,2923,7944,2734,407,1182,0,487,379,380,389,389,380
28,2305,7535,2591,423,960,0,519,414,410,426,426,414
29,1774,7015,2426,433,794,0,593,451,451,464,464,452
30,1329,6515,2232,436,617,0,743,490,489,503,503,491
31,1013,5837,2056,452,448,1,764,561,562,574,574,562
32,807,5277,1836,441,332,0,799,562,563,575,575,563
33,630,4627,1648,447,280,1,843,623,621,636,635,624
34,508,4120,1490,430,209,1,916,644,645,657,657,645
35,396,3644,1321,410,170,0,882,662,663,675,674,663
36,300,3244,1175,377,135,2,937,682,682,692,694,683
37,258,2828,1026,354,84,1,928,718,715,731,728,718
38,212,2462,891,319,78,2,917,710,711,723,723,711
39,174,2144,787,305,71,1,1027,679,677,689,692,679
40,131,1865,681,292,61,0,1029,754,755,767,767,755
41,113,1605,585,275,40,0,990,739,739,751,751,739
42,91,1386,505,238,39,0,1087,716,717,728,729,717
43,72,1220,453,221,31,0,1064,791,789,803,803,789
44,67,1075,406,210,20,1,1031,755,756,768,768,756
45,56,927,369,189,22,2,1087,811,810,824,824,812
46,55,792,325,176,12,0,1129,786,787,799,799,787
47,49,692,269,159,23,1,1076,836,837,849,848,837
48,42,585,241,141,15,1,1056,814,813,827,827,815
49,32,515,207,135,17,1,1085,831,832,843,843,832
50,28,463,175,125,11,2,1073,780,781,793,793,781
51,28,395,154,109,10,1,1112,823,820,836,835,824
52,23,333,139,97,9,0,1132,839,840,852,852,840
53,22,290,117,88,8,1,1095,824,825,837,837,825
54,18,243,102,82,7,1,1155,805,806,818,818,806
55,21,213,88,70,3,0,1081,840,840,853,852,841
56,14,171,78,63,8,0,1129,834,834,847,847,835
57,11,147,68,54,6,1,1139,830,831,842,843,831
58,8,128,57,47,5,0,1178,839,840,852,852,840
59,7,118,52,39,4,0,1150,798,797,810,810,797
60,6,108,46,39,3,1,1157,829,830,842,842,829
61,5,90,37,34,1,0,1183,836,837,849,849,837
62,5,80,36,27,1,0,1203,904,905,916,917,905
63,4,73,30,25,3,1,1181,805,806,818,818,806
64,3,66,27,22,2,0,1173,848,847,861,860,848
65,2,60,25,18,2,1,1151,805,806,817,817,806
66,3,54,20,17,0,0,1164,820,819,831,831,819
67,3,47,16,18,3,0,1124,810,810,822,820,811
68,2,44,11,18,1,0,1146,785,785,797,798,786
69,1,35,10,16,1,0,1135,877,875,887,888,878
70,3,31,10,14,0,1,1204,796,797,809,809,797
71,3,29,10,14,0,0,1110,775,776,788,788,776
72,3,23,10,13,0,1,1117,831,832,844,844,832
73,2,19,10,14,1,0,1125,833,829,846,846,834
74,3,18,8,13,1,0,1140,868,869,878,880,868
75,2,14,7,13,1,1,1119,840,841,849,853,841
76,2,13,5,13,0,1,1173,826,827,839,838,827
77,4,12,4,13,0,1,1165,840,841,853,853,841
78,1,10,6,12,3,0,1148,889,890,902,902,890
79,0,10,6,12,1,1,1159,813,813,826,826,813
80,0,10,6,11,0,1,1125,799,799,810,810,798
81,0,9,6,9,0,0,1120,846,846,858,859,846
82,0,6,6,8,0,0,1084,810,811,823,820,810
83,0,6,3,8,0,1,1176,884,885,897,897,885
84,0,6,3,7,0,1,1114,834,835,847,847,835
85,0,4,2,5,0,1,1112,838,839,851,851,839
86,0,4,2,4,0,2,1172,801,802,814,812,800
87,0,4,2,4,0,3,1132,822,821,834,834,822
88,0,4,1,4,0,2,1147,849,850,860,860,850
89,0,4,1,4,0,0,1120,851,852,864,860,852
90,0,4,1,3,0,0,1178,870,870,883,883,871
91,0,3,1,3,0,0,1114,868,868,880,881,869
92,0,2,1,3,0,0,1174,815,816,828,828,816
93,0,2,0,2,0,1,1166,885,883,897,895,883
94,0,2,0,2,0,0,1183,848,849,861,861,848
95,0,2,0,2,0,0,1184,871,869,883,881,872
96,0,2,0,2,0,1,1161,830,831,843,843,831
97,0,2,0,2,0,2,1179,808,805,821,821,809
98,0,2,0,2,0,2,1107,816,816,825,829,816
99,0,2,0,2,0,0,1155,853,852,866,866,854
100,0,2,0,2,0,1,1145,819,819,832,832,820
101,0,2,0,2,0,2,1212,800,800,813,812,800
102,0,1,0,2,0,0,1105,807,807,820,820,807
103,0,1,0,2,0,2,1181,881,881,893,893,881
104,0,1,0,2,0,1,1148,880,881,893,893,881
105,0,1,0,2,0,0,1119,826,824,838,836,824
106,0,0,0,1,0,2,1169,829,825,841,840,830
107,0,0,0,1,0,1,1152,765,764,776,776,765
