,E,I_sym,I_asym,ICU,Daily_infected,Reinfection,Sequela 1,Sequela 2,Sequela 3,Sequela 4,Sequela 5,Sequela 6
0,13,6,5,0,3,0,0,0,0,0,0,0
1,20,8,4,0,4,0,0,0,0,0,0,0
2,26,11,8,0,9,0,0,0,0,0,0,0
3,36,18,10,1,11,0,1,0,0,0,0,1
4,67,24,12,1,10,0,0,0,0,0,0,0
5,97,37,20,2,26,0,1,0,0,13,0,0
6,172,50,27,2,27,0,0,0,0,0,13,1
7,261,74,38,2,48,0,0,0,0,13,0,1
8,372,123,49,2,79,0,0,1,1,13,14,1
9,575,172,78,2,102,0,0,1,1,14,13,2
10,837,299,114,3,191,0,3,2,3,15,15,3
11,1289,481,172,7,299,0,3,2,3,15,15,3
12,2002,714,256,8,400,0,5,6,7,19,19,6
13,2921,1076,408,9,640,0,13,4,4,17,17,4
14,3802,1616,621,20,940,0,21,7,7,19,20,8
15,4818,2283,851,32,1233,0,17,12,10,22,25,13
16,5655,3141,1153,44,1613,0,33,29,30,42,42,30
17,6364,4049,1481,78,1829,0,57,42,42,55,54,43
18,6833,4967,1830,108,2091,0,53,52,53,65,65,53
19,6705,5943,2144,143,2264,0,91,62,62,75,75,63
20,6601,6607,2401,170,2143,0,119,82,82,95,95,83
21,6480,7181,2570,210,2089,0,160,119,120,132,132,120
22,6005,7696,2752,236,2137,0,246,162,163,175,175,163
23,5385,8044,2863,271,1981,0,239,189,189,202,201,189
24,4923,8185,2925,318,1758,0,333,257,256,270,270,257
25,4438,8156,2951,350,1556,0,359,291,292,304,303,291
26,3678,8037,2940,381,1431,0,447,308,309,320,319,309
27,3004,7745,2804,396,1185,0,460,354,355,365,364,355
28,2433,7346,2663,417,973,1,522,404,405,416,416,404
29,1953,6867,2500,430,807,0,592,436,437,448,449,437
30,1606,6251,2329,450,609,0,638,457,458,470,470,458
31,1308,5667,2164,440,504,0,692,523,523,535,535,523
32,1022,5151,1962,423,447,1,770,561,562,573,573,561
33,788,4597,1776,404,335,1,789,621,618,634,632,622
34,607,4093,1605,385,274,0,806,608,609,621,621,609
35,473,3657,1435,370,216,0,892,652,653,664,665,653
36,379,3247,1273,347,156,2,897,649,650,659,662,649
37,306,2825,1127,320,118,1,942,660,659,673,671,661
38,246,2475,1003,306,99,0,969,732,731,745,745,731
39,185,2196,873,288,93,0,905,733,734,746,745,734
40,155,1926,753,271,62,1,1016,774,767,784,784,772
41,129,1663,671,258,58,2,1046,785,785,797,798,786
42,103,1442,591,243,47,2,1026,762,762,772,775,762
43,100,1234,523,233,27,1,1026,744,745,757,754,745
44,90,1106,466,215,30,1,1052,764,764,777,777,765
45,76,977,411,194,35,1,1060,822,820,835,835,820
46,66,840,361,174,22,0,1120,813,814,824,825,813
47,53,757,321,158,26,0,1089,780,781,793,791,781
48,56,646,273,141,8,1,1079,815,816,826,828,813
49,60,564,231,130,17,1,1113,801,802,814,814,802
50,59,485,216,116,18,1,1079,822,822,835,833,821
51,44,436,189,100,23,0,1074,777,778,790,790,778
52,44,390,168,94,12,1,1123,789,790,802,802,790
53,45,335,144,78,11,0,1090,859,860,871,872,859
54,39,294,126,71,13,0,1165,865,866,878,878,866
55,40,253,105,63,11,0,1137,788,789,799,801,789
56,32,232,95,59,12,0,1130,806,806,818,818,806
57,21,214,85,56,15,2,1136,791,792,803,804,791
58,17,185,75,51,7,0,1144,870,871,883,879,871
59,11,165,65,50,6,2,1108,790,787,799,803,791
60,11,148,58,40,4,0,1148,797,796,810,810,796
61,10,122,50,38,3,0,1117,775,775,787,788,776
62,7,112,45,33,4,0,1134,865,866,878,877,866
63,8,95,38,27,1,0,1099,826,827,839,837,827
64,7,74,34,26,2,0,1122,777,776,790,790,778
65,5,67,30,24,2,0,1145,770,771,783,783,771
66,7,55,27,19,3,3,1153,795,795,807,807,795
67,5,50,25,18,4,0,1111,836,837,848,848,837
68,6,44,20,17,0,2,1206,834,835,847,847,835
69,4,39,21,14,3,1,1153,850,850,862,862,851
70,3,33,20,11,1,2,1175,819,820,832,832,820
71,2,30,19,9,2,0,1123,816,816,829,829,817
72,6,24,19,9,0,1,1070,827,828,840,840,828
73,5,21,19,9,2,0,1120,814,801,827,827,811
74,5,20,17,8,1,1,1152,812,813,825,825,813
75,5,22,16,6,3,0,1154,807,808,820,820,808
76,6,16,14,5,0,2,1098,837,835,850,849,837
77,5,16,11,5,1,1,1139,836,836,849,848,836
78,5,14,11,5,1,2,1160,837,835,850,850,838
79,4,14,11,4,1,0,1135,833,832,841,844,833
80,5,12,9,3,1,0,1144,808,807,821,820,808
81,5,10,9,3,1,0,1158,802,802,815,814,802
82,4,11,10,3,2,0,1131,838,839,851,851,839
83,3,11,8,3,1,1,1124,782,783,794,795,782
84,4,9,6,3,1,0,1128,818,819,830,831,819
85,1,10,7,3,3,0,1178,818,819,831,831,819
86,0,9,5,2,1,0,1178,807,806,817,820,808
87,1,8,3,2,0,1,1136,849,849,861,856,850
88,1,6,2,2,1,0,1120,829,830,842,842,830
89,1,5,2,2,0,1,1148,880,881,893,893,881
90,2,5,2,1,0,1,1134,856,857,869,869,857
91,2,5,2,1,0,3,1148,829,830,841,841,830
92,0,5,3,1,2,0,1106,864,865,877,875,865
93,0,4,3,2,0,0,1120,832,833,845,845,833
94,0,3,3,2,0,0,1132,866,867,879,879,866
95,0,3,3,2,0,2,1139,845,842,858,858,846
96,0,1,3,2,0,0,1152,806,806,818,819,806
97,0,0,3,2,0,1,1167,837,837,849,849,837
98,0,0,3,1,0,2,1136,800,801,813,813,801
99,0,0,3,1,0,0,1126,779,780,791,792,780
100,0,0,3,1,0,0,1150,795,796,808,808,796
101,0,0,3,1,0,0,1185,825,825,838,837,825
102,0,0,3,0,0,0,1133,822,823,834,834,822
103,0,0,3,0,0,4,1139,809,810,821,820,808
104,0,0,3,0,0,1,1146,835,835,847,848,836
105,0,0,3,0,0,1,1152,778,779,791,791,779
106,0,0,3,0,0,0,1137,839,837,851,852,839
107,0,0,3,0,0,2,1143,796,797,809,809,797
108,0,0,3,0,0,1,1127,845,846,858,858,846
109,0,0,2,0,0,1,1123,821,821,834,834,822
110,0,0,2,0,0,0,1167,819,820,831,832,820
111,0,0,1,0,0,0,1150,846,845,855,858,846
112,0,0,1,0,0,0,1185,794,795,807,807,795
113,0,0,1,0,0,0,1156,819,820,832,832,820
114,0,0,1,0,0,2,1101,858,854,870,871,858
115,1,0,1,0,0,0,1180,823,823,834,834,823
116,1,0,1,0,0,1,1208,855,854,866,867,852
117,1,0,1,0,0,0,1154,794,795,807,807,795
118,1,0,1,0,0,1,1164,786,786,797,798,787
119,1,0,1,0,0,1,1134,818,817,829,831,819
120,0,1,0,0,1,0,1145,823,824,836,836,824
121,0,0,0,1,0,1,1198,826,827,839,839,827
122,0,0,0,1,0,0,1130,838,839,850,851,839
123,0,0,0,1,0,1,1191,841,837,854,853,842
124,0,0,0,1,0,1,1183,783,781,792,796,781
125,0,0,0,0,0,0,1126,829,830,842,842,830
126,0,0,0,0,0,1,1152,834,835,846,845,835
127,0,0,0,0,0,0,1087,850,848,863,863,851
128,0,0,0,0,0,1,1212,833,834,846,846,834
129,0,0,0,0,0,0,1081,813,813,825,825,813
130,0,0,0,0,0,0,1106,861,860,874,874,860
131,0,0,0,0,0,0,1149,827,827,839,839,828
