,E,I_sym,I_asym,ICU,Daily_infected,Reinfection,Sequela 1,Sequela 2,Sequela 3,Sequela 4,Sequela 5,Sequela 6
0,5,4,3,0,2,0,0,0,0,0,0,0
1,6,5,3,0,2,0,0,0,0,0,0,0
2,7,9,3,0,4,0,0,0,0,0,0,0
3,12,9,4,0,3,0,0,0,0,0,0,0
4,20,9,5,0,2,0,0,0,0,0,0,0
5,25,12,7,0,7,0,1,0,0,0,0,1
6,41,16,9,0,8,0,0,0,0,0,0,0
7,53,21,13,1,12,0,0,0,1,0,0,0
8,78,35,16,1,20,0,0,0,1,0,0,0
9,128,58,19,1,31,0,1,1,0,0,0,0
10,227,82,22,1,41,0,1,1,2,13,0,0
11,337,131,39,0,83,0,1,0,0,0,13,1
12,517,206,54,2,113,0,3,0,1,13,13,1
13,823,309,83,2,169,0,2,1,2,13,0,2
14,1222,468,132,6,262,0,3,6,0,18,19,4
15,1865,690,220,9,408,0,9,4,5,17,17,5
16,2671,1059,346,17,635,0,9,9,10,17,18,6
17,3752,1568,553,21,903,0,11,9,6,16,22,7
18,4865,2226,796,39,1225,0,22,18,18,30,30,18
19,5207,3104,1044,55,1584,0,30,26,27,39,39,27
20,5646,3924,1306,89,1684,0,51,54,55,67,67,55
21,6158,4627,1583,122,1761,1,74,66,67,78,78,67
22,6554,5390,1892,158,1988,0,98,67,66,78,78,66
23,6715,6151,2128,191,2116,0,119,76,77,87,87,77
24,6634,6935,2373,221,2235,2,175,116,117,129,129,117
25,6511,7552,2605,250,2188,0,217,170,171,181,182,170
26,5860,8008,2799,280,2091,0,262,199,200,211,212,200
27,5230,8220,2910,319,1889,2,304,258,259,271,271,259
28,4479,8340,2965,338,1748,0,382,252,253,265,265,253
29,3858,8108,2912,362,1430,0,420,319,320,332,332,320
30,3260,7839,2826,394,1235,0,494,373,374,384,386,372
31,2789,7481,2682,389,1021,1,535,376,377,389,388,377
32,2263,7078,2549,413,943,0,623,433,434,446,446,434
33,1954,6538,2382,446,687,0,689,468,469,481,481,469
34,1554,6003,2231,446,646,1,663,494,494,504,506,495
35,1200,5489,2022,444,516,1,707,539,539,551,551,539
36,949,4964,1833,446,387,1,801,537,538,550,550,538
37,722,4410,1655,438,322,0,856,621,622,634,634,622
38,592,3932,1497,416,229,1,925,600,601,613,613,601
39,458,3495,1347,399,207,2,903,616,617,629,629,617
40,360,3081,1187,383,150,0,928,675,675,687,687,674
41,289,2678,1059,358,112,0,951,702,701,715,715,703
42,240,2344,947,340,86,2,955,697,698,710,710,698
43,178,2041,857,319,93,1,991,709,709,722,721,710
44,170,1751,748,306,48,0,965,730,729,743,742,730
45,144,1514,640,280,47,0,982,778,778,791,791,779
46,125,1322,561,258,39,0,1003,706,706,719,719,707
47,96,1147,496,236,42,0,1093,805,806,817,817,806
48,85,991,433,217,30,0,1086,794,795,805,807,795
49,76,859,371,194,31,0,1116,775,776,788,788,776
50,63,743,320,176,24,0,1124,761,762,770,774,762
51,59,651,271,156,23,1,1118,812,811,823,825,811
52,52,571,235,149,17,0,1082,791,792,804,804,792
53,38,509,207,134,22,0,1079,748,747,759,761,749
54,27,436,184,114,14,1,1126,827,828,840,840,828
55,27,373,163,102,8,1,1117,801,802,814,812,802
56,28,315,141,93,6,1,1093,850,847,863,863,851
57,23,273,121,86,8,1,1111,832,833,842,844,833
58,19,242,112,68,8,1,1225,830,827,843,842,831
59,16,208,101,69,9,2,1180,853,854,866,866,854
60,12,182,81,58,7,0,1102,836,836,849,849,834
61,14,150,70,50,3,1,1112,883,882,895,896,882
62,13,125,61,44,3,1,1118,811,812,824,824,812
63,13,107,55,42,3,1,1097,843,843,853,855,843
64,10,97,46,32,4,0,1186,768,769,781,781,769
65,11,83,42,28,1,1,1127,809,810,819,822,809
66,11,70,36,26,1,0,1158,818,819,831,831,819
67,6,61,32,22,5,0,1144,813,811,826,826,814
68,5,47,31,19,2,1,1225,831,830,842,844,830
69,5,43,26,16,0,0,1168,849,850,862,862,850
70,6,39,23,14,1,2,1193,790,787,800,802,790
71,6,33,18,11,1,3,1251,830,830,842,843,830
72,7,29,16,10,0,0,1133,856,855,869,869,856
73,5,26,12,12,2,1,1193,825,826,836,838,826
74,2,23,13,11,3,0,1151,823,824,836,836,824
75,2,20,12,10,1,1,1178,873,874,886,886,874
76,2,15,7,8,0,0,1190,806,805,817,817,805
77,3,14,6,7,0,0,1136,807,807,820,820,808
78,4,10,6,6,1,2,1161,786,785,798,797,787
79,3,10,6,5,1,1,1254,817,817,830,830,817
80,2,9,6,5,1,1,1167,878,878,890,890,878
81,2,8,5,5,1,0,1132,852,851,865,865,853
82,4,8,5,3,0,1,1135,809,809,821,821,810
83,5,7,4,3,0,0,1153,883,883,895,895,883
84,3,5,5,3,2,1,1125,815,812,828,828,816
85,2,4,3,4,1,1,1194,882,880,893,894,882
86,2,4,2,4,0,1,1116,850,850,862,863,851
87,1,4,2,4,1,1,1148,823,823,835,835,823
88,1,4,2,4,0,0,1132,886,884,899,896,887
89,0,5,0,4,1,1,1163,859,860,872,872,860
90,1,4,0,4,0,1,1146,833,834,846,846,834
91,1,4,0,2,0,1,1155,877,878,890,890,878
92,1,3,0,1,0,3,1158,875,876,887,887,876
93,1,2,0,1,0,1,1191,822,823,835,835,823
94,1,1,0,1,0,1,1135,830,831,843,843,831
95,0,1,1,1,1,1,1186,860,860,871,871,859
96,0,1,1,1,0,1,1192,826,825,839,839,827
97,0,0,1,1,0,2,1176,860,858,872,873,860
98,0,0,1,1,0,1,1130,820,819,831,833,821
99,0,0,1,0,0,1,1178,833,833,846,845,834
100,0,0,1,0,0,1,1168,821,822,834,834,822
101,0,0,1,0,0,0,1157,821,822,834,834,822
102,0,0,1,0,0,1,1127,883,884,896,896,884
103,0,0,1,0,0,1,1118,806,807,819,819,806
104,0,0,1,0,0,1,1175,845,846,858,858,845
105,0,0,1,0,0,0,1118,863,863,876,875,864
106,0,0,1,0,0,0,1137,817,817,830,829,817
107,0,0,0,0,0,2,1232,859,858,872,872,860
108,0,0,0,0,0,0,1129,792,793,804,805,792
109,0,0,0,0,0,2,1118,802,803,814,814,803
110,0,0,0,0,0,1,1112,801,802,814,814,799
111,0,0,0,0,0,0,1174,876,877,884,888,874
112,0,0,0,0,0,0,1113,842,843,854,855,843
113,0,0,0,0,0,0,1209,791,791,801,804,792
114,0,0,0,0,0,2,1198,830,829,843,843,831
115,0,0,0,0,0,0,1183,887,886,898,897,888
116,0,0,0,0,0,0,1117,810,810,822,822,810
117,0,0,0,0,0,0,1172,846,842,859,854,844
118,0,0,0,0,0,3,1185,852,853,865,865,853
119,0,0,0,0,0,0,1096,859,859,872,872,860
120,0,0,0,0,0,0,1140,847,846,860,860,848
121,0,0,0,0,0,0,1224,823,824,836,836,823
122,0,0,0,0,0,1,1148,848,849,861,861,848
123,0,0,0,0,0,1,1155,805,806,818,813,806
124,0,0,0,0,0,0,1144,854,854,866,867,855
125,0,0,0,0,0,2,1195,872,873,885,885,873
126,0,0,0,0,0,0,1211,848,844,861,859,849
127,0,0,0,0,0,0,1154,792,792,804,805,792
128,0,0,0,0,0,0,1168,762,763,775,775,763
129,0,0,0,0,0,0,1170,871,872,884,884,872
130,0,0,0,0,0,2,1139,836,833,849,849,837
131,0,0,0,0,0,0,1164,771,771,783,784,772
132,0,0,0,0,0,2,1198,786,787,799,799,787
133,0,0,0,0,0,3,1118,830,831,842,843,831
134,0,0,0,0,0,1,1153,806,804,819,819,807
135,0,0,0,0,0,0,1154,792,793,805,805,793
136,0,0,0,0,0,0,1165,840,841,853,853,841
137,0,0,0,0,0,0,1142,802,800,815,814,802
138,0,0,0,0,0,0,1117,871,872,884,884,872
139,0,0,0,0,0,2,1163,832,832,844,844,831
140,0,0,0,0,0,1,1183,848,849,861,861,849
141,0,0,0,0,0,0,1154,825,823,838,837,826
142,0,0,0,0,0,2,1152,841,842,853,854,841
143,0,0,0,0,0,1,1121,785,784,798,798,786
144,0,0,0,0,0,0,1145,820,820,832,831,819
145,0,0,0,0,0,0,1161,833,832,845,843,833
146,0,0,0,0,0,1,1148,860,861,873,873,861
147,0,0,0,0,0,0,1187,886,887,898,898,887
148,0,0,0,0,0,1,1184,822,823,833,835,823
149,0,0,0,0,0,1,1202,877,878,890,890,878
150,0,0,0,0,0,0,1130,861,861,873,874,862
151,0,0,0,0,0,2,1152,806,807,819,819,807
152,0,0,0,0,0,1,1199,812,813,824,825,813
153,0,0,0,0,0,1,1112,862,863,875,875,863
154,0,0,0,0,0,0,1150,854,854,867,866,855
155,0,0,0,0,0,0,1144,837,838,850,850,838
156,0,0,0,0,0,2,1153,836,837,848,848,836
157,0,0,0,0,0,1,1206,847,848,858,859,846
158,0,0,0,0,0,0,1109,867,865,874,880,867
159,0,0,0,0,0,0,1142,867,868,877,880,868
160,0,0,0,0,0,1,1185,853,853,866,866,854
161,0,0,0,0,0,1,1132,827,828,840,840,828
162,0,0,0,0,0,0,1150,817,818,830,830,818
163,0,0,0,0,0,1,1101,881,880,894,891,882
164,0,0,0,0,0,2,1149,827,822,834,839,827
165,0,0,0,0,0,0,1190,766,767,779,779,767
166,0,0,0,0,0,0,1163,853,853,864,865,853
167,0,0,0,0,0,0,1130,829,830,842,842,830
168,0,0,0,0,0,0,1137,828,828,840,840,827
169,0,0,0,0,0,1,1195,873,874,886,886,874
170,0,0,0,0,0,0,1132,774,774,787,787,775
171,0,0,0,0,0,0,1154,871,872,883,883,872
172,0,0,0,0,0,3,1176,810,810,821,823,811
173,0,0,0,0,0,1,1191,866,866,879,879,867
174,0,0,0,0,0,1,1161,856,857,869,869,857
175,0,0,0,0,0,0,1123,862,861,875,873,863
176,0,0,0,0,0,0,1165,846,845,859,859,847
177,0,0,0,0,0,2,1223,755,756,768,767,756
178,0,0,0,0,0,1,1146,859,860,872,871,860
179,0,0,0,0,0,0,1189,843,844,856,856,844
180,0,0,0,0,0,2,1131,828,829,841,841,826
181,0,0,0,0,0,0,1153,842,842,854,854,842
182,0,0,0,0,0,1,1118,823,823,836,836,823
183,0,0,0,0,0,1,1171,832,832,844,845,832
184,0,0,0,0,0,0,1077,848,849,861,861,849
185,0,0,0,0,0,0,1089,832,833,845,844,832
186,0,0,0,0,0,0,1151,829,828,842,840,830
187,0,0,0,0,0,0,1201,884,884,897,896,884
188,0,0,0,0,0,0,1109,816,815,828,828,816
189,0,0,0,0,0,2,1169,828,829,841,840,828
