,E,I_sym,I_asym,ICU,Daily_infected,Reinfection,Sequela 1,Sequela 2,Sequela 3,Sequela 4,Sequela 5,Sequela 6
0,5,2,6,0,1,0,0,0,0,0,0,0
1,9,2,6,0,1,0,1,0,0,0,0,1
2,16,3,6,0,3,0,0,0,0,0,0,0
3,21,7,4,0,4,0,0,0,0,13,0,0
4,21,13,4,0,7,0,0,0,0,13,0,0
5,39,13,8,0,8,0,0,1,0,14,0,0
6,56,18,8,0,9,0,0,0,0,0,13,0
7,71,34,14,0,24,0,2,1,0,0,13,0
8,134,40,15,0,16,0,1,0,0,0,0,1
9,183,63,26,1,41,0,1,0,1,13,13,0
10,292,101,34,1,60,0,0,1,1,0,13,0
11,442,164,52,1,95,0,1,2,3,14,15,3
12,666,253,75,2,144,0,0,1,2,0,14,2
13,1019,388,114,6,219,0,7,2,2,13,13,1
14,1557,595,172,9,335,0,3,4,2,17,17,5
15,2346,842,271,11,476,0,3,4,5,17,17,5
16,3195,1287,449,16,771,0,14,7,8,19,20,8
17,4398,1836,646,36,998,0,16,7,8,20,20,8
18,5370,2658,908,55,1458,0,32,20,17,33,33,21
19,6074,3536,1244,79,1734,0,44,18,19,31,31,19
20,6446,4428,1557,101,1894,0,53,40,41,53,53,41
21,6614,5336,1876,129,2109,0,88,59,60,72,72,60
22,6666,6151,2152,150,2125,0,123,84,84,95,97,85
23,6708,6820,2409,200,2134,0,144,118,118,131,131,119
24,6515,7448,2644,268,2214,0,194,133,134,146,146,134
25,5876,7820,2858,333,2125,0,225,167,168,179,179,167
26,5178,8127,2949,346,1951,0,307,201,202,214,214,202
27,4525,8255,2948,362,1657,1,341,246,245,249,257,246
28,3773,8179,2925,410,1477,0,389,276,277,289,289,277
29,3233,7907,2820,419,1207,0,453,318,319,331,331,319
30,2681,7498,2695,450,1093,0,503,357,356,367,369,356
31,2283,7036,2531,464,835,0,642,423,422,435,435,423
32,1851,6566,2348,442,726,0,664,440,439,450,450,441
33,1546,6055,2148,429,585,1,710,445,444,457,457,444
34,1204,5525,1963,425,485,1,758,491,492,504,504,492
35,947,5030,1780,397,390,1,741,597,598,609,610,598
36,779,4467,1619,399,273,1,842,575,576,588,588,576
37,614,3990,1419,392,241,0,793,622,623,634,635,623
38,468,3587,1278,376,215,0,871,677,677,689,689,678
39,394,3167,1121,352,148,0,933,654,654,666,666,654
40,335,2796,993,346,131,1,945,686,687,699,699,687
41,270,2441,877,334,103,0,918,682,683,695,695,683
42,226,2124,772,304,89,0,997,733,734,746,746,734
43,178,1861,684,273,81,0,1050,733,733,745,745,733
44,132,1632,615,251,73,0,1012,784,784,797,796,784
45,117,1408,543,231,39,1,1026,715,716,727,728,716
46,101,1226,473,209,39,1,1027,706,707,719,719,707
47,88,1068,419,182,34,0,1046,744,745,757,757,745
48,76,926,370,178,22,3,1083,793,792,805,806,794
49,62,807,325,155,30,1,1056,793,794,806,806,794
50,68,695,274,146,16,1,1135,790,791,802,803,790
51,61,613,234,128,19,0,1090,817,818,830,829,817
52,52,547,202,115,21,0,1089,739,736,752,750,740
53,50,484,193,106,17,0,1115,764,764,776,776,761
54,43,431,176,90,15,0,1117,864,864,877,877,865
55,43,372,155,79,15,2,1069,799,800,812,812,800
56,36,324,131,66,10,1,1102,820,818,831,828,821
57,40,279,115,62,6,2,1063,805,805,817,818,805
58,35,252,96,58,15,0,1065,835,836,848,848,836
59,37,215,79,50,7,0,1123,791,791,803,803,792
60,37,184,72,37,7,1,1151,843,840,854,856,843
61,35,172,68,34,14,0,1172,808,808,819,820,808
62,25,157,66,29,12,1,1098,826,823,838,838,826
63,16,144,60,30,12,0,1117,871,872,883,883,871
64,13,130,55,25,8,3,1190,811,812,824,824,812
65,12,118,50,21,4,0,1108,830,831,843,843,831
66,12,102,42,19,3,0,1134,786,785,799,799,785
67,8,87,36,18,5,0,1119,797,797,809,810,796
68,9,75,34,15,1,1,1114,836,837,849,846,837
69,9,66,32,15,4,1,1068,750,751,763,763,751
70,5,66,30,14,7,2,1113,781,781,793,793,781
71,7,55,24,12,1,1,1145,796,796,808,808,796
72,8,50,16,11,0,0,1104,810,811,823,823,811
73,7,40,17,8,2,1,1229,830,827,841,842,831
74,5,37,18,6,3,0,1189,807,808,820,816,808
75,5,32,17,6,2,0,1181,814,813,827,825,814
76,2,28,17,6,4,1,1205,848,849,861,861,849
77,4,21,14,7,0,0,1120,814,815,827,827,815
78,4,20,13,6,0,2,1144,833,833,845,845,834
79,3,18,12,6,1,1,1101,826,827,838,839,827
80,1,14,11,6,2,1,1151,820,821,830,833,821
81,3,9,11,5,0,2,1119,769,770,782,782,770
82,5,8,7,5,0,1,1151,808,808,821,821,809
83,6,8,6,5,1,1,1094,820,821,833,833,821
84,5,8,6,5,1,2,1164,795,796,808,808,796
85,5,8,6,5,0,1,1102,882,883,895,895,883
86,5,9,6,4,1,1,1155,859,859,871,871,860
87,5,8,6,4,0,0,1109,844,845,856,856,844
88,4,8,5,5,1,2,1122,841,842,853,852,842
89,3,7,5,6,1,0,1139,756,753,768,767,757
90,3,5,4,6,0,2,1109,822,823,835,835,823
91,3,5,4,4,1,0,1079,839,840,852,852,840
92,2,4,3,4,1,0,1159,797,796,809,809,797
93,2,4,3,2,0,2,1050,818,819,831,831,819
94,4,3,3,1,0,0,1211,817,818,830,830,818
95,3,4,3,1,1,1,1113,820,817,833,833,819
96,2,4,2,1,1,0,1143,813,812,819,826,814
