,E,I_sym,I_asym,ICU,Daily_infected,Reinfection,Sequela 1,Sequela 2,Sequela 3,Sequela 4,Sequela 5,Sequela 6
0,8,1,3,0,0,0,0,0,0,0,0,0
1,11,1,3,0,0,0,0,0,0,0,0,0
2,15,5,4,0,5,0,0,0,0,0,0,0
3,17,11,5,0,7,0,0,0,0,0,0,0
4,34,13,5,0,2,0,0,0,0,0,0,0
5,41,19,12,1,15,0,0,0,0,0,0,0
6,65,27,13,1,14,0,0,0,0,0,0,0
7,106,36,14,0,16,0,0,0,0,0,0,0
8,133,57,23,0,39,0,0,0,0,0,13,1
9,228,80,28,1,41,0,2,0,1,13,0,1
10,343,113,45,1,70,0,0,0,0,13,0,1
11,462,194,71,1,135,0,1,1,2,0,14,1
12,758,257,108,6,145,0,1,1,2,14,14,2
13,1180,375,156,12,222,0,2,4,4,14,15,5
14,1732,603,227,17,360,0,8,6,7,16,19,7
15,2480,921,338,23,553,0,4,3,3,16,16,3
16,3475,1416,497,29,825,0,13,13,14,25,25,14
17,4662,2107,739,34,1178,0,19,16,17,29,29,17
18,5732,2869,1054,45,1512,0,30,23,22,31,36,22
19,5910,3836,1422,66,1924,0,51,34,33,46,47,35
20,6252,4680,1724,89,1943,0,65,45,44,57,57,44
21,5911,5528,1993,125,2021,0,88,65,65,78,78,66
22,5328,6084,2191,166,1909,0,132,111,112,122,122,110
23,4937,6407,2353,201,1734,0,165,133,134,146,146,134
24,4547,6665,2436,226,1626,1,204,122,123,135,135,123
25,4366,6751,2423,269,1461,0,274,209,210,222,222,210
26,4097,6750,2455,299,1441,0,309,230,230,243,243,231
27,3808,6787,2433,319,1346,2,377,267,263,280,280,268
28,3573,6707,2413,323,1202,1,427,315,316,324,328,316
29,3338,6556,2403,340,1161,0,478,321,322,334,334,322
30,3020,6396,2341,363,1013,0,518,401,402,414,414,402
31,2795,6161,2228,373,942,0,527,378,378,391,391,377
32,2300,5965,2130,377,956,0,606,396,396,409,408,397
33,1963,5566,2023,379,714,1,609,476,473,489,488,477
34,1648,5243,1901,377,651,0,679,478,478,490,490,478
35,1365,4876,1758,367,525,0,687,544,544,557,556,545
36,1145,4519,1639,348,469,0,770,581,582,591,593,581
37,998,4128,1536,332,382,0,831,581,582,593,594,581
38,866,3804,1422,309,334,0,848,605,606,612,618,606
39,735,3485,1290,303,293,0,811,662,660,673,675,663
40,628,3141,1161,289,251,1,899,603,604,615,615,604
41,500,2837,1043,282,207,0,907,673,672,686,686,674
42,430,2484,934,283,146,1,914,689,690,702,700,690
43,365,2223,857,259,145,0,903,633,633,646,645,634
44,287,1984,759,259,119,1,938,719,718,730,730,718
45,230,1747,660,242,88,0,978,722,723,735,735,723
46,205,1517,593,229,62,1,1016,724,725,737,735,725
47,165,1338,528,209,65,1,1065,691,690,702,704,692
48,150,1184,473,198,47,1,1048,728,729,740,741,729
49,123,1031,432,202,50,1,1012,747,747,760,759,747
50,110,919,382,178,36,1,1085,741,741,753,754,741
51,81,812,345,156,45,3,1066,763,764,772,775,763
52,74,723,296,154,27,2,1077,758,758,769,771,757
53,68,640,263,142,17,0,1086,760,760,773,773,761
54,61,566,236,138,24,0,1059,751,750,763,762,750
55,52,487,212,117,20,1,1086,780,780,792,792,780
56,43,422,191,108,18,0,1086,756,757,769,769,757
57,41,367,161,100,12,0,1120,772,772,784,785,773
58,37,328,146,90,13,1,1061,798,797,811,810,798
59,40,288,129,84,14,2,1091,763,764,775,775,764
60,33,268,114,71,13,0,1148,786,786,797,797,787
61,28,236,104,67,13,0,1060,778,777,790,791,779
62,25,209,98,59,11,2,1133,837,838,850,847,834
63,26,179,92,48,8,1,1149,726,727,739,739,727
64,21,152,87,42,7,1,1063,790,788,803,803,791
65,17,137,76,33,7,0,1049,794,795,806,805,793
66,15,116,66,29,4,0,1128,818,819,831,831,819
67,16,102,55,32,5,0,1148,818,819,831,831,819
68,16,82,51,30,4,0,1122,767,768,776,779,768
69,15,74,43,24,5,0,1160,804,805,817,817,803
70,13,72,34,24,4,2,1133,783,783,795,796,784
71,12,63,31,24,3,0,1137,820,821,833,829,821
72,8,60,31,24,5,1,1086,755,756,768,768,754
73,8,57,28,20,3,0,1102,770,771,783,782,771
74,9,49,27,17,1,0,1075,835,836,848,847,835
75,8,41,23,15,2,2,1151,831,831,844,843,832
76,8,35,21,14,2,0,1160,790,791,803,803,791
77,8,33,18,12,1,0,1120,829,829,841,842,829
78,5,31,16,10,4,1,1091,801,801,813,814,802
79,5,26,14,10,2,1,1124,785,786,798,798,786
80,4,23,13,10,2,0,1076,790,791,803,803,791
81,3,20,11,10,3,0,1179,830,831,842,843,831
82,2,15,11,9,1,1,1137,835,836,848,848,836
83,1,14,11,7,1,0,1093,808,808,821,821,809
84,1,14,9,7,0,0,1118,804,805,817,817,805
85,0,14,7,6,1,0,1086,836,836,848,848,836
86,1,11,5,7,0,2,1139,791,792,803,803,792
87,0,12,4,4,1,0,1126,786,787,799,799,787
88,0,10,3,3,0,1,1057,827,828,840,840,828
89,2,5,3,3,0,0,1140,810,809,823,823,811
90,1,5,3,3,1,1,1176,832,829,841,840,833
91,2,5,3,2,0,0,1110,862,863,873,875,863
92,3,5,3,2,0,0,1106,788,788,800,801,788
93,1,7,2,0,2,1,1107,753,753,766,766,754
94,1,6,1,0,0,0,1125,837,838,850,850,838
95,0,7,1,0,1,1,1144,788,789,801,801,789
96,0,7,1,0,0,2,1116,797,796,810,810,798
97,1,6,1,0,0,0,1114,772,773,785,785,773
98,1,5,0,0,0,1,1115,790,791,802,802,789
99,0,6,0,0,1,1,1135,775,774,788,787,776
100,0,5,0,0,0,0,1072,808,804,821,818,808
101,0,4,0,0,0,1,1081,833,834,846,846,834
102,0,4,0,0,0,0,1105,848,849,861,861,849
103,0,4,0,0,0,4,1098,796,796,809,807,796
104,0,4,0,0,0,0,1126,773,774,786,786,774
105,0,2,0,0,0,0,1205,842,841,855,855,842
106,0,2,0,0,0,0,1153,798,798,808,808,798
107,0,2,0,0,0,0,1175,775,776,788,788,776
108,0,2,0,0,0,1,1073,808,809,821,820,809
109,0,2,0,0,0,0,1109,791,792,804,804,792
110,0,2,0,0,0,1,1071,814,815,827,827,815
111,0,2,0,0,0,1,1093,797,796,810,807,798
112,0,1,0,0,0,1,1113,840,840,852,852,841
