,E,I_sym,I_asym,ICU,Daily_infected,Reinfection,Sequela 1,Sequela 2,Sequela 3,Sequela 4,Sequela 5,Sequela 6
0,19,5,5,0,3,0,0,0,0,0,0,0
1,18,13,6,0,10,0,0,0,0,0,0,1
2,42,14,6,0,6,0,0,0,0,0,0,0
3,52,22,7,0,10,0,1,0,0,0,0,1
4,88,33,12,0,18,0,0,0,0,0,0,0
5,124,51,16,0,32,0,0,1,0,0,14,2
6,196,79,24,0,40,0,2,0,1,0,13,1
7,323,125,41,0,77,0,4,1,1,0,14,2
8,536,187,60,2,97,0,0,1,1,0,14,2
9,806,289,95,2,174,0,3,4,0,17,17,1
10,1298,409,137,4,226,0,8,4,0,13,16,4
11,1833,659,216,7,423,0,3,5,5,17,18,5
12,2659,1002,343,11,593,1,9,6,7,19,17,7
13,3677,1502,484,20,848,0,14,13,8,26,26,12
14,4618,2144,715,31,1160,0,15,15,15,28,27,15
15,5330,2966,994,51,1503,0,36,18,19,31,31,19
16,5091,3794,1289,76,1705,0,48,27,26,40,38,28
17,5229,4451,1578,97,1656,0,73,49,48,60,61,49
18,5157,5073,1791,135,1730,0,90,66,66,78,78,66
19,5282,5531,1986,159,1660,0,137,100,101,113,113,101
20,5358,5957,2111,189,1685,0,174,121,121,133,133,121
21,5338,6370,2304,229,1772,0,237,127,127,140,139,127
22,5375,6673,2400,278,1699,0,230,176,174,187,188,177
23,5296,6922,2474,316,1724,0,284,235,233,244,244,234
24,5043,7197,2579,333,1764,0,313,273,270,284,286,271
25,4650,7365,2614,357,1569,0,377,274,275,287,287,274
26,4049,7412,2640,396,1504,0,408,304,304,316,316,304
27,3407,7240,2648,413,1347,0,497,367,364,376,380,368
28,2854,7009,2564,434,1100,0,535,387,388,398,397,388
29,2378,6643,2407,461,948,0,580,440,441,453,453,441
30,2054,6213,2294,446,736,0,636,477,478,490,489,477
31,1680,5805,2119,442,664,0,731,500,500,512,512,501
32,1429,5371,1942,404,531,0,732,546,547,554,559,545
33,1119,4902,1749,403,465,1,793,570,565,583,583,565
34,855,4425,1603,400,381,1,815,623,624,636,636,624
35,689,3968,1444,388,278,1,841,584,584,597,596,585
36,580,3546,1294,372,212,2,903,674,673,686,685,674
37,455,3191,1156,353,193,2,902,662,663,675,675,663
38,375,2814,1025,338,157,3,1039,671,672,684,684,672
39,296,2453,906,317,119,0,931,717,717,727,728,717
40,249,2149,800,290,88,1,962,711,712,724,723,712
41,190,1895,721,265,84,1,992,715,713,725,727,715
42,167,1655,635,230,57,0,986,744,745,757,757,745
43,146,1448,564,219,53,0,1037,748,749,761,761,749
44,116,1282,505,193,59,0,1059,770,771,783,783,771
45,103,1136,446,186,44,1,1024,747,747,760,760,748
46,103,1004,387,176,26,1,1069,845,843,855,857,846
47,82,880,345,161,35,0,1097,786,787,797,799,787
48,79,765,302,147,20,1,1133,769,770,782,781,770
49,60,668,273,129,31,1,1057,809,810,822,822,810
50,49,569,238,117,21,0,1152,800,800,808,812,800
51,46,494,201,107,14,0,1166,786,785,797,797,787
52,50,435,184,99,16,0,1108,830,831,840,843,831
53,44,378,160,90,18,0,1158,820,820,832,830,820
54,30,345,145,79,22,1,1108,829,830,842,842,830
55,30,312,125,69,6,2,1107,834,834,847,846,835
56,33,262,112,64,7,2,1059,830,830,843,843,831
57,31,232,100,59,10,1,1057,818,818,830,830,816
58,27,199,91,56,9,0,1110,838,837,849,851,839
59,26,180,74,53,6,0,1126,851,851,864,864,851
60,27,159,70,46,5,4,1155,810,811,822,823,811
61,24,140,60,44,6,4,1164,848,848,859,860,849
62,20,120,48,41,9,0,1106,833,834,845,845,833
63,17,103,43,35,5,0,1082,813,814,825,825,809
64,18,90,40,32,4,1,1110,825,825,837,838,826
65,16,80,33,29,8,0,1142,798,799,811,811,799
66,15,77,30,24,6,0,1116,818,813,830,828,818
67,9,67,27,23,6,1,1169,809,810,822,822,810
68,8,58,21,22,3,0,1153,854,855,866,867,854
69,9,45,17,19,1,0,1170,808,807,817,817,806
70,8,36,15,15,2,0,1101,857,857,869,869,857
71,6,31,15,15,3,0,1157,806,806,818,819,807
72,6,28,13,14,0,1,1166,824,823,836,835,823
73,5,28,11,12,1,0,1197,836,833,849,849,837
74,4,24,9,11,1,0,1154,812,812,822,823,809
75,4,19,9,8,1,0,1146,799,799,811,812,800
76,4,17,7,6,0,0,1169,827,828,839,839,828
77,3,13,6,6,1,1,1151,808,809,821,821,807
78,3,9,5,6,1,2,1179,855,856,867,868,856
79,4,9,4,5,1,0,1117,848,849,861,859,849
80,1,10,5,5,3,2,1114,820,820,833,833,821
81,0,8,6,3,1,1,1112,818,819,831,831,819
82,0,7,6,1,0,2,1151,814,814,824,824,814
83,0,7,6,1,0,4,1147,845,846,858,857,846
84,0,5,5,1,0,0,1140,802,803,814,815,803
85,0,5,4,1,0,0,1120,818,818,829,829,818
86,0,5,4,1,0,0,1174,796,793,807,809,797
87,0,3,3,0,0,0,1164,829,830,842,842,830
88,0,2,3,0,0,1,1168,841,842,854,854,842
89,1,2,3,0,0,1,1137,816,816,829,827,817
90,1,1,1,0,0,0,1091,854,855,865,866,855
91,1,1,1,0,0,0,1167,870,871,883,881,871
92,1,1,1,0,0,0,1169,867,868,879,880,868
93,0,1,2,0,1,2,1096,775,776,786,788,776
94,0,1,1,0,0,0,1169,810,810,823,822,810
95,0,1,1,0,0,0,1164,816,817,829,824,814
96,0,1,0,0,0,1,1176,869,870,879,882,870
97,0,1,0,0,0,1,1156,818,817,824,830,818
98,0,1,0,0,0,1,1184,831,832,841,844,831
99,0,0,0,0,0,2,1161,821,822,831,834,819
100,0,0,0,0,0,1,1126,835,835,847,848,835
101,0,0,0,0,0,0,1168,859,860,872,872,860
102,0,0,0,0,0,1,1130,881,876,894,894,881
103,0,0,0,0,0,1,1140,798,799,811,811,799
104,0,0,0,0,0,0,1153,793,792,806,806,793
105,0,0,0,0,0,0,1184,839,839,852,852,837
106,0,0,0,0,0,1,1112,853,854,866,866,854
107,0,0,0,0,0,0,1068,790,790,802,803,791
108,0,0,0,0,0,0,1150,780,781,793,792,780
109,0,0,0,0,0,2,1155,802,803,815,815,803
110,0,0,0,0,0,0,1143,810,811,820,823,811
111,0,0,0,0,0,0,1109,842,843,855,854,843
112,0,0,0,0,0,0,1185,793,794,804,806,794
113,0,0,0,0,0,2,1133,869,863,882,882,870
114,0,0,0,0,0,0,1127,815,816,828,828,816
115,0,0,0,0,0,1,1174,829,827,841,842,830
116,0,0,0,0,0,0,1162,859,860,869,872,860
117,0,0,0,0,0,1,1186,798,798,811,810,799
118,0,0,0,0,0,1,1148,840,841,853,853,841
119,0,0,0,0,0,0,1188,788,788,800,801,788
120,0,0,0,0,0,0,1151,832,829,843,845,831
121,0,0,0,0,0,1,1131,843,844,854,856,841
122,0,0,0,0,0,0,1141,829,830,842,842,830
123,0,0,0,0,0,0,1117,842,843,855,855,843
124,0,0,0,0,0,2,1176,835,836,846,848,835
125,0,0,0,0,0,1,1097,839,839,849,852,840
126,0,0,0,0,0,0,1110,838,839,851,851,839
127,0,0,0,0,0,0,1071,860,859,873,872,861
128,0,0,0,0,0,0,1103,832,832,844,844,832
129,0,0,0,0,0,1,1163,853,853,865,866,854
130,0,0,0,0,0,0,1195,810,808,820,823,811
131,0,0,0,0,0,0,1122,796,797,809,809,797
132,0,0,0,0,0,1,1181,789,790,801,801,790
133,0,0,0,0,0,0,1154,808,809,821,821,809
134,0,0,0,0,0,0,1155,913,913,925,920,911
135,0,0,0,0,0,2,1155,895,896,908,908,894
136,0,0,0,0,0,0,1185,833,833,845,845,834
137,0,0,0,0,0,0,1119,801,802,814,814,802
