,E,I_sym,I_asym,ICU,Daily_infected,Reinfection,Sequela 1,Sequela 2,Sequela 3,Sequela 4,Sequela 5,Sequela 6
0,9,4,3,0,2,0,0,0,0,0,0,0
1,15,4,3,1,2,0,0,0,0,0,0,0
2,18,9,3,0,6,0,0,0,0,0,0,0
3,27,14,6,0,9,0,0,0,0,0,0,0
4,41,18,7,0,7,0,0,0,0,0,13,0
5,62,20,12,0,12,0,0,0,1,13,0,0
6,89,31,16,0,20,0,1,0,0,0,13,0
7,122,45,20,0,29,0,3,0,0,13,0,1
8,183,66,35,0,45,0,0,1,0,0,14,0
9,311,105,41,1,61,0,1,1,0,0,13,2
10,493,166,63,3,105,0,2,1,0,0,0,2
11,732,265,106,2,168,0,3,1,0,13,14,1
12,1174,394,145,4,218,0,1,3,0,15,14,3
13,1778,622,226,8,379,0,5,0,1,13,13,1
14,2631,948,354,12,578,0,5,5,5,17,18,6
15,3650,1392,504,17,806,0,12,6,7,19,19,7
16,4578,2048,711,33,1168,0,21,12,13,25,25,13
17,5435,2824,1029,56,1515,0,35,36,35,47,48,36
18,6211,3689,1351,68,1742,0,43,28,29,39,41,29
19,5174,4638,1697,93,1996,0,58,49,47,62,62,50
20,4806,5187,1898,123,1608,0,96,53,54,65,66,54
21,4677,5556,2059,160,1563,0,110,96,97,109,107,97
22,4669,5817,2192,182,1519,0,134,116,114,126,128,116
23,4679,6170,2246,205,1522,0,224,142,143,154,155,143
24,4775,6404,2340,223,1526,0,244,163,164,176,176,164
25,4577,6606,2347,244,1505,1,279,188,189,200,200,189
26,4409,6698,2394,265,1483,0,330,239,240,252,245,239
27,4132,6776,2451,319,1466,0,334,245,246,258,257,246
28,3909,6791,2448,328,1373,0,432,301,302,313,313,302
29,3624,6634,2461,331,1254,0,452,338,339,350,350,338
30,3330,6520,2390,332,1156,1,493,423,424,436,436,423
31,2926,6343,2335,350,1084,0,578,409,408,420,421,408
32,2346,6119,2286,367,928,0,624,447,447,460,460,448
33,1898,5810,2154,376,758,0,658,475,474,485,488,476
34,1470,5401,2031,390,662,0,767,519,519,531,531,519
35,1184,4903,1877,368,474,1,764,576,577,586,587,577
