,E,I_sym,I_asym,ICU,Daily_infected,Reinfection,Sequela 1,Sequela 2,Sequela 3,Sequela 4,Sequela 5,Sequela 6
0,9,4,3,0,1,0,0,0,0,0,0,0
1,10,6,4,0,4,0,0,0,0,0,0,0
2,17,8,5,0,3,0,0,1,2,0,0,0
3,34,9,6,0,5,0,0,0,0,0,0,0
4,46,16,4,0,8,0,0,0,0,0,0,0
5,52,22,6,0,13,0,1,0,0,0,0,0
6,87,30,13,1,18,0,0,1,0,0,0,0
7,128,42,15,1,22,0,0,0,0,0,13,0
8,174,74,20,1,48,0,0,0,0,0,0,0
9,314,110,29,1,58,0,2,1,2,14,14,2
10,485,177,46,2,112,0,1,1,1,14,13,2
11,811,273,78,2,161,0,2,1,2,13,14,2
12,1178,450,138,4,279,0,3,4,5,16,17,5
13,1840,676,206,9,381,0,5,4,5,17,16,4
14,2019,1017,333,15,600,1,10,6,7,18,18,4
15,2484,1341,456,19,646,0,9,6,6,19,19,7
16,3108,1761,602,32,836,0,22,16,16,29,29,12
17,3705,2259,764,48,1011,0,28,19,20,32,32,19
18,4372,2883,917,59,1218,0,50,36,37,47,49,37
19,5129,3497,1139,78,1404,0,70,36,37,47,47,35
20,5929,4227,1428,97,1656,0,68,60,61,73,73,61
21,6676,5009,1720,128,1905,0,97,68,69,81,79,69
22,6779,5820,2043,155,2090,0,127,85,86,98,98,86
23,6712,6580,2325,182,2172,0,163,121,122,134,134,121
24,6515,7234,2584,219,2203,0,204,152,153,165,165,153
25,6286,7731,2782,260,2093,0,267,189,190,201,200,190
26,5797,8041,2900,300,1994,1,299,193,194,205,205,193
27,5019,8192,2907,318,1768,0,394,253,252,266,263,252
28,4188,8162,2912,343,1566,0,425,290,291,303,303,291
29,3412,8061,2844,352,1401,0,456,357,358,367,370,358
30,2747,7751,2718,399,1128,2,525,395,394,406,408,395
31,2211,7234,2591,415,894,1,557,468,468,480,480,469
32,1781,6699,2449,447,722,1,635,492,493,503,504,491
33,1464,6200,2205,457,565,1,688,490,491,503,503,491
34,1213,5655,2030,432,465,0,739,532,531,544,544,532
35,1022,5087,1856,424,354,3,780,560,561,573,573,561
36,834,4550,1691,413,313,0,825,591,590,604,604,592
37,673,4074,1526,383,276,1,848,627,628,640,640,628
38,522,3594,1374,366,235,1,875,661,662,674,674,661
39,427,3165,1233,356,171,0,853,708,709,720,721,709
40,339,2798,1108,343,148,0,978,683,681,694,694,682
41,279,2446,971,336,115,0,933,730,731,743,743,731
42,235,2147,865,310,83,1,996,729,730,742,742,730
43,185,1898,758,298,75,0,1037,785,784,797,796,785
44,158,1650,669,286,59,0,1048,740,741,753,753,741
45,160,1463,584,253,35,0,1027,785,785,797,798,786
46,136,1294,529,232,57,0,1090,785,781,796,797,785
47,114,1156,464,207,37,2,1059,732,733,742,745,733
48,106,993,401,190,30,1,1096,786,785,799,798,786
49,86,871,350,173,38,0,1079,795,796,808,808,796
50,69,766,307,151,32,0,1120,827,825,840,840,828
51,52,674,268,137,26,5,1179,777,778,790,790,778
52,36,579,239,127,22,1,1099,778,777,790,791,778
53,29,511,211,117,12,0,1125,807,807,816,817,805
54,27,445,185,101,7,2,1093,808,809,821,821,809
55,24,381,167,98,7,0,1100,794,793,807,807,794
56,25,342,140,87,8,1,1117,773,774,786,786,774
57,22,288,111,85,8,0,1157,828,829,840,840,829
58,20,254,98,78,5,0,1138,842,843,855,854,843
59,11,215,87,73,11,0,1124,765,764,776,775,764
60,12,182,77,67,1,0,1165,842,843,855,855,843
61,9,163,74,63,3,2,1116,879,879,892,889,880
62,8,142,62,56,3,1,1136,829,830,842,842,830
63,6,121,53,46,4,2,1136,883,882,895,896,883
64,5,109,42,38,2,2,1173,750,750,763,762,751
65,4,95,35,39,1,1,1183,810,804,816,818,810
66,8,78,29,39,0,3,1207,803,804,816,816,804
67,9,69,24,35,0,1,1122,821,822,832,833,822
68,6,64,21,29,3,1,1141,833,834,846,846,834
69,6,54,20,29,0,0,1108,816,812,824,826,817
70,7,48,15,27,0,0,1153,821,822,834,834,822
71,3,50,14,23,4,1,1121,843,842,852,856,841
72,5,43,10,20,0,0,1094,892,890,902,905,892
73,4,40,11,17,1,2,1137,814,814,827,827,815
74,3,37,9,18,2,0,1188,844,844,856,857,845
75,3,33,9,16,1,1,1114,850,850,863,863,851
76,1,27,10,15,2,0,1175,879,880,892,892,880
77,1,22,8,13,0,0,1166,859,858,869,872,858
78,1,20,7,11,0,1,1161,845,845,853,853,844
79,1,17,6,11,0,0,1142,838,837,849,849,837
80,1,13,5,9,0,1,1066,829,829,842,841,829
81,1,11,2,11,0,1,1172,824,824,835,836,824
82,1,9,1,9,0,2,1184,860,860,871,873,861
83,1,8,1,6,0,0,1204,849,850,862,862,850
84,1,7,1,5,0,0,1126,842,841,853,854,842
85,1,6,1,3,0,0,1155,814,815,827,827,815
86,0,6,1,3,1,2,1170,810,808,822,822,808
87,0,5,1,3,0,0,1127,820,819,831,833,820
88,0,3,1,2,0,1,1103,864,865,877,877,865
89,0,3,1,2,0,0,1197,836,836,846,842,833
90,0,2,1,2,0,2,1171,839,840,851,852,840
91,0,1,1,1,0,0,1127,851,849,864,864,852
92,0,1,1,1,0,2,1150,872,873,883,882,872
93,0,1,1,1,0,0,1208,841,842,854,854,842
94,0,1,1,1,0,0,1144,811,811,824,824,812
95,0,1,1,0,0,1,1156,836,836,848,848,837
96,0,1,0,0,0,1,1212,789,789,801,801,789
97,0,1,0,0,0,2,1189,810,811,822,822,810
98,0,1,0,0,0,1,1166,807,807,817,817,805
99,0,0,0,0,0,0,1129,811,811,824,824,812
100,0,0,0,0,0,1,1189,847,848,858,859,848
101,0,0,0,0,0,0,1163,852,853,865,865,853
102,0,0,0,0,0,1,1174,880,880,893,892,881
103,0,0,0,0,0,1,1170,839,839,851,852,840
104,0,0,0,0,0,1,1202,791,791,803,803,791
105,0,0,0,0,0,1,1155,844,844,856,857,845
106,0,0,0,0,0,2,1163,799,800,811,812,800
107,0,0,0,0,0,1,1178,864,862,874,877,865
108,0,0,0,0,0,1,1173,833,832,844,845,832
109,0,0,0,0,0,0,1064,826,827,839,839,827
110,0,0,0,0,0,0,1139,808,809,821,821,809
111,0,0,0,0,0,1,1106,828,825,840,840,828
112,0,0,0,0,0,1,1146,808,809,821,820,809
113,0,0,0,0,0,1,1157,854,855,867,867,855
114,0,0,0,0,0,0,1129,840,841,852,853,841
115,0,0,0,0,0,0,1122,892,890,904,904,892
116,0,0,0,0,0,0,1146,834,834,844,847,835
117,0,0,0,0,0,0,1174,891,892,903,903,892
118,0,0,0,0,0,1,1138,813,812,822,826,814
119,0,0,0,0,0,1,1188,856,855,867,868,855
120,0,0,0,0,0,0,1186,809,809,820,821,810
121,0,0,0,0,0,2,1201,817,817,830,830,818
122,0,0,0,0,0,0,1173,821,822,834,834,822
123,0,0,0,0,0,0,1147,842,843,855,855,842
124,0,0,0,0,0,0,1166,852,850,864,865,852
125,0,0,0,0,0,0,1162,750,751,763,763,750
126,0,0,0,0,0,1,1154,789,790,802,802,790
127,0,0,0,0,0,0,1132,850,850,863,862,851
128,0,0,0,0,0,2,1177,836,837,849,849,835
129,0,0,0,0,0,1,1140,844,845,855,857,845
130,0,0,0,0,0,0,1075,734,735,745,745,735
131,0,0,0,0,0,1,1197,825,825,838,838,826
132,0,0,0,0,0,0,1109,847,848,860,860,848
133,0,0,0,0,0,0,1165,785,785,797,797,786
134,0,0,0,0,0,1,1155,829,830,842,842,830
135,0,0,0,0,0,1,1153,844,844,854,856,845
136,0,0,0,0,0,0,1162,853,854,866,866,854
137,0,0,0,0,0,2,1161,837,837,849,848,837
138,0,0,0,0,0,0,1085,781,782,792,794,782
139,0,0,0,0,0,1,1109,837,834,846,850,838
140,0,0,0,0,0,0,1160,819,820,832,831,819
141,0,0,0,0,0,0,1123,814,815,827,827,815
142,0,0,0,0,0,1,1127,838,839,851,847,838
143,0,0,0,0,0,1,1183,853,852,865,866,854
144,0,0,0,0,0,1,1134,867,867,880,878,866
145,0,0,0,0,0,0,1140,857,858,866,870,858
146,0,0,0,0,0,1,1168,811,811,824,824,812
147,0,0,0,0,0,1,1173,793,794,805,804,794
148,0,0,0,0,0,1,1132,862,863,874,874,863
149,0,0,0,0,0,0,1172,832,831,843,845,832
150,0,0,0,0,0,1,1174,848,848,859,860,849
151,0,0,0,0,0,2,1235,858,859,867,870,859
152,0,0,0,0,0,0,1126,820,820,831,833,820
153,0,0,0,0,0,2,1182,856,854,868,869,856
154,0,0,0,0,0,0,1131,845,846,858,858,846
155,0,0,0,0,0,0,1187,865,866,878,878,866
156,0,0,0,0,0,1,1153,823,823,836,835,824
157,0,0,0,0,0,0,1161,862,860,875,875,863
158,0,0,0,0,0,0,1180,851,852,864,864,852
159,0,0,0,0,0,0,1198,834,835,847,845,835
160,0,0,0,0,0,0,1159,818,817,831,830,819
161,0,0,0,0,0,2,1194,795,795,808,808,796
162,0,0,0,0,0,2,1125,824,824,835,835,824
163,0,0,0,0,0,1,1072,860,861,873,872,860
164,0,0,0,0,0,2,1152,817,818,830,830,818
165,0,0,0,0,0,0,1173,841,841,854,854,842
166,0,0,0,0,0,1,1091,853,854,866,866,854
167,0,0,0,0,0,0,1114,800,800,811,811,800
168,0,0,0,0,0,1,1205,887,887,900,899,886
169,0,0,0,0,0,0,1154,821,822,834,834,822
170,0,0,0,0,0,0,1198,830,829,840,842,831
171,0,0,0,0,0,2,1101,845,846,857,857,845
172,0,0,0,0,0,1,1078,810,810,822,823,811
173,0,0,0,0,0,1,1163,920,921,933,933,921
174,0,0,0,0,0,1,1232,850,849,862,863,850
175,0,0,0,0,0,0,1196,880,881,893,893,881
