,E,I_sym,I_asym,ICU,Daily_infected,Reinfection,Sequela 1,Sequela 2,Sequela 3,Sequela 4,Sequela 5,Sequela 6
0,2,1,3,0,1,0,0,0,0,0,0,0
1,5,2,4,0,2,0,0,0,0,0,0,0
2,12,4,5,0,3,0,0,0,0,0,0,0
3,21,8,4,0,4,0,0,0,0,0,0,0
4,49,14,7,0,10,0,0,0,0,0,0,0
5,80,29,13,0,24,0,0,0,0,0,0,0
6,155,33,28,1,26,0,0,0,0,0,0,0
7,243,73,35,1,56,0,2,1,0,13,0,0
8,410,126,55,2,83,0,1,1,0,14,14,0
9,728,195,83,3,129,0,1,2,1,14,14,3
10,1120,332,142,4,233,0,2,2,3,13,15,3
11,1706,560,215,8,363,0,3,1,1,14,14,2
12,2462,907,329,13,572,0,1,2,3,15,14,3
13,3317,1383,475,20,820,0,9,6,5,16,19,7
14,4142,1953,702,28,1074,0,12,6,5,19,18,6
15,3604,2679,934,37,1360,0,19,33,32,44,44,32
16,3619,3192,1096,50,1166,0,39,27,28,40,40,28
17,3902,3572,1269,75,1152,0,74,32,33,44,45,31
18,4283,3964,1357,101,1243,0,75,41,41,53,53,41
19,4752,4434,1528,122,1392,0,108,91,89,103,103,91
20,4876,4959,1703,140,1547,0,125,86,87,99,99,87
21,4643,5372,1877,173,1620,0,173,122,123,131,135,122
22,4597,5700,2016,196,1487,0,202,159,159,172,171,160
23,4575,5964,2120,216,1514,0,234,133,134,145,145,133
24,4336,6235,2205,247,1529,0,282,193,191,206,206,190
25,4047,6343,2255,263,1417,0,331,234,234,244,244,230
26,3918,6355,2261,283,1282,0,364,263,264,276,276,264
27,3764,6364,2246,315,1258,0,379,278,279,291,291,279
28,3482,6351,2264,331,1284,0,455,316,313,328,328,316
29,3164,6290,2263,336,1173,0,493,352,353,365,365,353
30,2945,6065,2220,343,1000,0,551,391,392,403,403,392
31,2685,5788,2098,351,893,0,603,436,437,449,448,436
32,2361,5617,2018,355,857,1,620,441,442,452,454,442
33,2034,5314,1952,367,768,0,705,492,492,503,504,493
34,1734,5053,1878,368,683,1,724,506,507,519,519,507
35,1403,4691,1771,370,556,0,786,545,546,557,558,546
36,1135,4319,1633,357,460,1,772,535,534,547,547,536
37,933,3959,1521,361,362,0,835,549,549,560,560,549
38,801,3618,1346,349,280,0,896,597,598,610,610,598
39,624,3252,1240,337,268,1,883,608,609,621,621,609
40,490,2869,1140,322,203,0,952,651,650,664,664,650
41,393,2590,1041,311,171,0,950,710,710,716,721,710
42,304,2315,926,294,147,1,946,677,678,690,690,678
43,281,2068,810,278,82,0,968,691,692,704,704,692
