,E,I_sym,I_asym,ICU,Daily_infected,Reinfection,Sequela 1,Sequela 2,Sequela 3,Sequela 4,Sequela 5,Sequela 6
0,13,3,4,0,1,0,0,0,0,0,0,0
1,14,5,6,0,5,0,0,0,0,0,0,0
2,24,4,9,0,3,0,0,0,0,0,0,0
3,39,8,8,1,6,0,0,0,0,0,0,0
4,51,14,10,1,12,0,1,0,0,0,13,0
5,74,21,12,1,15,0,0,0,0,13,0,0
6,116,36,19,1,27,0,0,0,0,0,13,1
7,187,52,28,1,35,0,0,1,2,0,0,2
8,299,86,40,0,58,0,1,0,0,13,13,1
9,472,141,55,0,86,0,1,2,1,13,13,1
10,702,237,86,0,153,0,1,1,1,13,13,1
11,1150,376,116,5,218,0,2,0,1,13,13,1
12,1703,613,208,8,390,0,3,2,2,14,15,3
13,2582,929,320,14,549,0,5,5,5,18,18,5
14,3504,1412,481,19,826,0,8,11,11,24,23,12
15,4456,2048,729,32,1163,0,15,11,8,19,23,10
16,3829,2793,985,47,1405,0,33,24,24,36,35,24
17,3702,3319,1189,68,1281,0,33,26,25,39,37,26
18,3823,3751,1363,82,1210,0,55,45,46,55,58,46
19,4142,4124,1490,106,1229,0,87,70,71,82,83,70
20,4484,4518,1643,140,1341,0,117,82,82,94,94,83
21,4896,4973,1795,165,1548,1,141,92,93,105,105,93
22,4806,5408,1975,198,1573,0,161,100,98,113,113,101
23,4922,5736,2135,215,1523,0,188,152,149,162,165,150
24,4981,6017,2269,242,1576,0,254,159,160,172,172,160
25,4517,6378,2360,265,1623,0,275,198,199,211,211,199
26,4181,6565,2460,295,1566,0,327,254,255,267,267,255
27,3908,6602,2502,319,1358,0,370,275,276,287,288,276
28,3622,6605,2451,337,1272,0,450,310,311,323,323,311
29,3296,6509,2437,354,1163,0,452,371,371,384,384,370
30,2846,6376,2403,349,1083,0,495,357,358,369,369,357
31,2529,6051,2291,374,869,1,589,401,400,411,413,402
32,2151,5793,2200,377,825,0,577,428,426,441,439,428
33,1742,5448,2094,388,760,0,660,448,445,458,460,449
34,1471,5063,1944,410,599,0,680,501,501,513,513,501
35,1259,4659,1808,387,450,0,746,525,526,538,538,526
36,1043,4288,1660,380,420,3,806,556,554,566,566,556
37,913,3887,1524,362,345,0,766,582,583,595,592,583
38,732,3520,1408,336,319,1,839,619,620,631,631,619
39,608,3166,1307,320,248,2,857,615,616,628,628,616
40,525,2856,1163,308,195,0,883,667,665,677,679,667
41,448,2571,1058,281,171,1,863,611,612,624,624,611
42,393,2281,942,260,137,1,955,680,680,693,692,680
43,350,2026,835,245,129,1,938,706,704,716,716,706
44,308,1772,760,241,117,1,1015,690,691,702,701,690
