,E,I_sym,I_asym,ICU,Daily_infected,Reinfection,Sequela 1,Sequela 2,Sequela 3,Sequela 4,Sequela 5,Sequela 6
0,8,2,0,0,0,0,0,0,0,0,0,0
1,7,5,0,0,3,0,0,0,0,0,0,0
2,11,5,1,0,3,0,0,0,0,0,0,0
3,18,5,2,0,1,0,0,0,0,13,0,0
4,17,8,4,0,7,0,0,0,0,0,0,0
5,25,11,5,0,7,0,0,0,0,0,0,0
6,40,16,6,0,8,0,0,1,0,13,0,0
7,60,28,7,0,15,0,0,0,0,0,13,1
8,95,34,12,0,16,0,0,1,0,0,13,1
9,155,50,19,0,31,0,0,0,0,13,0,0
10,229,88,27,2,56,0,0,1,0,0,0,2
11,376,134,38,4,73,0,1,0,1,13,0,1
12,432,221,57,3,124,0,5,1,1,0,14,2
13,592,282,89,5,141,0,1,1,2,13,14,2
14,780,384,124,5,191,0,5,4,5,17,0,5
15,778,490,164,9,212,0,6,3,4,16,16,4
16,812,603,198,13,248,0,7,5,4,17,16,5
17,961,723,229,14,276,0,11,9,10,22,22,10
18,1327,838,262,26,296,0,17,12,13,24,24,13
19,1727,1046,330,34,427,0,17,20,16,33,33,21
20,2378,1328,425,37,575,0,22,20,18,32,32,20
21,2801,1678,553,44,739,0,32,20,21,33,33,21
22,3262,2097,699,54,892,0,49,27,28,39,40,28
23,3771,2566,870,63,1041,0,49,46,46,59,57,46
24,4253,3088,1055,69,1215,0,82,56,56,67,68,56
25,4939,3616,1226,90,1318,0,103,65,64,77,78,66
26,5469,4272,1480,129,1630,0,110,76,76,88,89,76
27,6094,5001,1709,159,1768,0,151,102,102,112,114,103
28,6491,5736,1985,183,1973,1,161,129,130,142,142,130
29,6582,6540,2229,215,2198,0,198,140,137,151,151,141
30,6601,7193,2480,234,2174,0,238,184,183,195,196,185
31,6300,7687,2693,280,2111,0,297,231,232,244,238,231
32,5868,8076,2802,317,1997,0,333,263,264,272,276,263
33,5064,8321,2930,336,1895,0,388,292,293,302,304,292
34,4267,8352,3002,366,1628,0,447,313,314,326,326,314
35,3569,8103,2982,396,1405,0,543,336,336,348,348,336
36,2881,7736,2883,414,1145,1,580,395,394,408,408,396
37,2265,7300,2770,409,949,2,657,429,430,442,442,430
38,1819,6768,2569,438,696,1,677,489,489,499,502,490
39,1405,6246,2375,468,615,0,711,480,481,493,492,481
40,1124,5640,2149,451,412,0,771,558,559,569,571,559
41,846,5089,1939,452,378,0,849,555,556,567,566,556
42,667,4536,1728,415,258,0,799,626,627,639,638,627
43,499,4041,1541,398,218,0,875,638,639,651,651,639
44,383,3528,1376,398,154,0,940,639,640,652,651,639
45,313,3086,1212,371,115,4,921,696,697,708,706,697
46,237,2670,1064,343,92,0,977,713,713,725,725,711
47,179,2331,932,306,67,0,952,745,746,758,758,746
48,126,2061,842,274,65,1,1022,726,726,738,738,726
49,101,1812,741,249,41,0,1017,798,798,810,809,798
