,E,I_sym,I_asym,ICU,Daily_infected,Reinfection,Sequela 1,Sequela 2,Sequela 3,Sequela 4,Sequela 5,Sequela 6
0,11,2,3,0,2,0,0,0,0,0,0,0
1,11,3,4,0,4,0,0,0,0,0,0,0
2,11,7,3,0,4,0,0,0,0,0,0,0
3,27,7,3,0,0,0,0,0,0,0,0,0
4,40,9,7,0,6,0,0,0,0,0,0,0
5,59,15,7,0,9,0,0,0,0,0,0,1
6,71,29,9,0,20,0,0,0,0,13,13,1
7,110,44,12,0,22,0,0,2,1,0,0,0
8,197,58,26,1,35,0,0,0,1,0,0,1
9,313,101,39,2,65,0,0,0,1,13,0,1
10,497,152,61,4,93,0,0,1,1,0,0,0
11,762,250,96,5,167,0,2,1,1,14,13,2
12,1270,392,137,9,239,0,1,2,3,13,15,3
13,1848,642,231,12,425,0,6,2,3,14,15,3
14,2660,985,325,17,565,0,9,6,7,18,19,7
15,3491,1461,514,16,857,0,13,8,7,21,21,7
16,3750,2032,739,24,1094,0,15,15,16,28,28,16
17,4186,2624,963,46,1239,0,32,23,24,36,36,24
18,4868,3271,1165,61,1357,0,36,32,33,45,45,31
19,5537,3971,1442,87,1583,0,66,40,41,52,53,41
20,6096,4727,1715,106,1758,0,85,53,54,66,66,54
21,6583,5575,1943,127,1963,0,113,88,89,101,100,89
22,6947,6288,2196,157,2039,0,157,123,124,136,136,124
23,6642,7020,2500,179,2269,0,190,119,120,132,132,120
24,6445,7585,2688,213,2187,0,238,171,172,184,184,172
25,5933,8027,2884,255,2129,0,275,185,186,198,198,185
26,5298,8340,2997,300,2027,0,324,242,242,255,255,241
27,4479,8309,3030,343,1656,0,357,316,317,329,329,317
28,3672,8117,3021,367,1410,0,431,325,326,338,335,323
29,3031,7776,2912,391,1174,0,465,350,350,362,363,350
30,2527,7298,2775,408,904,0,597,403,404,416,416,404
31,2044,6846,2558,404,796,0,665,439,439,451,452,439
32,1635,6335,2335,418,654,1,678,469,465,481,479,464
33,1243,5807,2169,433,549,2,688,525,526,538,538,526
34,967,5278,1957,418,437,0,771,581,582,594,594,582
35,805,4769,1783,403,311,2,854,599,598,610,612,597
36,636,4222,1624,385,279,1,845,654,652,665,666,654
37,515,3736,1453,363,209,1,915,658,658,671,671,659
38,439,3287,1267,344,155,1,900,650,651,663,662,650
39,357,2894,1133,336,140,0,935,695,695,704,707,694
