,E,I_sym,I_asym,ICU,Daily_infected,Reinfection,Sequela 1,Sequela 2,Sequela 3,Sequela 4,Sequela 5,Sequela 6
0,9,4,2,0,0,0,0,0,0,0,0,0
1,12,4,3,0,2,0,0,0,0,0,0,0
2,16,7,3,0,3,0,0,0,0,0,0,0
3,31,10,5,0,5,0,0,0,0,0,0,0
4,44,15,7,0,8,0,0,0,0,0,0,0
5,63,19,12,0,11,0,0,0,0,0,0,0
6,91,31,12,0,18,0,0,0,1,0,0,0
7,132,47,20,0,32,0,1,0,1,0,13,0
8,210,75,29,1,48,0,0,1,2,0,14,2
9,349,103,45,1,59,0,1,0,0,0,13,1
10,528,170,73,4,119,0,3,1,2,13,13,2
11,861,250,91,6,139,0,1,1,0,14,14,2
12,1214,422,139,6,276,0,3,2,3,13,14,3
13,1861,629,225,8,380,0,4,2,3,15,15,3
14,2721,996,359,14,615,1,7,13,14,21,24,13
15,3758,1511,520,26,855,0,14,9,10,22,22,10
16,4783,2237,752,39,1261,0,15,9,10,22,22,10
17,5042,3106,1046,55,1574,0,31,26,26,38,39,27
18,5549,3814,1338,80,1607,0,48,29,30,42,42,30
19,5822,4664,1610,99,1898,1,79,40,41,52,53,41
20,6378,5335,1854,134,1806,0,115,76,77,86,89,77
21,6648,6113,2157,170,2108,0,142,93,94,106,106,94
22,6176,6815,2437,211,2207,1,177,111,112,123,124,111
23,5928,7221,2696,246,1978,0,218,150,151,163,162,151
24,5432,7527,2811,271,1861,0,254,183,184,196,196,184
25,4889,7689,2904,289,1728,0,282,211,212,224,224,212
26,4143,7746,2942,308,1624,0,363,276,277,288,289,277
27,3667,7527,2870,334,1325,0,411,343,344,356,356,344
28,3120,7311,2782,353,1182,0,459,328,328,341,341,329
29,2676,7026,2674,374,990,0,530,376,373,387,387,374
30,2184,6608,2533,390,898,0,561,443,442,456,456,444
31,1910,6100,2377,412,670,0,626,460,461,473,473,460
32,1524,5672,2226,412,636,1,623,493,494,506,506,494
33,1237,5190,2053,401,507,0,734,502,502,514,515,502
34,1012,4686,1858,396,403,0,764,551,551,564,563,552
35,830,4254,1692,395,355,0,779,559,560,572,572,560
36,728,3760,1499,380,255,0,836,631,632,644,644,632
37,612,3390,1343,353,227,1,922,668,669,680,679,668
38,514,3062,1195,328,208,2,847,601,599,611,612,601
39,439,2751,1066,313,180,0,935,692,690,699,705,693
40,380,2470,956,300,151,0,960,689,685,700,702,690
41,327,2230,854,272,138,2,959,693,693,699,701,694
42,280,1985,753,239,109,1,984,709,708,722,722,709
43,260,1741,650,222,79,0,988,751,751,763,763,751
44,239,1547,597,208,96,1,1019,735,736,747,746,735
45,197,1394,546,186,74,0,1014,793,787,802,806,794
46,157,1247,489,171,65,0,1067,781,782,794,794,780
47,129,1101,436,162,46,0,1087,770,771,783,783,770
48,104,986,379,149,46,1,1101,789,790,800,801,790
49,85,861,335,138,32,0,1066,756,755,767,769,756
50,66,761,305,128,27,0,1107,767,768,780,780,768
51,54,678,272,118,28,1,1123,786,787,799,799,787
52,57,592,235,112,15,0,1079,812,813,825,824,813
53,46,519,202,107,20,0,1066,807,808,820,820,808
54,40,453,178,94,11,1,1101,803,803,815,816,803
55,26,400,153,83,19,1,1109,825,826,838,838,826
56,28,344,131,75,8,1,1051,773,772,784,786,774
57,24,301,108,61,9,0,1084,789,790,802,802,790
58,23,258,90,57,7,1,1099,848,849,861,861,849
59,23,218,76,50,7,0,1127,791,791,804,803,792
60,17,188,72,49,10,0,1118,798,799,811,811,799
61,16,159,63,44,3,1,1099,810,811,823,823,811
62,15,141,59,40,6,0,1143,870,871,883,882,871
63,19,120,55,38,1,1,1144,830,829,843,843,831
64,20,103,46,35,3,2,1097,836,836,849,849,837
65,17,100,41,33,8,1,1085,749,750,760,762,750
66,13,90,37,31,4,2,1069,828,829,841,841,829
67,12,78,34,25,3,2,1090,781,782,792,792,782
68,6,65,34,22,6,0,1140,798,799,810,811,799
69,5,57,32,19,5,0,1173,804,805,817,817,805
70,8,51,30,14,2,1,1160,813,814,826,825,813
71,5,48,32,13,5,1,1142,831,832,843,843,832
72,7,39,28,8,0,2,1150,772,773,785,785,773
73,6,36,23,8,2,1,1124,813,814,822,825,814
74,7,33,19,8,0,1,1138,769,770,779,782,770
75,5,32,18,6,3,0,1164,798,799,811,811,799
76,7,28,16,5,2,0,1126,847,848,860,860,848
77,6,23,16,6,4,2,1173,823,824,834,836,824
78,5,25,14,6,3,1,1049,818,818,831,831,819
79,2,25,12,4,3,1,1132,835,836,844,848,835
80,4,24,12,3,0,3,1092,873,873,886,886,874
81,7,24,8,2,2,2,1110,807,808,820,820,808
82,6,24,8,2,3,0,1160,797,798,810,809,798
83,3,23,7,2,3,2,1095,839,840,851,852,839
84,4,18,7,2,0,0,1148,856,857,869,869,857
85,6,12,7,2,0,0,1138,857,858,870,870,858
86,1,17,6,2,5,0,1124,845,846,857,857,846
87,1,15,6,3,1,0,1130,820,819,831,832,819
88,3,13,5,3,0,0,1128,848,848,861,861,849
89,3,15,4,2,2,3,1149,848,845,860,860,849
90,2,13,4,1,1,0,1126,900,899,910,911,900
91,3,10,4,1,0,1,1099,837,835,847,847,835
92,2,12,3,1,2,0,1136,864,865,877,877,865
93,2,11,3,0,0,0,1179,837,838,850,850,838
