,E,I_sym,I_asym,ICU,Daily_infected,Reinfection,Sequela 1,Sequela 2,Sequela 3,Sequela 4,Sequela 5,Sequela 6
0,8,3,4,0,1,0,0,0,0,0,0,0
1,12,5,5,0,3,0,0,0,0,0,0,0
2,14,10,4,0,6,0,1,0,0,0,0,0
3,20,13,6,1,8,0,0,0,0,0,0,1
4,34,14,6,0,3,0,0,0,0,0,0,0
5,51,19,7,2,10,0,0,0,0,13,0,1
6,69,31,7,2,16,0,0,1,0,0,13,0
7,112,48,10,1,24,0,0,0,1,0,0,0
8,183,74,13,2,38,0,2,0,0,0,13,1
9,285,103,32,3,63,0,0,2,1,14,0,3
10,446,154,55,4,92,0,2,1,1,13,13,1
11,712,245,80,4,144,0,3,2,1,13,13,3
12,1151,369,139,5,234,0,2,0,1,13,13,1
13,1702,592,247,8,396,0,4,4,4,17,16,5
14,2530,925,367,12,575,0,8,6,7,18,19,7
15,3525,1402,530,16,809,0,14,7,8,19,20,8
16,4565,2001,741,27,1097,0,16,15,16,26,28,16
17,5454,2740,1045,41,1456,0,22,16,16,28,28,15
18,6116,3668,1349,65,1776,0,38,27,28,30,37,25
19,6748,4577,1672,88,1949,0,61,47,47,58,59,47
20,6788,5492,2026,126,2181,0,108,60,61,73,73,61
21,6622,6276,2268,153,2162,0,105,87,86,99,100,87
22,6096,6983,2501,184,2187,1,157,113,114,126,126,114
23,5668,7382,2634,223,1991,0,213,137,138,150,150,138
24,5164,7570,2755,269,1783,0,262,186,187,194,199,187
25,4617,7658,2800,298,1639,0,290,211,210,222,222,212
26,3941,7618,2825,326,1522,1,362,258,259,271,271,259
27,3439,7355,2806,357,1288,1,415,294,295,305,305,293
28,2922,7066,2709,363,1099,0,498,341,338,352,352,340
29,2374,6691,2607,361,969,0,494,363,364,375,376,364
30,2017,6269,2424,377,751,0,575,437,438,449,450,437
31,1703,5822,2259,371,625,1,608,441,440,453,452,440
32,1388,5366,2059,388,558,0,658,473,469,485,485,473
33,1174,4872,1886,390,423,0,715,503,503,516,516,504
34,998,4373,1702,373,349,0,799,517,518,528,528,518
35,847,3979,1569,348,310,1,837,558,559,570,571,559
36,702,3617,1434,339,302,1,855,596,597,609,607,597
37,601,3237,1295,331,229,0,830,587,588,600,600,588
38,548,2890,1168,314,178,1,867,593,594,606,606,593
39,443,2594,1071,305,191,1,913,674,674,683,683,675
40,388,2319,957,289,142,1,941,694,695,707,707,694
41,345,2032,866,251,118,2,985,681,682,694,694,682
42,294,1852,767,235,111,0,955,687,686,700,700,683
43,262,1646,684,217,88,2,964,732,731,741,740,732
44,238,1455,589,197,79,2,1002,705,706,718,718,706
45,199,1262,525,175,75,0,1011,739,740,752,752,740
46,165,1134,470,165,64,0,1075,744,745,757,757,745
47,137,1000,415,155,53,1,1037,765,766,778,778,766
48,113,913,380,142,48,1,1082,763,763,774,775,764
49,102,806,332,128,32,3,1026,799,800,812,812,800
50,70,705,297,125,40,1,1094,749,750,762,762,748
51,65,623,266,105,24,0,1021,798,798,811,811,798
52,55,538,238,89,24,0,1047,755,756,768,768,756
53,51,461,209,79,16,0,1084,754,754,767,766,755
54,48,391,188,67,16,0,1042,813,814,826,824,814
55,41,347,170,59,18,0,1144,731,731,743,743,732
56,45,308,138,58,13,0,1101,825,824,838,838,826
57,41,269,123,59,12,0,1114,791,790,803,803,791
58,44,237,108,58,9,0,1127,770,769,783,782,771
59,42,214,99,52,10,0,1121,773,772,786,786,774
60,36,199,88,46,15,0,1064,819,817,832,829,817
61,30,175,78,43,13,2,1098,838,837,848,849,839
62,26,161,72,37,14,1,1112,816,817,829,829,816
63,24,154,68,31,12,1,1091,822,822,834,835,823
64,23,131,61,30,6,1,1122,796,797,809,809,797
65,19,107,50,29,9,3,1094,752,752,765,765,753
66,19,88,44,25,4,1,1125,788,789,801,801,789
67,18,82,40,25,5,2,1090,777,776,790,790,778
68,21,75,37,21,5,2,1081,837,838,850,850,838
69,17,73,36,17,8,1,1102,851,852,864,864,848
70,15,68,31,11,5,2,1142,821,822,832,832,820
71,14,66,27,10,4,1,1123,802,803,813,815,802
72,14,60,25,8,5,1,1097,767,762,780,780,768
73,8,55,24,8,6,0,1086,825,821,833,837,826
74,7,54,19,7,2,0,1121,821,820,831,834,822
75,8,47,21,6,2,1,1160,826,827,839,839,827
76,9,45,21,5,1,2,1105,813,814,826,826,814
77,9,43,20,4,2,0,1090,820,820,833,833,821
78,14,33,19,5,1,0,1150,802,802,812,815,800
79,10,30,20,4,7,2,1103,785,782,798,798,786
80,7,28,21,4,5,1,1073,823,824,834,836,824
81,9,28,16,5,2,0,1122,783,783,796,796,782
82,9,25,18,4,3,0,1091,799,800,812,812,800
83,7,22,15,4,4,0,1128,855,856,868,868,856
84,9,25,14,3,4,2,1106,868,868,881,881,869
85,7,23,10,3,2,0,1097,786,785,799,799,787
86,8,22,9,2,3,0,1130,816,815,829,829,815
87,7,14,9,1,1,1,1089,733,733,745,745,733
88,4,15,10,1,3,0,1135,830,829,841,841,831
89,6,16,9,1,2,0,1144,795,796,808,808,796
90,8,14,8,1,1,1,1117,787,788,800,799,787
91,10,8,7,1,1,0,1086,829,828,842,842,830
92,6,10,6,1,4,0,1051,727,728,739,740,728
93,5,10,5,1,1,1,1153,812,812,824,824,813
94,6,11,4,1,1,2,1163,820,820,833,833,821
95,6,10,4,1,0,0,1109,816,816,828,829,817
96,4,11,5,1,3,1,1065,835,836,847,847,836
97,3,9,6,1,2,2,1155,832,830,842,843,833
98,2,7,6,1,2,1,1114,773,772,785,785,774
99,3,4,7,1,1,1,1156,770,771,783,783,771
100,3,5,6,0,1,0,1148,831,831,843,843,832
101,1,6,7,0,2,0,1085,803,804,815,816,804
102,1,5,7,0,0,1,1115,806,806,817,818,805
103,2,3,6,0,0,0,1097,769,770,781,782,770
104,1,4,3,0,1,0,1075,823,822,836,836,824
105,1,3,3,0,0,2,1121,849,850,862,862,850
106,0,4,2,0,1,0,1139,786,787,799,799,787
107,0,2,2,0,0,1,1129,791,791,803,804,791
108,0,2,2,0,0,2,1100,879,880,892,892,880
109,0,2,2,0,0,0,1112,800,801,813,812,801
110,0,0,2,0,0,0,1120,829,829,841,842,829
111,0,0,2,0,0,1,1076,823,824,836,836,824
112,0,0,2,0,0,0,1125,800,799,811,811,799
113,0,0,2,0,0,1,1129,799,800,810,810,798
114,0,0,1,0,0,0,1089,774,773,785,787,773
115,0,0,1,0,0,0,1118,833,832,844,846,834
116,0,0,1,0,0,0,1137,809,810,822,822,810
117,0,0,1,0,0,1,1089,775,776,788,788,776
118,0,0,1,0,0,0,1132,775,776,788,788,776
119,0,0,1,0,0,2,1101,809,808,822,821,810
120,0,0,1,0,0,0,1134,782,783,794,794,782
121,0,0,1,0,0,1,1137,775,776,788,786,776
122,0,0,1,0,0,2,1119,774,774,787,785,775
123,0,0,0,0,0,1,1109,836,837,849,849,837
124,0,0,0,0,0,0,1098,791,792,804,804,791
125,0,0,0,0,0,1,1151,862,863,874,874,862
126,0,0,0,0,0,0,1142,874,874,886,886,874
127,0,0,0,0,0,1,1128,815,816,828,827,816
128,0,0,0,0,0,1,1135,819,820,832,832,819
129,0,0,0,0,0,0,1098,826,827,839,839,827
130,0,0,0,0,0,2,1162,807,807,816,820,808
131,0,0,0,0,0,1,1138,809,804,820,820,809
132,0,0,0,0,0,1,1110,787,787,800,799,787
133,0,0,0,0,0,0,1219,778,779,791,791,779
134,0,0,0,0,0,0,1116,858,859,871,870,859
135,0,0,0,0,0,0,1163,757,757,769,769,757
136,0,0,0,0,0,1,1131,818,819,829,831,816
137,0,0,0,0,0,0,1119,812,811,823,824,813
138,0,0,0,0,0,0,1124,792,793,804,805,793
139,0,0,0,0,0,1,1095,785,782,795,798,785
140,0,0,0,0,0,2,1123,790,790,802,801,790
141,0,0,0,0,0,1,1157,793,793,806,805,794
142,0,0,0,0,0,1,1114,836,837,848,849,836
143,0,0,0,0,0,0,1124,813,814,826,826,814
144,0,0,0,0,0,2,1088,822,823,835,835,823
145,0,0,0,0,0,0,1096,772,771,783,783,771
146,0,0,0,0,0,1,1096,801,802,814,814,802
147,0,0,0,0,0,0,1156,868,869,881,881,868
148,0,0,0,0,0,0,1125,793,793,806,805,794
149,0,0,0,0,0,0,1096,820,821,833,833,817
150,0,0,0,0,0,0,1127,762,763,774,774,763
151,0,0,0,0,0,4,1167,816,817,827,826,817
152,0,0,0,0,0,0,1170,801,802,812,812,802
153,0,0,0,0,0,1,1126,799,800,812,811,800
154,0,0,0,0,0,0,1107,831,823,841,844,832
155,0,0,0,0,0,0,1109,797,796,809,807,798
156,0,0,0,0,0,0,1076,782,782,795,794,783
157,0,0,0,0,0,0,1079,795,794,805,806,795
158,0,0,0,0,0,3,1137,808,807,821,820,809
159,0,0,0,0,0,1,1142,834,835,847,847,835
160,0,0,0,0,0,0,1070,817,818,830,830,818
161,0,0,0,0,0,0,1134,839,839,852,852,840
162,0,0,0,0,0,0,1119,771,772,784,784,770
163,0,0,0,0,0,0,1108,785,786,796,798,786
164,0,0,0,0,0,0,1131,814,813,819,825,813
165,0,0,0,0,0,0,1122,833,833,845,846,834
166,0,0,0,0,0,1,1108,818,817,831,829,819
167,0,0,0,0,0,2,1087,787,787,798,798,787
168,0,0,0,0,0,0,1041,880,879,893,890,881
169,0,0,0,0,0,1,1109,814,814,827,827,815
170,0,0,0,0,0,1,1114,829,830,842,842,830
171,0,0,0,0,0,0,1134,814,812,826,826,815
172,0,0,0,0,0,1,1126,831,832,844,844,832
173,0,0,0,0,0,1,1183,810,811,822,823,810
174,0,0,0,0,0,0,1074,785,784,795,795,784
175,0,0,0,0,0,0,1035,824,824,836,836,824
176,0,0,0,0,0,1,1110,806,807,819,819,807
177,0,0,0,0,0,1,1108,785,786,798,798,786
178,0,0,0,0,0,0,1121,739,740,752,752,740
179,0,0,0,0,0,0,1120,805,806,818,818,806
180,0,0,0,0,0,0,1132,832,833,845,845,833
181,0,0,0,0,0,0,1146,782,783,795,795,783
