,E,I_sym,I_asym,ICU,Daily_infected,Reinfection,Sequela 1,Sequela 2,Sequela 3,Sequela 4,Sequela 5,Sequela 6
0,3,6,3,0,3,0,0,0,0,0,0,0
1,12,5,0,0,0,0,0,0,0,0,0,0
2,18,6,1,0,2,0,0,0,0,0,0,0
3,25,11,3,0,8,0,0,0,0,0,13,0
4,51,14,4,0,4,0,0,0,1,0,0,0
5,75,24,11,0,18,0,0,0,0,0,0,0
6,112,41,13,0,25,0,0,1,0,0,0,0
7,174,59,19,1,30,0,0,1,0,0,0,2
8,278,87,29,1,50,0,1,0,0,0,13,0
9,401,145,58,1,98,0,0,1,2,14,0,2
10,667,216,77,2,118,0,2,0,0,13,0,1
11,1048,330,125,3,214,0,1,4,1,17,16,5
12,1601,492,202,8,323,0,4,4,5,17,16,5
13,2390,801,305,10,507,0,6,7,5,19,19,8
14,3299,1260,462,13,778,0,19,7,8,20,20,8
15,4325,1888,669,24,1093,0,16,13,13,26,26,14
16,5308,2652,910,36,1387,0,25,23,23,36,36,22
17,6177,3566,1242,50,1746,0,44,30,30,42,40,30
18,6997,4492,1622,75,2014,0,67,37,38,50,49,38
19,7031,5509,1965,112,2241,0,87,62,63,75,75,63
20,6948,6441,2240,149,2303,0,106,78,79,88,88,79
21,6899,7176,2504,183,2234,0,167,99,99,112,112,100
22,6527,7774,2734,236,2192,0,223,128,128,140,140,127
23,5941,8148,2865,247,2105,0,259,181,178,193,193,182
24,5190,8303,2921,292,1869,0,307,212,213,225,223,213
25,4458,8250,2961,342,1666,0,330,249,250,262,262,250
26,3795,8084,2933,370,1413,0,441,326,327,339,339,327
27,3282,7760,2834,405,1201,0,498,354,351,367,365,355
28,2662,7466,2713,412,1088,2,556,404,405,416,416,405
29,2183,6958,2530,423,843,0,577,451,452,463,464,452
30,1717,6490,2344,439,716,0,658,462,461,472,472,460
31,1361,5887,2183,423,518,0,712,491,492,504,504,492
32,1047,5333,1977,431,434,0,719,529,529,541,542,529
33,815,4798,1784,429,337,2,808,532,533,545,545,533
34,649,4252,1595,419,257,1,783,640,640,652,652,640
35,534,3824,1413,392,198,0,817,596,591,609,609,597
36,414,3388,1278,384,187,0,879,674,673,685,687,675
37,337,2996,1121,367,127,4,921,651,651,664,664,652
38,284,2613,1008,344,99,1,986,692,691,704,704,692
39,238,2285,881,310,86,1,954,679,680,691,691,679
40,174,2023,785,292,86,1,957,709,710,722,721,710
41,144,1758,696,273,57,1,980,683,684,696,695,684
42,115,1522,607,258,52,0,1003,743,744,756,756,744
43,75,1319,533,236,48,1,1045,747,748,759,760,748
44,62,1123,482,205,28,2,1066,777,778,790,790,777
45,49,968,412,182,21,2,1072,800,799,812,812,800
46,45,822,366,173,17,0,1080,803,801,813,814,802
