,E,I_sym,I_asym,ICU,Daily_infected,Reinfection,Sequela 1,Sequela 2,Sequela 3,Sequela 4,Sequela 5,Sequela 6
189,0,0,0,0,0,1,1153,808,809,821,821,809
190,0,0,0,0,0,0,1107,827,828,839,840,828
191,0,0,0,0,0,0,1152,839,839,851,851,839
192,0,0,0,0,0,1,1137,829,830,842,842,830
193,0,0,0,0,0,0,1125,864,864,876,874,864
194,0,0,0,0,0,0,1098,857,857,870,870,857
195,0,0,0,0,0,0,1210,817,818,830,830,818
196,0,0,0,0,0,0,1128,805,805,816,818,804
197,0,0,0,0,0,1,1124,868,868,880,879,869
198,0,0,0,0,0,0,1157,829,830,842,842,830
199,0,0,0,0,0,1,1182,817,816,830,828,818
200,0,0,0,0,0,0,1182,825,824,836,838,826
201,0,0,0,0,0,1,1117,850,851,863,862,849
202,0,0,0,0,0,2,1264,828,829,841,841,829
203,0,0,0,0,0,1,1174,820,817,831,833,820
204,0,0,0,0,0,1,1134,837,838,846,848,838
205,0,0,0,0,0,1,1101,873,872,884,885,874
206,0,0,0,0,0,0,1129,783,781,796,792,784
207,0,0,0,0,0,1,1211,850,851,863,863,851
208,0,0,0,0,0,0,1180,865,866,878,878,866
209,0,0,0,0,0,1,1147,875,876,887,887,876
210,0,0,0,0,0,0,1126,775,776,787,788,776
211,0,0,0,0,0,1,1138,807,808,820,820,805
212,0,0,0,0,0,1,1190,833,832,844,846,834
213,0,0,0,0,0,2,1130,827,828,840,840,828
214,0,0,0,0,0,0,1199,848,849,860,860,848
215,0,0,0,0,0,0,1155,853,854,865,863,854
216,0,0,0,0,0,4,1154,866,867,879,879,867
217,0,0,0,0,0,2,1162,829,829,841,841,827
218,0,0,0,0,0,0,1074,816,816,829,829,817
219,0,0,0,0,0,3,1125,803,803,816,816,804
220,0,0,0,0,0,0,1092,866,867,878,878,867
221,0,0,0,0,0,0,1139,837,837,849,850,838
222,0,0,0,0,0,1,1120,787,786,798,797,785
223,0,0,0,0,0,0,1081,839,840,852,852,840
224,0,0,0,0,0,1,1174,820,821,831,833,821
225,0,0,0,0,0,2,1168,814,815,825,827,815
226,0,0,0,0,0,0,1180,864,865,877,877,865
227,0,0,0,0,0,0,1145,785,785,796,797,785
228,0,0,0,0,0,1,1090,883,881,893,895,884
229,0,0,0,0,0,0,1123,856,856,868,868,857
230,0,0,0,0,0,0,1157,860,860,870,873,860
231,0,0,0,0,0,0,1189,836,837,848,849,837
232,0,0,0,0,0,2,1170,833,834,845,846,834
233,0,0,0,0,0,0,1150,846,847,857,859,847
234,0,0,0,0,0,1,1157,830,830,840,841,830
235,0,0,0,0,0,2,1129,797,798,810,810,798
236,0,0,0,0,0,0,1119,833,832,846,845,834
237,0,0,0,0,0,0,1154,877,876,888,888,876
238,0,0,0,0,0,1,1138,781,781,792,792,779
239,0,0,0,0,0,1,1118,866,864,879,876,867
240,0,0,0,0,0,1,1144,869,865,879,882,870
241,0,0,0,0,0,0,1118,861,862,872,874,862
242,0,0,0,0,0,0,1135,860,858,870,873,860
243,0,0,0,0,0,1,1168,824,825,837,833,825
244,0,0,0,0,0,0,1153,814,814,826,826,814
245,0,0,0,0,0,1,1135,891,891,903,903,891
246,0,0,0,0,0,1,1128,805,806,818,818,806
247,0,0,0,0,0,1,1133,829,827,842,841,830
248,0,0,0,0,0,2,1137,843,844,856,856,843
249,0,0,0,0,0,0,1109,836,837,847,849,837
250,0,0,0,0,0,0,1131,825,825,838,838,826
251,0,0,0,0,0,1,1130,893,894,904,906,893
252,0,0,0,0,0,1,1147,839,840,851,851,840
253,0,0,0,0,0,0,1187,840,841,853,853,841
254,0,0,0,0,0,1,1131,831,832,844,844,832
255,0,0,0,0,0,2,1163,833,831,845,845,834
256,0,0,0,0,0,1,1161,810,811,823,823,811
257,0,0,0,0,0,0,1103,840,841,853,853,841
258,0,0,0,0,0,0,1184,816,817,826,829,817
259,0,0,0,0,0,0,1140,803,802,816,816,804
260,0,0,0,0,0,0,1129,853,849,863,863,854
261,0,0,0,0,0,0,1065,853,854,866,866,854
262,0,0,0,0,0,0,1166,875,875,886,888,875
263,0,0,0,0,0,0,1153,828,827,839,839,829
264,0,0,0,0,0,2,1125,859,859,870,871,859
265,0,0,0,0,0,0,1124,847,847,856,856,846
266,0,0,0,0,0,1,1187,829,823,841,841,829
267,0,0,0,0,0,0,1130,821,822,834,833,822
268,0,0,0,0,0,2,1144,812,813,822,825,811
269,0,0,0,0,0,0,1124,813,814,823,823,814
270,0,0,0,0,0,1,1110,825,823,837,837,825
271,0,0,0,0,0,4,1160,824,825,837,837,824
272,0,0,0,0,0,0,1171,797,798,810,810,798
273,0,0,0,0,0,2,1115,839,840,852,852,840
274,0,0,0,0,0,0,1164,843,844,855,856,844
275,0,0,0,0,0,1,1131,809,809,821,822,807
276,0,0,0,0,0,0,1168,812,813,825,825,813
277,0,0,0,0,0,0,1184,839,840,852,852,840
278,0,0,0,0,0,0,1127,796,796,808,808,796
279,0,0,0,0,0,1,1165,867,868,880,880,868
280,0,0,0,0,0,0,1153,803,802,814,815,803
281,0,0,0,0,0,1,1154,803,804,816,816,804
282,0,0,0,0,0,2,1162,837,838,850,850,838
283,0,0,0,0,0,1,1150,806,806,817,819,807
284,0,0,0,0,0,0,1135,858,858,871,870,859
285,0,0,0,0,0,0,1136,849,848,861,861,848
286,0,0,0,0,0,1,1126,843,843,856,855,843
287,0,0,0,0,0,0,1156,877,877,889,889,878
288,0,0,0,0,0,2,1147,827,828,840,839,828
289,0,0,0,0,0,0,1134,845,845,858,857,846
290,0,0,0,0,0,2,1118,826,827,839,839,827
291,0,0,0,0,0,1,1166,820,821,831,832,820
292,0,0,0,0,0,2,1133,867,867,880,879,867
293,0,0,0,0,0,1,1163,833,834,846,843,834
294,0,0,0,0,0,2,1145,829,830,842,840,830
295,0,0,0,0,0,0,1209,802,803,812,813,803
296,0,0,0,0,0,2,1129,797,798,810,810,798
297,0,0,0,0,0,1,1124,847,848,859,860,848
298,0,0,0,0,0,0,1101,811,812,824,823,809
299,0,0,0,0,0,0,1198,806,804,819,816,806
300,0,0,0,0,0,1,1055,847,847,859,859,847
301,0,0,0,0,0,0,1124,797,798,810,810,798
302,0,0,0,0,0,1,1121,820,821,833,833,821
303,0,0,0,0,0,0,1121,807,807,819,819,806
304,0,0,0,0,0,0,1158,791,788,797,802,790
305,0,0,0,0,0,1,1195,812,812,824,824,813
306,0,0,0,0,0,2,1148,851,849,861,862,849
307,0,0,0,0,0,1,1159,885,886,898,898,886
308,0,0,0,0,0,1,1151,817,818,830,830,817
309,0,0,0,0,0,0,1155,823,824,836,835,824
310,0,0,0,0,0,2,1164,818,818,830,831,819
311,0,0,0,0,0,2,1146,802,802,814,815,803
312,0,0,0,0,0,1,1082,804,804,817,812,805
313,0,0,0,0,0,0,1110,823,822,834,836,824
314,0,0,0,0,0,0,1216,855,855,867,868,855
315,0,0,0,0,0,0,1128,832,830,843,842,832
316,0,0,0,0,0,0,1150,849,849,861,861,849
317,0,0,0,0,0,0,1233,776,777,788,787,776
318,0,0,0,0,0,0,1112,799,799,811,809,800
319,0,0,0,0,0,0,1161,815,816,828,828,816
320,0,0,0,0,0,1,1150,835,834,847,847,836
321,0,0,0,0,0,0,1149,802,801,815,812,801
322,0,0,0,0,0,0,1198,809,810,822,822,810
323,0,0,0,0,0,0,1127,831,827,843,844,832
324,0,0,0,0,0,1,1122,832,833,843,845,833
325,0,0,0,0,0,2,1168,862,861,874,874,862
326,0,0,0,0,0,1,1150,875,875,886,887,876
327,0,0,0,0,0,1,1142,782,783,795,795,783
328,0,0,0,0,0,0,1176,883,884,896,896,884
329,0,0,0,0,0,1,1172,843,842,854,854,842
330,0,0,0,0,0,1,1141,817,818,830,830,817
331,0,0,0,0,0,0,1151,862,862,874,874,863
332,0,0,0,0,0,2,1121,834,831,846,847,834
333,0,0,0,0,0,1,1159,804,805,817,817,805
334,0,0,0,0,0,1,1189,780,779,793,793,781
335,0,0,0,0,0,1,1204,814,814,827,827,815
336,0,0,0,0,0,1,1093,821,822,834,833,822
337,0,0,0,0,0,3,1066,834,835,847,847,835
338,0,0,0,0,0,0,1157,847,847,859,859,848
339,0,0,0,0,0,1,1122,834,835,847,847,835
340,0,0,0,0,0,0,1108,806,807,818,817,807
341,0,0,0,0,0,2,1091,824,825,837,837,825
342,0,0,0,0,0,1,1173,817,813,828,830,818
343,0,0,0,0,0,1,1169,845,844,856,858,846
344,0,0,0,0,0,0,1133,800,801,813,813,801
345,0,0,0,0,0,1,1110,771,772,784,784,772
346,0,0,0,0,0,2,1188,823,824,836,836,824
347,0,0,0,0,0,2,1165,864,864,876,877,864
348,0,0,0,0,0,1,1123,799,800,812,812,800
349,0,0,0,0,0,2,1134,863,864,876,874,864
350,0,0,0,0,0,0,1163,842,842,853,853,841
351,0,0,0,0,0,2,1164,811,811,824,824,812
352,0,0,0,0,0,0,1130,809,810,822,822,810
353,0,0,0,0,0,2,1096,825,826,838,838,826
354,0,0,0,0,0,1,1110,874,874,887,882,872
355,0,0,0,0,0,1,1197,852,853,864,865,853
356,0,0,0,0,0,0,1136,761,762,770,774,762
357,0,0,0,0,0,1,1150,830,831,843,843,831
358,0,0,0,0,0,1,1098,839,840,852,851,840
359,0,0,0,0,0,2,1129,757,758,770,770,758
360,0,0,0,0,0,0,1178,806,807,819,818,807
361,0,0,0,0,0,1,1110,849,849,862,861,849
362,0,0,0,0,0,0,1156,840,841,853,853,841
363,0,0,0,0,0,0,1213,832,832,845,843,831
364,0,0,0,0,0,0,1173,841,842,854,854,842
